dataId,instanceId,v0,v1,v2,v3,v4,y
mushrooms,0,2.85,0.0,0.0,5.24,6.92,0
mushrooms,1,8.35,1.0,0.0,6.93,22.14,0
mushrooms,2,8.81,0.0,1.0,6.68,16.87,0
mushrooms,3,7.77,0.0,0.0,7.0,12.58,1
mushrooms,4,2.93,1.0,0.0,3.73,2.94,0
mushrooms,5,6.57,0.0,0.0,4.3,13.98,1
mushrooms,6,5.58,0.0,0.0,6.61,13.54,0
mushrooms,7,2.65,0.0,0.0,3.21,5.55,1
mushrooms,8,8.99,1.0,0.0,5.03,19.02,1
mushrooms,9,3.7,1.0,0.0,5.27,3.41,0
mushrooms,10,16.89,1.0,0.0,5.25,36.17,0
mushrooms,11,3.01,1.0,1.0,3.87,6.63,0
mushrooms,12,15.79,1.0,0.0,9.13,24.68,1
mushrooms,13,7.78,1.0,0.0,7.58,11.86,0
mushrooms,14,3.27,0.0,0.0,6.34,9.27,0
mushrooms,15,4.97,0.0,0.0,6.61,4.92,1
mushrooms,16,8.02,1.0,0.0,6.92,12.89,0
mushrooms,17,5.53,1.0,0.0,5.7,9.8,1
mushrooms,18,3.61,0.0,0.0,5.89,6.21,1
mushrooms,19,13.9,1.0,1.0,4.59,26.21,0
mushrooms,20,3.19,1.0,1.0,3.39,5.77,0
mushrooms,21,13.3,1.0,1.0,5.53,13.73,0
mushrooms,22,3.76,0.0,1.0,4.38,11.95,0
mushrooms,23,22.24,1.0,0.0,8.31,27.1,1
mushrooms,24,2.98,0.0,0.0,6.16,6.82,0
mushrooms,25,1.49,0.0,0.0,1.7,2.34,0
mushrooms,26,8.49,0.0,0.0,10.51,12.09,0
mushrooms,27,8.63,1.0,0.0,7.22,11.6,1
mushrooms,28,10.84,0.0,0.0,10.62,11.99,0
mushrooms,29,6.32,0.0,0.0,7.1,5.9,1
mushrooms,30,7.17,1.0,0.0,6.23,11.84,0
mushrooms,31,3.82,0.0,0.0,4.73,6.24,1
mushrooms,32,7.08,1.0,0.0,8.18,17.5,1
mushrooms,33,15.66,1.0,0.0,10.28,25.83,1
mushrooms,34,1.49,0.0,0.0,4.88,2.38,1
mushrooms,35,1.14,0.0,0.0,3.42,1.79,0
mushrooms,36,4.68,0.0,0.0,4.87,9.69,1
mushrooms,37,9.96,0.0,0.0,11.95,11.53,0
mushrooms,38,4.45,0.0,0.0,6.14,3.88,1
mushrooms,39,4.49,1.0,0.0,5.64,3.5,0
mushrooms,40,3.66,0.0,0.0,7.86,8.19,1
mushrooms,41,3.47,1.0,0.0,6.76,7.0,0
mushrooms,42,8.96,0.0,0.0,7.85,21.35,1
mushrooms,43,6.81,0.0,1.0,5.92,14.55,0
mushrooms,44,3.83,1.0,0.0,6.12,4.4,0
mushrooms,45,8.18,1.0,0.0,15.2,12.0,1
mushrooms,46,4.44,0.0,0.0,4.1,5.5,0
mushrooms,47,12.78,1.0,0.0,5.28,30.4,0
mushrooms,48,6.44,1.0,0.0,6.88,9.71,1
mushrooms,49,8.94,0.0,0.0,9.2,10.46,0
mushrooms,50,6.53,1.0,0.0,7.06,12.77,0
mushrooms,51,6.97,1.0,0.0,5.11,9.1,0
mushrooms,52,1.96,1.0,0.0,6.7,3.57,1
mushrooms,53,6.23,0.0,0.0,5.9,4.73,1
mushrooms,54,5.38,0.0,0.0,3.89,12.7,0
mushrooms,55,5.78,1.0,0.0,4.6,10.03,0
mushrooms,56,9.76,0.0,0.0,11.92,30.61,0
mushrooms,57,6.65,0.0,0.0,8.54,9.06,0
mushrooms,58,5.02,0.0,0.0,5.43,6.83,0
mushrooms,59,7.08,0.0,0.0,8.65,9.89,0
