appId,instanceId,split,presentationOrder,sourceCase,qid,questionType,feature,featureKind,valueFrom,valueTo,dimFrom,dimTo,observedValueFrom,observedDimFrom,sourceValueFrom,sourceValueTo,sourceDimFrom,valueFromMatchesInstance,sourceValueFromMatchesInstance,counterfactualHasChange,deltaDirectionReversed,changedDimensions,mappingStatus,rawDelta,originalPrediction,answer
adult_sim2real,0,training,6,case_0,12,,relationship,categorical,Not-in-family,Wife,51,55,Not-in-family,51,Not-in-family,Wife,51,1,1,1,0,51;55,matched,relationship: Not-in-family <span style='color:red;'>→ Wife</span>,0,1
adult_sim2real,1,training,7,case_1,14,,sex,categorical,Female,Male,56,57,Female,56,Female,Male,56,1,1,1,0,56;57,matched,sex: Female <span style='color:red;'>→ Male</span>,0,1
adult_sim2real,2,training,8,case_2,16,,capital-gain,numeric,0.0,1205.0,1,1,0.0,1,0,1205,1,1,1,1,0,1,matched,capital-gain: 0 <span style='color:red;'>→ 1205</span>,0,1
adult_sim2real,3,training,9,case_3,17,,marital,categorical,Married-civ-spouse,Married-AF-spouse,22,21,Married-civ-spouse,22,Married-civ-spouse,Married-AF-spouse,22,1,1,1,0,21;22,matched,marital: Married-civ-spouse <span style='color:red;'>→ Married-AF-spouse</span>,0,1
adult_sim2real,4,training,10,case_4,18,,education,categorical,HS-grad,Bachelors,15,13,HS-grad,15,HS-grad,Bachelors,15,1,1,1,0,13;15,matched,education: HS-grad <span style='color:red;'>→ Bachelors</span>,0,1
adult_sim2real,5,training,1,case_5,0,,relationship,categorical,Wife,Husband,55,50,Wife,55,Wife,Husband,55,1,1,1,0,50;55,matched,relationship: Wife <span style='color:red;'>→ Husband</span>,1,0
adult_sim2real,6,training,2,case_6,1,,occupation,categorical,Prof-specialty,Adm-clerical,39,30,Prof-specialty,39,Prof-specialty,Adm-clerical,39,1,1,1,0,30;39,matched,occupation: Prof-specialty <span style='color:red;'>→ Adm-clerical</span>,1,0
adult_sim2real,7,training,3,case_7,3,,race,categorical,White,Other,49,48,White,49,White,Other,49,1,1,1,0,48;49,matched,race: White <span style='color:red;'>→ Other</span>,1,0
adult_sim2real,8,training,4,case_8,5,,age,numeric,46.0,20.0,0,0,46,0,46,20,0,1,1,1,0,0,matched,age: 46 <span style='color:red;'>→ 20</span>,1,0
adult_sim2real,9,training,5,case_9,9,,education,categorical,Assoc-voc,1st-4th,12,7,Assoc-voc,12,Assoc-voc,1st-4th,12,1,1,1,0,7;12,matched,education: Assoc-voc <span style='color:red;'>→ 1st-4th</span>,1,0
adult_sim2real,10,test,1,case_0,0,our_prop_good_under_model,education,categorical,Bachelors,Preschool,13,17,Bachelors,13,Bachelors,Preschool,13,1,1,1,0,13;17,matched,education: Bachelors <span style='color:red;'>→ Preschool</span>,0,0
adult_sim2real,11,test,2,case_1,1,our_prop_good_under_model,education,categorical,Some-college,1st-4th,19,7,Some-college,19,Some-college,1st-4th,19,1,1,1,0,7;19,matched,education: Some-college <span style='color:red;'>→ 1st-4th</span>,0,0
adult_sim2real,12,test,3,case_2,2,our_prop_good_under_model,education,categorical,Prof-school,9th,18,10,Prof-school,18,Prof-school,9th,18,1,1,1,0,10;18,matched,education: Prof-school <span style='color:red;'>→ 9th</span>,1,0
adult_sim2real,13,test,4,case_3,3,our_prop_good_under_model,education,categorical,10th,Some-college,4,19,10th,4,10th,Some-college,4,1,1,1,0,4;19,matched,education: 10th <span style='color:red;'>→ Some-college</span>,0,1
adult_sim2real,14,test,5,case_4,4,our_prop_good_under_model,relationship,categorical,Husband,Wife,50,55,Husband,50,Husband,Wife,50,1,1,1,0,50;55,matched,relationship: Husband <span style='color:red;'>→ Wife</span>,0,1
adult_sim2real,15,test,6,case_5,5,our_prop_good_under_model,race,categorical,Black,Asian-Pac-Islander,47,46,Black,47,Black,Asian-Pac-Islander,47,1,1,1,0,46;47,matched,race: Black <span style='color:red;'>→ Asian-Pac-Islander</span>,0,1
adult_sim2real,16,test,7,case_6,6,our_prop_good_under_model,race,categorical,Asian-Pac-Islander,Other,46,48,Asian-Pac-Islander,46,Asian-Pac-Islander,Other,46,1,1,1,0,46;48,matched,race: Asian-Pac-Islander <span style='color:red;'>→ Other</span>,0,0
adult_sim2real,17,test,8,case_7,7,our_prop_good_under_model,education,categorical,11th,Masters,5,16,11th,5,11th,Masters,5,1,1,1,0,5;16,matched,education: 11th <span style='color:red;'>→ Masters</span>,0,1
adult_sim2real,18,test,9,case_8,8,our_prop_good_under_model,occupation,categorical,Other-service,Tech-support,37,42,Other-service,37,Other-service,Tech-support,37,1,1,1,0,37;42,matched,occupation: Other-service <span style='color:red;'>→ Tech-support</span>,0,1
adult_sim2real,19,test,10,case_9,9,our_prop_good_under_model,sex,categorical,Female,Male,56,57,Female,56,Female,Male,56,1,1,1,0,56;57,matched,sex: Female <span style='color:red;'>→ Male</span>,0,1
adult_sim2real,20,test,11,case_10,10,our_prop_good_under_model,marital,categorical,Never-married,Widowed,24,26,Never-married,24,Never-married,Widowed,24,1,1,1,0,24;26,matched,marital: Never-married <span style='color:red;'>→ Widowed</span>,0,1
adult_sim2real,21,test,12,case_11,11,our_prop_good_under_model,hours-per-week,numeric,40.0,41.0,3,3,40,3,40,41.0,3,1,1,1,0,3,matched,hours-per-week: 40 <span style='color:red;'>→ 41.0</span>,0,1
adult_sim2real,22,test,13,case_12,12,our_prop_good_under_model,occupation,categorical,Exec-managerial,Machine-op-inspct,33,36,Exec-managerial,33,Exec-managerial,Machine-op-inspct,33,1,1,1,0,33;36,matched,occupation: Exec-managerial <span style='color:red;'>→ Machine-op-inspct</span>,0,0
adult_sim2real,23,test,14,case_13,13,our_prop_good_under_model,education,categorical,Some-college,1st-4th,19,7,Some-college,19,Some-college,1st-4th,19,1,1,1,0,7;19,matched,education: Some-college <span style='color:red;'>→ 1st-4th</span>,0,0
adult_sim2real,24,test,15,case_14,14,our_prop_good_under_model,occupation,categorical,Other-service,unknown,37,44,Other-service,37,Other-service,unknown,37,1,1,1,0,37;44,matched,occupation: Other-service <span style='color:red;'>→ unknown</span>,0,1
adult_sim2real,25,test,16,case_15,15,our_prop_good_under_model,hours-per-week,numeric,50.0,51.0,3,3,50,3,50,51.0,3,1,1,1,0,3,matched,hours-per-week: 50 <span style='color:red;'>→ 51.0</span>,1,1
adult_sim2real,26,test,17,case_16,16,our_prop_good_under_model,occupation,categorical,Other-service,Protective-serv,37,40,Other-service,37,Other-service,Protective-serv,37,1,1,1,0,37;40,matched,occupation: Other-service <span style='color:red;'>→ Protective-serv</span>,0,1
adult_sim2real,27,test,18,case_17,17,our_prop_good_under_model,occupation,categorical,Exec-managerial,unknown,33,44,Exec-managerial,33,Exec-managerial,unknown,33,1,1,1,0,33;44,matched,occupation: Exec-managerial <span style='color:red;'>→ unknown</span>,0,0
adult_sim2real,28,test,19,case_18,18,our_prop_good_under_model,education,categorical,HS-grad,Some-college,15,19,HS-grad,15,HS-grad,Some-college,15,1,1,1,0,15;19,matched,education: HS-grad <span style='color:red;'>→ Some-college</span>,0,1
adult_sim2real,29,test,20,case_19,19,our_prop_good_under_model,relationship,categorical,Own-child,Husband,53,50,Own-child,53,Own-child,Husband,53,1,1,1,0,50;53,matched,relationship: Own-child <span style='color:red;'>→ Husband</span>,0,1
adult_sim2real,30,test,21,case_20,20,our_prop_good_under_model,marital,categorical,Never-married,Married-civ-spouse,24,22,Never-married,24,Never-married,Married-civ-spouse,24,1,1,1,0,22;24,matched,marital: Never-married <span style='color:red;'>→ Married-civ-spouse</span>,0,1
adult_sim2real,31,test,22,case_21,21,our_prop_good_under_model,occupation,categorical,Other-service,Prof-specialty,37,39,Other-service,37,Other-service,Prof-specialty,37,1,1,1,0,37;39,matched,occupation: Other-service <span style='color:red;'>→ Prof-specialty</span>,0,1
adult_sim2real,32,test,23,case_22,22,our_prop_good_under_model,marital,categorical,Never-married,Married-AF-spouse,24,21,Never-married,24,Never-married,Married-AF-spouse,24,1,1,1,0,21;24,matched,marital: Never-married <span style='color:red;'>→ Married-AF-spouse</span>,0,1
adult_sim2real,33,test,24,case_23,23,our_prop_good_under_model,age,numeric,29.0,30.0,0,0,29,0,29,30.0,0,1,1,1,0,0,matched,age: 29 <span style='color:red;'>→ 30.0</span>,0,1
adult_sim2real,34,test,25,case_24,24,our_prop_good_under_model,education,categorical,HS-grad,Prof-school,15,18,HS-grad,15,HS-grad,Prof-school,15,1,1,1,0,15;18,matched,education: HS-grad <span style='color:red;'>→ Prof-school</span>,0,1
adult_sim2real,35,test,26,case_25,25,our_prop_good_under_model,sex,categorical,Male,Female,57,56,Male,57,Male,Female,57,1,1,1,0,56;57,matched,sex: Male <span style='color:red;'>→ Female</span>,0,0
adult_sim2real,36,test,27,case_26,26,our_prop_good_under_model,race,categorical,Black,White,47,49,Black,47,Black,White,47,1,1,1,0,47;49,matched,race: Black <span style='color:red;'>→ White</span>,0,1
adult_sim2real,37,test,28,case_27,27,our_prop_good_under_model,marital,categorical,Never-married,Married-AF-spouse,24,21,Never-married,24,Never-married,Married-AF-spouse,24,1,1,1,0,21;24,matched,marital: Never-married <span style='color:red;'>→ Married-AF-spouse</span>,0,1
adult_sim2real,38,test,29,case_28,28,our_prop_good_under_model,marital,categorical,Married-civ-spouse,Separated,22,25,Married-civ-spouse,22,Married-civ-spouse,Separated,22,1,1,1,0,22;25,matched,marital: Married-civ-spouse <span style='color:red;'>→ Separated</span>,0,0
