appId,modelName,expMethod,expProperty,instanceId,qid,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,a5_i,a6_i,a7_i,a8_i,a9_i,a10_i,a11_i,a12_i,a13_i,a14_i,a15_i,a16_i,a17_i,a18_i,a19_i,a20_i,a21_i,a22_i,a23_i,a24_i,a25_i,a26_i,a27_i,a28_i,a29_i,a30_i,a31_i,a32_i,a33_i,a34_i,a35_i,a36_i,a37_i,a38_i,a39_i,a40_i,a41_i,a42_i,a43_i,a44_i,a45_i,a46_i,a47_i,a48_i,a49_i,a50_i,a51_i,a52_i,a53_i,a54_i,a55_i,a56_i,a57_i,a58_i,a59_i,a60_i,a61_i,a62_i,a63_i,a64_i,a65_i,a66_i,intercept
adult_sim2real,synthetic_ai,lime,faithful,0,12,0,8.08,0.09,0.4,0.04,0.05,0.02,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.01,0.03,0.03,0.03,0.0,0.03,0.02,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.03,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.01,0.03,0.07,0.06,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.02,0.0,
adult_sim2real,synthetic_ai,lime,robust,0,12,0,2.72,0.2,2.33,0.21,0.25,0.04,0.02,0.03,0.09,0.07,0.07,0.03,0.07,0.06,0.06,0.22,0.02,0.17,0.16,0.17,0.07,0.13,0.07,0.01,0.1,0.16,0.15,0.1,0.23,0.21,0.22,0.03,0.07,0.03,0.08,0.04,0.03,0.0,0.04,0.17,0.07,0.0,0.05,0.09,0.01,0.01,0.01,0.08,0.03,0.01,0.06,0.1,0.1,0.06,0.06,0.09,0.2,0.29,0.24,0.11,0.05,0.03,0.06,0.09,0.04,0.05,0.13,0.05,
adult_sim2real,synthetic_ai,lime,sparse,0,12,0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,0,12,0,2.42,0.11,2.38,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.0,0.07,0.05,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,0,12,0,4.36,0.01,1.05,0.4,0.34,0.26,0.07,0.1,0.19,0.21,0.17,0.12,0.13,0.03,0.16,0.11,0.0,0.08,0.03,0.23,0.03,0.1,0.18,0.12,0.04,0.21,0.1,0.05,0.28,0.0,0.12,0.03,0.33,0.02,0.07,0.02,0.05,0.19,0.33,0.17,0.36,0.04,0.19,0.09,0.05,0.06,0.1,0.09,0.01,0.19,0.31,0.15,0.09,0.11,0.08,0.12,0.17,0.17,0.32,0.08,0.37,0.28,0.07,0.18,0.1,0.05,0.11,0.04,
adult_sim2real,synthetic_ai,lime,faithful,1,14,0,8.08,0.34,2.58,0.22,0.32,0.02,0.07,0.0,0.1,0.05,0.07,0.03,0.06,0.07,0.02,0.25,0.01,0.18,0.18,0.15,0.03,0.16,0.11,0.0,0.11,0.22,0.15,0.18,0.34,0.27,0.24,0.06,0.09,0.04,0.07,0.07,0.03,0.02,0.03,0.19,0.11,0.06,0.07,0.09,0.01,0.01,0.01,0.07,0.03,0.02,0.1,0.06,0.09,0.05,0.03,0.13,0.18,0.42,0.37,0.14,0.04,0.04,0.08,0.1,0.01,0.03,0.14,0.05,
adult_sim2real,synthetic_ai,lime,robust,1,14,0,2.72,0.21,2.56,0.23,0.26,0.05,0.02,0.04,0.1,0.07,0.07,0.03,0.07,0.07,0.06,0.24,0.02,0.19,0.17,0.18,0.07,0.14,0.07,0.01,0.11,0.17,0.16,0.11,0.24,0.23,0.24,0.04,0.08,0.03,0.09,0.05,0.03,0.0,0.04,0.18,0.08,0.0,0.06,0.1,0.01,0.02,0.01,0.09,0.04,0.01,0.07,0.11,0.11,0.07,0.07,0.11,0.21,0.32,0.26,0.12,0.06,0.03,0.07,0.1,0.04,0.06,0.14,0.05,
adult_sim2real,synthetic_ai,lime,sparse,1,14,0,7.58,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,1,14,0,2.42,0.11,2.39,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.01,0.07,0.06,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,1,14,0,4.36,0.13,2.65,0.45,0.06,0.23,0.23,0.37,0.69,0.4,0.23,0.14,0.83,0.32,0.06,0.41,0.34,0.05,0.16,0.1,0.69,0.19,0.91,0.27,0.32,0.07,0.02,0.17,0.18,0.0,0.08,0.8,0.03,0.57,0.64,0.39,0.24,0.33,0.37,0.62,0.65,0.51,0.06,0.32,0.38,0.76,0.21,0.64,0.06,0.39,0.17,0.27,0.16,0.55,0.65,0.33,0.31,0.51,0.07,0.63,0.17,0.58,0.18,0.37,0.42,0.27,0.39,0.01,
adult_sim2real,synthetic_ai,lime,faithful,2,16,0,8.08,0.46,3.65,0.31,0.41,0.04,0.09,0.02,0.15,0.06,0.09,0.04,0.07,0.07,0.01,0.35,0.04,0.25,0.25,0.22,0.06,0.21,0.14,0.02,0.15,0.3,0.22,0.24,0.38,0.35,0.31,0.07,0.12,0.05,0.09,0.09,0.04,0.0,0.06,0.27,0.12,0.07,0.08,0.15,0.02,0.0,0.0,0.11,0.03,0.02,0.09,0.11,0.16,0.09,0.03,0.17,0.25,0.56,0.48,0.17,0.06,0.05,0.09,0.13,0.02,0.07,0.2,0.06,
adult_sim2real,synthetic_ai,lime,robust,2,16,0,2.72,0.21,2.63,0.23,0.27,0.05,0.02,0.04,0.1,0.07,0.07,0.03,0.08,0.07,0.07,0.24,0.03,0.19,0.18,0.19,0.08,0.14,0.08,0.01,0.11,0.18,0.16,0.11,0.25,0.23,0.25,0.04,0.08,0.03,0.1,0.05,0.03,0.0,0.04,0.19,0.08,0.0,0.06,0.11,0.01,0.02,0.01,0.09,0.04,0.0,0.07,0.12,0.11,0.07,0.07,0.11,0.22,0.32,0.26,0.13,0.06,0.04,0.08,0.1,0.04,0.06,0.15,0.05,
adult_sim2real,synthetic_ai,lime,sparse,2,16,0,7.58,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,2,16,0,2.42,0.11,2.4,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.01,0.07,0.06,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,2,16,0,4.36,0.83,2.47,0.6,0.07,0.3,0.01,0.25,0.0,0.53,0.46,0.01,0.49,0.43,0.4,0.56,0.86,0.61,0.16,0.24,0.08,0.42,0.12,0.14,0.08,0.23,0.13,0.64,0.44,0.0,0.11,0.98,0.2,0.2,0.61,0.88,0.07,0.7,0.49,0.27,0.06,0.22,0.02,0.37,0.06,0.24,0.72,0.29,0.29,0.25,0.2,0.51,0.2,0.14,0.23,0.81,0.16,0.27,0.01,0.5,0.16,0.26,0.42,0.58,0.46,0.05,0.22,0.02,
adult_sim2real,synthetic_ai,lime,faithful,3,17,0,8.08,0.27,1.26,0.11,0.15,0.06,0.01,0.02,0.05,0.05,0.06,0.03,0.03,0.02,0.07,0.1,0.01,0.1,0.09,0.08,0.01,0.08,0.06,0.03,0.07,0.1,0.1,0.08,0.07,0.08,0.08,0.01,0.04,0.01,0.04,0.04,0.02,0.0,0.01,0.09,0.03,0.02,0.03,0.03,0.01,0.01,0.02,0.03,0.0,0.02,0.01,0.04,0.06,0.01,0.01,0.03,0.09,0.21,0.18,0.02,0.03,0.02,0.04,0.03,0.03,0.02,0.06,0.01,
adult_sim2real,synthetic_ai,lime,robust,3,17,0,2.72,0.21,2.64,0.23,0.27,0.05,0.02,0.04,0.1,0.07,0.07,0.04,0.08,0.07,0.07,0.24,0.03,0.19,0.18,0.19,0.08,0.14,0.08,0.01,0.11,0.18,0.16,0.11,0.25,0.23,0.25,0.04,0.08,0.03,0.1,0.05,0.03,0.0,0.04,0.19,0.08,0.0,0.06,0.11,0.01,0.02,0.01,0.09,0.04,0.0,0.07,0.12,0.11,0.07,0.07,0.11,0.22,0.32,0.27,0.13,0.06,0.04,0.08,0.1,0.04,0.06,0.15,0.05,
adult_sim2real,synthetic_ai,lime,sparse,3,17,0,7.58,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,3,17,0,2.42,0.11,2.39,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.0,0.07,0.06,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,3,17,0,4.36,0.28,1.9,0.48,0.43,0.07,0.43,0.54,0.38,0.14,0.26,0.42,0.54,0.15,0.47,0.28,0.41,0.42,0.48,0.12,0.57,0.35,0.55,0.41,0.69,0.02,0.58,0.67,0.07,0.0,0.02,0.24,0.6,0.22,0.36,0.41,0.07,0.23,0.15,0.51,0.3,0.12,1.06,0.21,0.13,0.03,0.43,0.67,0.38,0.11,0.54,0.33,0.1,0.16,0.08,0.24,0.35,0.59,0.42,0.19,0.19,0.07,0.29,0.52,0.24,0.16,0.56,0.13,
adult_sim2real,synthetic_ai,lime,faithful,4,18,0,8.08,0.07,0.54,0.05,0.07,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.05,0.0,0.04,0.04,0.03,0.01,0.03,0.02,0.0,0.02,0.05,0.03,0.04,0.07,0.06,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.04,0.02,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.02,0.01,0.01,0.03,0.04,0.09,0.08,0.03,0.01,0.01,0.02,0.02,0.0,0.01,0.03,0.01,
adult_sim2real,synthetic_ai,lime,robust,4,18,0,2.72,0.2,2.37,0.21,0.25,0.04,0.02,0.04,0.09,0.07,0.07,0.03,0.07,0.06,0.06,0.22,0.02,0.17,0.16,0.17,0.07,0.13,0.07,0.01,0.1,0.16,0.15,0.1,0.23,0.21,0.22,0.03,0.08,0.03,0.09,0.04,0.03,0.0,0.04,0.17,0.07,0.0,0.05,0.1,0.01,0.01,0.01,0.08,0.03,0.01,0.06,0.11,0.1,0.06,0.06,0.1,0.2,0.29,0.24,0.11,0.05,0.03,0.07,0.09,0.04,0.06,0.13,0.05,
adult_sim2real,synthetic_ai,lime,sparse,4,18,0,7.58,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,4,18,0,2.42,0.11,2.38,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.0,0.07,0.05,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,4,18,0,4.36,0.45,1.0,0.21,0.35,0.09,0.11,0.09,0.14,0.18,0.2,0.3,0.01,0.03,0.07,0.07,0.13,0.18,0.01,0.06,0.26,0.17,0.35,0.16,0.18,0.14,0.32,0.23,0.28,0.0,0.22,0.05,0.12,0.02,0.04,0.35,0.11,0.13,0.11,0.03,0.17,0.13,0.15,0.0,0.0,0.14,0.4,0.32,0.62,0.23,0.3,0.28,0.02,0.03,0.12,0.06,0.06,0.68,0.29,0.09,0.18,0.1,0.15,0.01,0.12,0.21,0.05,0.19,
adult_sim2real,synthetic_ai,lime,faithful,5,0,1,8.08,0.02,0.3,0.03,0.01,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.0,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.02,0.01,0.0,0.01,0.02,0.01,
adult_sim2real,synthetic_ai,lime,robust,5,0,1,2.72,0.21,2.53,0.22,0.26,0.05,0.02,0.04,0.1,0.07,0.07,0.03,0.07,0.07,0.07,0.23,0.02,0.18,0.17,0.18,0.07,0.14,0.07,0.01,0.11,0.17,0.16,0.11,0.24,0.22,0.24,0.04,0.08,0.03,0.09,0.05,0.03,0.0,0.04,0.18,0.08,0.0,0.06,0.1,0.01,0.02,0.01,0.09,0.04,0.01,0.07,0.11,0.11,0.06,0.07,0.1,0.21,0.31,0.26,0.12,0.06,0.03,0.07,0.1,0.04,0.06,0.14,0.05,
adult_sim2real,synthetic_ai,lime,sparse,5,0,1,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,5,0,1,2.42,0.11,2.38,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.0,0.07,0.05,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,5,0,1,4.36,0.23,0.38,0.46,0.3,0.18,0.01,0.16,0.07,0.22,0.02,0.13,0.02,0.16,0.08,0.21,0.08,0.03,0.24,0.07,0.01,0.07,0.16,0.2,0.33,0.3,0.3,0.09,0.17,0.0,0.03,0.1,0.03,0.03,0.22,0.0,0.02,0.11,0.28,0.32,0.26,0.03,0.04,0.14,0.18,0.16,0.2,0.07,0.04,0.04,0.18,0.14,0.19,0.15,0.11,0.12,0.12,0.08,0.03,0.09,0.02,0.25,0.08,0.04,0.01,0.28,0.44,0.12,
adult_sim2real,synthetic_ai,lime,faithful,6,1,1,8.08,0.43,3.49,0.39,0.5,0.01,0.11,0.01,0.1,0.03,0.06,0.0,0.02,0.11,0.12,0.34,0.06,0.21,0.24,0.19,0.13,0.25,0.13,0.26,0.11,0.3,0.22,0.28,0.81,0.52,0.36,0.13,0.11,0.07,0.0,0.13,0.02,0.02,0.05,0.25,0.21,0.04,0.0,0.14,0.05,0.04,0.01,0.11,0.05,0.01,0.32,0.05,0.11,0.1,0.12,0.2,0.24,0.75,0.68,0.17,0.12,0.05,0.03,0.14,0.02,0.03,0.19,0.09,
adult_sim2real,synthetic_ai,lime,robust,6,1,1,2.72,0.21,2.65,0.24,0.28,0.05,0.02,0.04,0.1,0.07,0.07,0.03,0.08,0.07,0.07,0.25,0.03,0.19,0.18,0.19,0.08,0.14,0.08,0.02,0.11,0.18,0.17,0.11,0.26,0.24,0.25,0.04,0.08,0.03,0.1,0.05,0.03,0.0,0.05,0.19,0.08,0.0,0.06,0.11,0.01,0.02,0.01,0.09,0.04,0.01,0.07,0.12,0.11,0.07,0.07,0.11,0.23,0.33,0.27,0.13,0.06,0.04,0.07,0.1,0.04,0.06,0.15,0.06,
adult_sim2real,synthetic_ai,lime,sparse,6,1,1,7.58,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult_sim2real,synthetic_ai,lime,sparse_robust,6,1,1,2.42,0.11,2.4,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.08,0.07,0.08,0.0,0.03,0.0,0.0,0.01,0.07,0.06,0.01,0.14,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.21,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,
adult_sim2real,synthetic_ai,lime,,6,1,1,4.36,0.2,2.52,0.63,0.31,0.19,0.15,0.09,0.08,0.22,0.13,0.09,0.17,0.19,0.55,0.02,0.16,0.38,0.07,0.01,0.35,0.38,0.34,0.36,0.6,0.3,0.09,0.2,0.54,0.02,0.08,0.39,0.37,0.24,0.43,0.38,0.63,0.41,0.68,0.74,0.4,0.73,0.23,0.35,0.01,0.15,0.5,0.15,0.31,0.47,0.05,0.3,0.39,0.22,0.59,0.27,0.49,0.22,0.84,0.88,0.09,0.21,0.15,0.48,0.33,0.81,0.01,0.46,
adult_sim2real,synthetic_ai,lime,faithful,7,3,1,8.08,0.07,4.7,0.4,0.03,0.23,0.05,0.28,0.13,0.24,0.13,0.03,0.15,0.09,0.25,0.34,0.03,0.47,0.31,0.33,0.16,0.17,0.21,0.01,0.13,0.38,0.38,0.09,0.05,0.23,0.39,0.11,0.15,0.11,0.24,0.01,0.06,0.02,0.06,0.35,0.08,0.03,0.03,0.27,0.0,0.07,0.07,0.39,0.29,0.03,0.19,0.33,0.42,0.15,0.22,0.24,0.3,0.28,0.19,0.12,0.09,0.06,0.19,0.17,0.12,0.24,0.27,0.14,
