Participant ID,dataId,expMethod,modelName,Session,Tested w/ XAI,XAIType,Strategy,Assignment Prob,NLL,PAI,MAI,sensitivity,k,retrieval_threshold,scaling_factor
107,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.3840238839,0.9444444444,0.6666666667,20.737304059,5,-2.280770251,
107,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.2628317266,0.9444444444,0.7222222222,31.095586839,5,-2.079797594,
20,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.6456712845,0.7222222222,0.6111111111,1.0,1,-2.079797594,
222,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.5832654795,0.7222222222,0.6111111111,1.0,4,-2.280770251,
222,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.6443231711,0.6111111111,0.4444444444,1.0,5,-2.079797594,
18,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.6419891739,0.3333333333,0.5,1.0,2,-2.280770251,
18,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.6534429272,0.7777777778,0.5555555556,1.0,3,-2.079797594,
156,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.6695362222,0.6111111111,0.5,1.0,5,-2.280770251,
156,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.6165054711,0.3888888889,0.3888888889,1.0,1,-2.079797594,
156,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.2122544026,0.8888888889,0.7777777778,20.737304059,4,-2.280770251,
156,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.6106390341,0.9444444444,0.5,1.0,1,-3.537109641,
142,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.0218791413,0.7222222222,0.7222222222,50.120095417,1,-2.280770251,
142,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.0300890547,0.7777777778,0.7777777778,66.635495321,1,-2.079797594,
115,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.0476640259,0.7222222222,0.6666666667,50.120095417,1,-2.280770251,
115,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.0433022634,0.7222222222,0.7222222222,36.539908482,1,-2.079797594,
115,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6166899088,0.7222222222,0.6666666667,1.0,2,-3.589012825,
115,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.5757292298,0.5,0.5555555556,1.0,3,-2.079797594,
12,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.0424064966,0.6111111111,0.6111111111,66.635495321,4,-2.079797594,
12,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.1348140881,0.7222222222,0.6666666667,50.120095417,3,-2.280770251,
12,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.1738902454,0.5555555556,0.4444444444,31.095586839,3,-3.537109641,
158,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.5952529729,0.7777777778,0.6111111111,1.0,2,-2.280770251,
158,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6380186251,0.4444444444,0.3333333333,1.0,1,-2.079797594,
158,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6633608132,0.5555555556,0.3888888889,1.0,4,-3.589012825,
158,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6643810549,0.4444444444,0.5,1.0,3,-3.537109641,
219,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.5048200768,0.8888888889,0.8333333333,20.737304059,3,-2.280770251,
219,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.5841138895,0.5555555556,0.6666666667,1.0,3,-2.079797594,
219,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6567187907,0.5,0.6666666667,1.0,3,-2.280770251,
219,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.658348259,0.3888888889,0.6111111111,1.0,5,-2.079797594,
