Participant ID,Trial Index,Instance Index,AI Prediction,XAIType,dataId,expMethod,modelName,Session,Step,Tested w/ XAI,Response,Timing,Correct,trialType
107,1,66,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,8.77,1.0,Train
107,1,66,0,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,55.158,,Train
107,2,43,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,5.636,0.0,Train
107,2,43,0,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,32.832,,Train
107,3,82,1,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,4.583,0.0,Train
107,3,82,1,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,6.981,,Train
107,4,51,1,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,2.69,1.0,Train
107,4,51,1,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,3.474,,Train
107,5,8,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,2.918,1.0,Train
107,5,8,0,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,2.999,,Train
107,6,73,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,10.504,1.0,Train
107,6,73,0,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,15.503,,Train
107,7,121,1,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,6.161,0.0,Train
107,7,121,1,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,2.34,,Train
107,8,25,1,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,7.01,1.0,Train
107,8,25,1,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,3.49,,Train
107,9,32,1,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,9.948,1.0,Train
107,9,32,1,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,3.103,,Train
107,10,81,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,2.448,0.0,Train
107,10,81,0,,wine_quality,lime,mlp,1,Feedback,w/o XAI,,2.2,,Train
107,11,41,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,0.0,6.612,1.0,Test
107,12,80,0,,wine_quality,lime,mlp,1,Infer,w/o XAI,1.0,7.886,0.0,Test
