Participant Id,Trial Index,Instance Id,XAIType,Tested w/ XAI,AI prediction,Time,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI prediction (CF),condition,model,dataId,complexity,Model strategy,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature,Trial NLL,Trial MAE,retrieval_threshold,over_margin,chi,Best NLL,Best MAE,Best time,Best retrieval_threshold,Best over_margin,Best chi
182,18120,54.0,DT,w/o XAI,1.0,49.041,3.0,Vinegar Taint,numeric,0.35,0.58,0.23,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,0.2257224489795916,1,0,0,1,0.2257224489795916,0.2685191533649407,0.20002181215433,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18121,97.0,DT,w/o XAI,0.0,25.088,0.0,Alcohol,numeric,11.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,-0.1619957446808509,1,1,1,1,0.200000000000001,1.326363018883744,0.0007500569445375,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18122,147.0,DT,w/ XAI,0.0,27.44,3.0,Vinegar Taint,numeric,0.27,0.39,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,-0.1196,0,0,1,1,-0.1196,0.3146988809949014,0.21960569550931,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18123,372.0,DT,w/o XAI,0.0,30.901,0.0,Alcohol,numeric,9.4,12.0,2.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1.0,0,a0,-1.5,0,0,1,1,-1.5,1.5202687717269745,0.7692307692307693,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18124,179.0,DT,w/ XAI,1.0,9.931,0.0,Alcohol,numeric,12.0,11.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,recall_change_dt,,3,a3,-0.0703999999999999,1,0,1,0,-1.3000000000000007,1.429420303003068,0.2828013389958195,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18125,202.0,DT,w/ XAI,0.0,27.66,3.0,Vinegar Taint,numeric,0.59,0.38,-0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,-0.2203999999999999,1,1,1,1,-0.2203999999999999,0.3146988809949014,0.2059145673603504,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18126,144.0,DT,w/o XAI,1.0,11.218,0.0,Alcohol,numeric,12.0,11.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,0.2796000000000002,0,1,0,1,-1.4,1.5942676750893388,0.3084423646368451,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18127,266.0,DT,w/o XAI,0.0,19.685,0.0,Alcohol,numeric,10.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1.0,3,a3,-0.0208651162790697,1,1,1,1,0.8000000000000007,1.1152764325612587,0.101814045619565,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18128,8.0,DT,w/ XAI,1.0,26.884,3.0,Vinegar Taint,numeric,0.33,0.57,0.24,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,recall_change_dt,,3,a3,0.0595999999999999,1,0,1,0,0.0595999999999999,0.2891299917388173,0.0411096897344866,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
182,18129,124.0,DT,w/o XAI,0.0,25.713,3.0,Vinegar Taint,numeric,0.59,0.38,-0.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1.0,0,a0,1.8000000000000007,0,0,0,0,-0.2163574468085104,0.3101745926591614,0.2059145673603504,-0.0053038623628522,0.2058782620727424,0.007783855855277,0.7008389638477455,0.2416836134494536,10.32544383030516,-0.0053038623628522,0.2058782620727424,0.007783855855277
