Participant Id,Trial Index,Instance Id,XAIType,Tested w/ XAI,AI prediction,Time,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI prediction (CF),condition,condition 2,model,dataId,complexity,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature,Trial NLL,Trial MAE,retrieval_threshold,over_margin,chi,Best NLL,Best MAE,Best time,"Retrieval threshold, κ","Margin, ε","Opportunity cost, γ",Chi bin,Model strategy
273,120.0,304.0,DT,w/o XAI,0.0,91.549,1.0,Height,numeric,6.0,3.3,-2.7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,0.0,2.0,a2,-1.5799999999999996,1.0,1.0,1.0,1.0,2.674400000000002,0.4525842650156643,0.6447305584354205,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,121.0,97.0,DT,w/ XAI,1.0,50.105,2.0,Width,numeric,22.0,10.0,-12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,3.6643999999999997,1.0,0.0,0.0,1.0,10.780000000000001,0.5813076874024986,0.7160817994851961,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,122.0,334.0,DT,w/ XAI,1.0,67.458,2.0,Width,numeric,15.0,11.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,0.0,1.0,a1,5.0844,1.0,0.0,0.0,1.0,4.030000000000001,1.4208986073981023,0.31631010213823474,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,123.0,254.0,DT,w/o XAI,0.0,147.966,1.0,Height,numeric,2.0,4.9,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,0.0,1.0,a1,1.5456,0.0,0.0,1.0,1.0,1.5456,0.6613439763623751,0.09155866990965811,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,124.0,108.0,DT,w/ XAI,0.0,22.148,2.0,Width,numeric,28.0,12.0,-16.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,-3.1243999999999996,0.0,0.0,1.0,1.0,-16.400000000000002,0.5813076874024986,0.06957936524439036,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,125.0,46.0,DT,w/o XAI,1.0,25.895,4.0,Cap Diameter,numeric,2.0,0.97,-1.03,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,-1.424399999999999,0.0,1.0,0.0,1.0,-0.7857142857142857,1.5297311963026536,0.0017046616814782852,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,126.0,63.0,DT,w/ XAI,0.0,17.816,2.0,Width,numeric,14.0,11.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,2.0,a2,-2.7200000000000006,1.0,1.0,1.0,1.0,-2.7200000000000006,0.5813076874024986,0.04759025632069252,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,127.0,78.0,DT,w/ XAI,1.0,22.926,2.0,Width,numeric,12.0,14.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,4.0,a4,-5.980000000000001,0.0,1.0,0.0,1.0,1.5599999999999987,0.5813076874024986,0.042416348338645916,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,128.0,362.0,DT,w/o XAI,1.0,33.489,4.0,Cap Diameter,numeric,2.5,0.97,-1.53,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,1.0,a1,-0.7943999999999996,0.0,1.0,0.0,1.0,-1.3335294117647063,1.3412124989444052,0.0011364411209855234,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
273,129.0,39.0,DT,w/ XAI,0.0,31.544,1.0,Height,numeric,2.2,3.6,1.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Decision Tree,Decision Tree,mlp,Mushrooms,high,1.0,3.0,a3,1.0,0.0,0.0,0.0,0.0,1.3256000000000001,1.5603273663948047,0.04850348267054945,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,1.0586101668492793,0.16632419899559453,10.14529797260538,-0.44771838908158923,0.05664459528927394,0.00023359470709390705,0.0,Node Threshold Crossing
