Participant Id,Condition,Model,dataId,Complexity,Phase,Trial Index,Instance Id,XAIType,Tested w/ XAI,Model Pred Time,Time,Response,AI Prediction (y),Model Prediction,Objective
69,DT,mlp,mushrooms,high,,0,197.0,DT,True,14.255504124153022,86.164,-60,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,1,320.0,DT,False,0.200774007674971,24.607,-40,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,2,323.0,DT,False,7.233171587357756,26.359,-40,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,3,383.0,DT,False,3.115447278394634,20.643,40,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,4,376.0,DT,False,3.0526501750730852,14.955,20,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,5,94.0,DT,False,4.053849390991571,15.474,-60,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,6,191.0,DT,True,5.029738193321751,18.147,-40,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,7,64.0,DT,False,2.9117256282196227,56.499,-60,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,8,53.0,DT,False,7.333486612178662,11.232,-40,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,9,232.0,DT,False,3.775105522226157,11.641,20,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,10,49.0,DT,False,6.422128804492619,16.385,-40,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,11,135.0,DT,True,5.134565499689448,24.627,20,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,12,141.0,DT,True,4.545888924709288,9.31,40,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,13,165.0,DT,False,7.089610008923433,8.785,60,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,14,38.0,DT,False,8.644628427114482,7.636,-20,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,15,324.0,DT,False,8.135148409507085,4.598,-60,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,16,246.0,DT,True,6.446020700698539,73.225,-60,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,17,228.0,DT,False,3.618547670702023,8.584,-100,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,18,287.0,DT,False,8.724975651004266,10.541,100,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,19,365.0,DT,True,3.8543804382121376,19.641,20,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,20,347.0,DT,False,10.35663598252375,8.755,100,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,21,340.0,DT,True,8.776092484528446,16.746,-40,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,22,339.0,DT,False,8.557649602619843,7.248,60,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,23,244.0,DT,True,4.100692220822909,15.666,80,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,24,95.0,DT,False,3.797927944884046,7.501,-80,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,25,364.0,DT,False,8.477217826323791,7.548,20,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,26,388.0,DT,True,8.359533290708471,17.26,-60,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,27,218.0,DT,True,8.635780614551814,16.534,40,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,28,22.0,DT,True,8.88181119948114,5.081,40,1,0,26.951295264802415
69,DT,mlp,mushrooms,high,,29,333.0,DT,False,3.8656553576679658,6.918,-80,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,30,93.0,DT,False,10.80788094938412,12.577,40,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,31,301.0,DT,True,10.503029824674586,6.496,-40,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,32,349.0,DT,True,8.451931055925925,6.065,-40,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,33,108.0,DT,False,8.662527997276499,11.11,-20,0,0,26.951295264802415
69,DT,mlp,mushrooms,high,,34,81.0,DT,False,10.260507775499896,14.072,40,1,1,26.951295264802415
69,DT,mlp,mushrooms,high,,35,291.0,DT,True,3.794916209256426,20.06,80,0,1,26.951295264802415
69,DT,mlp,mushrooms,high,,36,252.0,DT,False,10.227848491002485,6.716,20,1,1,26.951295264802415
