Participant Id,dataId,Model,Complexity,Variant,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
55,wine_quality,mlp,low,sparse,29.808,29.12,3.439,1.376,2.0,1.0,0.05,-2.0,1.5,1.5,2,28.551,GP(skopt),50
204,wine_quality,mlp,high,sparse,18.935,16.736,10.992,0.863,2.0,1.0,0.05,0.187,1.079,0.249,2,18.948,GP(skopt),50
222,wine_quality,mlp,high,sparse,27.201,26.185,5.082,1.306,2.0,1.0,0.05,-0.57,1.003,0.584,2,26.365,GP(skopt),50
123,wine_quality,mlp,high,sparse,27.849,26.959,4.449,0.5,2.0,1.0,0.05,1.5,1.014,0.791,2,27.527,GP(skopt),50
26,wine_quality,mlp,high,sparse,21.349,17.233,20.58,0.5,2.0,1.0,0.05,-1.398,1.205,0.343,2,19.623,GP(skopt),50
213,wine_quality,mlp,low,sparse,28.779,28.496,1.414,0.5,2.0,1.0,0.05,0.143,1.0,1.385,2,28.498,GP(skopt),50
286,wine_quality,mlp,high,sparse,30.008,29.036,4.859,1.482,2.0,1.0,0.05,1.5,1.052,1.342,2,28.308,GP(skopt),50
117,wine_quality,mlp,low,sparse,26.893,26.308,2.922,1.317,2.0,1.0,0.05,-0.333,1.029,1.039,2,25.976,GP(skopt),50
301,wine_quality,mlp,high,sparse,29.124,28.641,2.416,0.5,2.0,1.0,0.05,1.5,1.0,1.381,2,27.679,GP(skopt),50
157,wine_quality,mlp,low,sparse,8.532,7.092,7.197,0.5,2.0,1.0,0.05,-1.333,1.0,0.238,2,7.675,GP(skopt),50
237,wine_quality,mlp,high,sparse,27.495,26.348,5.732,1.574,2.0,1.0,0.05,-0.598,1.048,0.699,2,25.46,GP(skopt),50
158,wine_quality,mlp,high,sparse,27.258,25.804,7.271,0.529,2.0,1.0,0.05,-0.501,1.0,0.346,2,25.993,GP(skopt),50
47,wine_quality,mlp,low,sparse,14.64,10.875,18.826,0.5,2.0,1.0,0.05,-1.034,1.0,0.2,2,13.003,GP(skopt),50
177,wine_quality,mlp,low,sparse,28.589,26.79,8.994,2.794,2.0,1.0,0.05,-0.81,1.012,1.392,2,27.451,GP(skopt),50
223,wine_quality,mlp,low,sparse,14.937,12.36,12.886,0.525,2.0,1.0,0.05,-0.404,1.0,0.2,2,15.626,GP(skopt),50
75,wine_quality,mlp,high,sparse,24.387,22.867,7.599,0.5,2.0,1.0,0.05,-0.321,1.5,0.703,2,24.334,GP(skopt),50
303,wine_quality,mlp,high,sparse,29.14,28.696,2.217,0.5,2.0,1.0,0.05,0.142,1.116,1.5,2,27.673,GP(skopt),50
230,wine_quality,mlp,low,sparse,13.308,9.528,18.901,0.5,2.0,1.0,0.05,-1.144,1.0,0.2,2,12.144,GP(skopt),50
305,wine_quality,mlp,high,sparse,19.968,18.695,6.364,0.5,2.0,1.0,0.05,-0.398,1.0,0.267,2,19.891,GP(skopt),50
7,wine_quality,mlp,low,sparse,21.358,20.241,5.583,0.5,2.0,1.0,0.05,1.226,1.184,0.296,2,20.929,GP(skopt),50
241,wine_quality,mlp,low,sparse,28.892,27.76,5.663,2.073,2.0,1.0,0.05,-1.341,1.382,0.965,2,26.524,GP(skopt),50
86,wine_quality,mlp,high,sparse,29.367,26.274,15.463,1.514,2.0,1.0,0.05,-0.518,1.0,1.004,2,28.135,GP(skopt),50
311,wine_quality,mlp,low,sparse,31.502,29.802,8.497,0.682,2.0,1.0,0.05,-0.048,1.27,1.5,2,28.132,GP(skopt),50
289,wine_quality,mlp,high,sparse,36.078,29.36,33.589,1.601,2.0,1.0,0.05,-0.7,1.047,1.111,2,33.469,GP(skopt),50
267,wine_quality,mlp,low,sparse,23.351,20.601,13.752,2.267,2.0,1.0,0.05,-1.056,1.348,0.645,2,21.573,GP(skopt),50
166,wine_quality,mlp,high,sparse,19.474,15.381,20.469,0.5,2.0,1.0,0.05,-0.709,1.0,0.232,2,20.094,GP(skopt),50
68,wine_quality,mlp,high,sparse,19.175,17.03,10.725,0.5,2.0,1.0,0.05,-1.421,1.0,0.2,2,17.739,GP(skopt),50
247,wine_quality,mlp,low,sparse,15.268,12.38,14.436,0.734,2.0,1.0,0.05,-0.632,1.0,0.232,2,14.946,GP(skopt),50
197,wine_quality,mlp,low,sparse,29.608,29.38,1.14,0.5,2.0,1.0,0.05,-2.0,1.0,1.5,2,28.03,GP(skopt),50
212,wine_quality,mlp,high,sparse,28.369,26.598,8.859,0.5,2.0,1.0,0.05,0.562,1.5,0.818,2,26.598,GP(skopt),50
210,wine_quality,mlp,low,sparse,18.615,15.496,15.595,0.912,2.0,1.0,0.05,0.971,1.0,0.2,2,18.862,GP(skopt),50
243,wine_quality,mlp,high,sparse,19.437,17.16,11.388,0.535,2.0,1.0,0.05,1.5,1.0,0.2,2,19.705,GP(skopt),50
275,wine_quality,mlp,low,sparse,29.717,28.493,6.118,3.0,2.0,1.0,0.05,0.909,1.0,1.5,2,28.867,GP(skopt),50
316,wine_quality,mlp,high,sparse,30.086,29.629,2.285,0.5,2.0,1.0,0.05,1.5,1.108,1.5,2,28.294,GP(skopt),50
319,wine_quality,mlp,high,sparse,30.211,28.86,6.757,0.5,2.0,1.0,0.05,-0.225,1.0,0.745,2,28.15,GP(skopt),50
203,wine_quality,mlp,high,sparse,16.684,12.143,22.707,0.5,2.0,1.0,0.05,-2.0,1.057,0.2,2,15.901,GP(skopt),50
35,wine_quality,mlp,low,sparse,20.578,20.18,1.993,0.87,2.0,1.0,0.05,-1.559,1.23,0.77,2,19.193,GP(skopt),50
98,wine_quality,mlp,high,sparse,20.91,18.365,12.726,0.5,2.0,1.0,0.05,1.025,1.0,0.2,2,20.48,GP(skopt),50
252,wine_quality,mlp,high,sparse,27.341,24.458,14.412,2.084,2.0,1.0,0.05,-1.358,1.39,0.976,2,25.399,GP(skopt),50
142,wine_quality,mlp,low,sparse,18.122,16.908,6.066,0.5,2.0,1.0,0.05,0.426,1.105,0.337,2,17.284,GP(skopt),50
20,wine_quality,mlp,low,sparse,28.257,26.271,9.93,2.069,2.0,1.0,0.05,-1.313,1.395,0.988,2,26.022,GP(skopt),50
125,wine_quality,mlp,high,sparse,27.12,26.594,2.631,0.5,2.0,1.0,0.05,0.517,1.0,0.596,2,26.495,GP(skopt),50
18,wine_quality,mlp,high,sparse,19.842,18.452,6.952,0.5,2.0,1.0,0.05,1.5,1.0,0.272,2,19.101,GP(skopt),50
309,wine_quality,mlp,high,sparse,27.302,24.099,16.014,1.153,2.0,1.0,0.05,-0.183,1.172,0.271,2,26.241,GP(skopt),50
136,wine_quality,mlp,low,sparse,8.561,5.833,13.639,0.5,2.0,1.0,0.05,-2.0,1.0,0.2,2,8.489,GP(skopt),50
