Participant Id,dataId,Model,Complexity,Variant,Strategy,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
144,wine_quality,mlp,high,dense,calculation,21.929,18.96,14.841,0.614,2.0,1.0,0.05,-0.45,1.5,0.531,2,21.389,GP(skopt),50
144,wine_quality,mlp,high,dense,heuristic,20.777,18.887,9.446,1.06,2.0,1.0,0.05,-0.413,1.5,0.2,2,17.148,GP(skopt),50
138,wine_quality,mlp,high,dense,calculation,22.199,15.418,33.905,0.743,2.0,1.0,0.05,-1.087,1.389,0.2,2,20.915,GP(skopt),50
138,wine_quality,mlp,high,dense,heuristic,19.482,16.541,14.706,2.226,2.0,1.0,0.05,-1.429,1.396,0.84,2,18.495,GP(skopt),50
126,wine_quality,mlp,high,dense,calculation,18.996,16.195,14.005,0.509,2.0,1.0,0.05,-1.122,1.5,0.386,2,18.936,GP(skopt),50
126,wine_quality,mlp,high,dense,heuristic,18.164,16.791,6.865,1.115,2.0,1.0,0.05,-0.804,1.5,0.507,2,17.361,GP(skopt),50
263,wine_quality,mlp,high,dense,calculation,28.586,27.451,5.674,0.5,2.0,1.0,0.05,1.5,1.5,1.168,2,28.192,GP(skopt),50
263,wine_quality,mlp,high,dense,heuristic,21.472,20.034,7.187,1.503,2.0,1.0,0.05,-0.48,1.458,1.024,2,20.866,GP(skopt),50
76,wine_quality,mlp,high,dense,calculation,26.845,23.43,17.072,0.5,2.0,1.0,0.05,-2.0,1.0,0.54,2,26.457,GP(skopt),50
76,wine_quality,mlp,high,dense,heuristic,28.974,27.612,6.813,0.5,2.0,1.0,0.05,-2.0,1.0,1.5,2,28.526,GP(skopt),50
205,wine_quality,mlp,low,sparse,calculation,28.901,28.184,3.587,0.5,2.0,1.0,0.05,-1.057,1.0,1.48,2,28.769,GP(skopt),50
205,wine_quality,mlp,low,sparse,heuristic,30.845,29.972,4.362,3.0,2.0,1.0,0.05,0.825,1.052,1.5,2,31.214,GP(skopt),50
29,wine_quality,mlp,low,sparse,calculation,28.355,27.93,2.124,0.5,2.0,1.0,0.05,-2.0,1.0,1.5,2,28.414,GP(skopt),50
29,wine_quality,mlp,low,sparse,heuristic,29.468,28.882,2.931,3.0,2.0,1.0,0.05,1.5,1.5,1.336,2,26.664,GP(skopt),50
279,wine_quality,mlp,low,sparse,calculation,31.512,29.336,10.878,1.994,2.0,1.0,0.05,1.5,1.082,1.5,2,31.074,GP(skopt),50
279,wine_quality,mlp,low,sparse,heuristic,26.983,24.708,11.375,2.278,2.0,1.0,0.05,1.5,1.382,1.025,2,26.545,GP(skopt),50
64,wine_quality,mlp,high,dense,calculation,19.025,14.287,23.69,0.5,2.0,1.0,0.05,-2.0,1.5,0.449,2,18.969,GP(skopt),50
