Participant Id,Condition,Model,dataId,Complexity,Phase,Trial Index,Trial Index Binary,Instance Id,XAIType,Tested w/ XAI,Time > 120 and < 3,Time,Log(time),Response,AI prediction,DT prediction,LR prediction,Explainer prediction,Response==AI,Response==DT,Response==LR,Response==Explainer,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,Changed amount (normalized),Absolute changed amount (normalized),DT prediction (CF),LR prediction (CF),AI prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,Condition:Complexity,Factor Recall Accuracy,DT Overall Recall Accuracy,Combined Memory Failure,Mean(Response==AI),Mean(changed AI prediction),Median time,Time and Performance < 20th percentile,Time > 120 or < 3,Exclude,Trial Index == 1
69,DT,mlp,mushrooms,high,forward,1,0,197.0,DT,w/ XAI,0.0,86.164,4.456252457,-60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,1
69,DT,mlp,mushrooms,high,forward,2,0,320.0,DT,w/o XAI,0.0,24.607,3.2030309553,-40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,3,0,323.0,DT,w/o XAI,0.0,26.359,3.2718097726,-40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,4,0,383.0,DT,w/o XAI,0.0,20.643,3.0273762789,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,5,0,376.0,DT,w/o XAI,0.0,14.955,2.7050456921,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,6,0,94.0,DT,w/o XAI,0.0,15.474,2.7391611961,-60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,7,0,191.0,DT,w/ XAI,0.0,18.147,2.8985052578,-40.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,8,0,64.0,DT,w/o XAI,0.0,56.499,4.0342229389,-60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,9,0,53.0,DT,w/o XAI,0.0,11.232,2.4187668473,-40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,10,0,232.0,DT,w/o XAI,0.0,11.641,2.4545333493,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,11,0,49.0,DT,w/o XAI,0.0,16.385,2.7963662822,-40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,12,0,135.0,DT,w/ XAI,0.0,24.627,3.203843402,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,13,0,141.0,DT,w/ XAI,0.0,9.31,2.2310890913,40.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,14,0,165.0,DT,w/o XAI,0.0,8.785,2.1730457216,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,15,0,38.0,DT,w/o XAI,0.0,7.636,2.0328739059,-20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,16,0,324.0,DT,w/o XAI,0.0,4.598,1.5256214263,-60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,17,0,246.0,DT,w/ XAI,0.0,73.225,4.2935368927,-60.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,18,0,228.0,DT,w/o XAI,0.0,8.584,2.1499000053,-100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,19,0,287.0,DT,w/o XAI,0.0,10.541,2.3552724153,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,20,0,365.0,DT,w/ XAI,0.0,19.641,2.9776192181,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,21,1,347.0,DT,w/o XAI,0.0,8.755,2.1696249657,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,22,1,340.0,DT,w/ XAI,0.0,16.746,2.8181594238,-40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,23,1,339.0,DT,w/o XAI,0.0,7.248,1.9807255687,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,24,1,244.0,DT,w/ XAI,0.0,15.666,2.7514927589,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,25,1,95.0,DT,w/o XAI,0.0,7.501,2.015036345,-80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,26,1,364.0,DT,w/o XAI,0.0,7.548,2.0212826275,20.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,27,1,388.0,DT,w/ XAI,0.0,17.26,2.8483916857,-60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,28,1,218.0,DT,w/ XAI,0.0,16.534,2.8054188668,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,29,1,22.0,DT,w/ XAI,0.0,5.081,1.6255080926,40.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,30,1,333.0,DT,w/o XAI,0.0,6.918,1.9341267105,-80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,31,1,93.0,DT,w/o XAI,0.0,12.577,2.5318697491,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,32,1,301.0,DT,w/ XAI,0.0,6.496,1.8711866029,-40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,33,1,349.0,DT,w/ XAI,0.0,6.065,1.8025345424,-40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,34,1,108.0,DT,w/o XAI,0.0,11.11,2.4078456037,-20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,35,1,81.0,DT,w/o XAI,0.0,14.072,2.6441870074,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,36,1,291.0,DT,w/ XAI,0.0,20.06,2.9987277825,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,37,1,252.0,DT,w/o XAI,0.0,6.716,1.9044927392,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,38,1,381.0,DT,w/o XAI,0.0,6.863,1.9261446639,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
69,DT,mlp,mushrooms,high,forward,39,1,386.0,DT,w/o XAI,0.0,5.467,1.6987300199,60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,DT:high,,0.2,0.0,0.6,0.65,13.0525,0.0,,0.0,0
