participant_id,explanation_type,exp_property,n_trials,n_training_feedback_cases,training_instance_ids,aggregation,normalize_by_i_max,confidence_scale,confidence_intercept,comparison_C,max_features_attended,guess_bias,lapse_rate,use_exemplar_memory,memory_sensitivity,memory_decay,retrieval_threshold,strategy,k,sensitivity,always_attend_changed,comparison_scale,comparison_intercept,training_feedback_accuracy,test_nll_model_participant,test_total_nll_model_participant,n_parameters,test_bic_model_participant,test_accuracy_model_participant,test_brier_model_participant,test_accuracy_participant_answer_key
41,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,2.0,1.0,1000000.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,896.5828248469966,0.3348682410628148,0.8,0.447244422807598,12.970088261420342,10,59.61313482270542,0.7931034482758621,0.1513972235724087,0.7586206896551724
40,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,2.0,-1.0,10000.0,12,0.0,0.0,True,4.0,0.5,,attribution_sum,3,10.0,True,106.27543601299408,0.1670312772333442,0.8,0.5626521520268644,16.316912408779068,11,69.67407894740936,0.7241379310344828,0.1938365929037448,0.7931034482758621
28,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,value_weighted,False,128.0,0.0,10000.0,12,0.0,0.0,True,4.0,0.5,,attribution_sum,3,10.0,True,56.14313779586719,-0.1350532049082489,0.6,0.5070787254263202,14.705283037363284,11,66.45082020457778,0.5862068965517241,0.1835841036742511,0.8275862068965517
29,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,0.5,0.0,1000000.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,620.5618393091255,0.1581740644942885,0.8,0.4256990323587673,12.345271938404252,10,58.36350217667325,0.8620689655172413,0.1431760200555373,0.8275862068965517
25,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,8.0,-1.0,10000.0,4,0.0,0.0,True,4.0,0.5,,attribution_sum,3,10.0,True,101.17309341518616,-0.2886837152765102,0.8,0.6444103033978915,18.687898798538853,11,74.41605172692891,0.5172413793103449,0.2297571594039534,0.5172413793103449
37,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,2.0,-1.0,100000000.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,1224.1342268552385,0.2578001154564491,0.8,0.3532719885843931,10.2448876689474,10,54.162733637759544,0.8620689655172413,0.1184854067601029,0.8275862068965517
42,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,0.5,0.0,1000000.0,12,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,735.0856901377375,0.0324711742008442,0.8,0.5824638106189405,16.891450507949273,10,67.45585931576329,0.6896551724137931,0.2035064494864233,0.6551724137931034
26,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,value_weighted,False,128.0,-1.0,100.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,5.455738963987283,-0.1491981963572444,0.6,0.6217066283378384,18.029492221797312,10,69.73194274345937,0.5517241379310345,0.2237677354395324,0.5862068965517241
18,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,value_weighted,False,128.0,-1.0,10000.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,18.187940559129196,-0.2250172203591112,0.6,0.5854621111942893,16.97840122463439,10,67.62976074913351,0.6206896551724138,0.2090170465519371,0.5862068965517241
46,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,2.0,1.0,1000000.0,4,0.0,0.0,False,1.0,0.5,,attribution_sum,3,10.0,True,896.5828248469966,0.3348682410628148,0.8,0.4208154733123833,12.203648726059116,10,58.080255751982975,0.8275862068965517,0.138793762127092,0.7931034482758621
38,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,100.0,12,0.0,0.0,False,1.0,0.5,,sensitive_features,3,10.0,True,9.08205033547116,0.1995014143731902,0.9,0.4873569602371016,14.133351846875946,6,48.47047867367074,0.7586206896551724,0.1637442705779385,0.8275862068965517
39,0,faithful,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,8.0,-1.0,1000000.0,12,0.0,0.0,True,1.0,0.5,,attribution_sum,3,10.0,True,-114.2934417267681,0.1384550198436964,0.4,0.6017104046591308,17.449601735114793,11,71.9394576000808,0.6896551724137931,0.2180682528117339,0.2068965517241379
36,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,True,8.0,-1.0,100000000.0,4,0.0,0.0,True,4.0,0.5,,attribution_sum,3,10.0,True,-1997.2999274669855,0.2195741038878646,0.6,0.6142673390801261,17.813752833323658,11,72.66775979649853,0.6551724137931034,0.2177452009745933,0.4827586206896552
21,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,100.0,12,0.0,0.0,False,1.0,0.5,,sensitive_features,5,20.0,True,7.9644226166222865,-0.0124581336979351,0.9,0.5039713034029313,14.615167798685007,6,49.43411057728886,0.6551724137931034,0.1735912584101882,0.8620689655172413
24,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,10000.0,12,0.0,0.0,False,1.0,0.5,,salient_features,5,20.0,True,23.87047866841449,-0.0207546189764762,0.7,0.5949631593435106,17.253931620961808,6,54.71163822184246,0.5517241379310345,0.2153581887054541,0.8275862068965517
30,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,100.0,12,0.0,0.0,False,1.0,0.5,,salient_features,8,20.0,True,8.884250753425242,-0.1488639591701217,0.8,0.5936490257621586,17.2158217471026,6,54.63541847412404,0.6551724137931034,0.2106798141606673,0.8620689655172413
35,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,10000.0,12,0.0,0.0,False,1.0,0.5,,sensitive_features,2,1.0,True,48.25449138094216,0.1964546164382816,0.8,0.5365199270156408,15.559077883453584,6,51.32193074682601,0.8620689655172413,0.1621160113699772,0.896551724137931
14,1,sparse,29,10,0;1;2;3;4;5;6;7;8;9,attribution,False,1.0,0.0,10000.0,12,0.0,0.0,False,1.0,0.5,,sensitive_features,8,4.0,True,67.8361531388688,1.619258860910158,1.0,0.2891780424935225,8.386163232312153,6,36.97610144454315,0.8620689655172413,0.0814116700845057,0.7241379310344828
