Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type,Best Strategy NLL,Best Strategy,Best NLL
Sensitive-features categorization,67d72e56bfef3906846145ae,0.2512057184,0.6111111111,0.8888888889,0.7222222222,2,w/ XAI,importance,76.703638943,1,-2.967453087,adult,,,0.2512057184,Sensitive-features categorization,
Sensitive-features categorization,67fce2ec87c9866707eb37d6,0.463744921,0.8333333333,0.8333333333,0.7777777778,2,w/ XAI,importance,15.440994687,3,-1.423552897,adult,,,0.463744921,Sensitive-features categorization,
Sensitive-features categorization,67bf37ab0da485dd443bd296,0.4019544326,0.7222222222,0.6111111111,0.6666666667,2,w/ XAI,importance,85.585152824,3,-2.322480243,adult,,,0.4019544326,Sensitive-features categorization,
Sensitive-features categorization,67f24d9d37225c87ef8b09c4,0.2703576941,0.6111111111,0.9444444444,0.6666666667,2,w/ XAI,importance,100,5,-4,adult,,,0.2703576941,Sensitive-features categorization,
Sensitive-features categorization,67eb2bd6461dbf31558bcfe5,0.078042113,0.6111111111,0.9444444444,0.6666666667,2,w/ XAI,importance,75.860345096,5,-1.976620218,adult,,,0.078042113,Sensitive-features categorization,
Sensitive-features categorization,67e4ae4138a215b586f1355c,0.4351795624,0.6111111111,0.5555555556,0.7222222222,2,w/ XAI,importance,100,4,-1.724220356,adult,,,0.4351795624,Sensitive-features categorization,
Sensitive-features categorization,63e0171a023e364d692fb8f8,0.1534792138,0.6666666667,1,0.6666666667,2,w/ XAI,importance,66.505444195,4,-2.30473704,adult,,,0.1534792138,Sensitive-features categorization,
Sensitive-features categorization,6772e5da8e7f5a628ec140fb,0.564726514,0.7777777778,0.7777777778,0.5555555556,2,w/ XAI,importance,6.1422129677,5,-1.662930381,adult,,,0.564726514,Sensitive-features categorization,
Sensitive-features categorization,692c55a22b643604a1e5b2b7,0.1397641964,1,0.9444444444,0.9444444444,2,w/ XAI,importance,90.342570409,2,-2.202792814,adult,,,0.1397641964,Sensitive-features categorization,
Sensitive-features categorization,66b0fcfa3618a4341f42a2d5,0.3177793838,0.9444444444,0.7777777778,0.7222222222,2,w/ XAI,importance,23.442773581,5,-1.985041244,adult,,,0.3177793838,Sensitive-features categorization,
Sensitive-features categorization,69440e9eeb27a9920de2398b,-1e-10,1,1,1,2,w/ XAI,importance,100,1,-1.967195791,adult,,,-1e-10,Sensitive-features categorization,
Sensitive-features categorization,69416fa422c9d7211774aa4b,0.4197123564,0.8333333333,0.7222222222,0.6666666667,2,w/ XAI,importance,20.43584432,5,-3.64983905,adult,,,0.4197123564,Sensitive-features categorization,
Salient-features categorization,5f98c3f8f2d9be1e75e21709,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.885406259,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,582c71a66ef28c00019a1068,7.2702878e-7,1,1,1,2,w/ XAI,importance,97.942700563,2,-3.311193497,adult,,,7.2702878e-7,Salient-features categorization,
Salient-features categorization,613929236e3092c6bad219ab,2.4287697e-7,1,1,1,2,w/ XAI,importance,100,2,-3.629273049,adult,,,2.4287697e-7,Salient-features categorization,
Salient-features categorization,67d9e8a1074327b372eb538d,7.234444e-10,1,1,1,2,w/ XAI,importance,85.536282549,3,-4,adult,,,7.234444e-10,Salient-features categorization,
Salient-features categorization,67d3551f6f4cc3ef447e9f9d,-1e-10,1,1,1,2,w/ XAI,importance,95.302354668,2,-2.95657041,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,67647d282ff8283c98de09be,0.1398883223,0.9444444444,0.8888888889,0.9444444444,2,w/ XAI,importance,100,3,-4,adult,,,0.1398883223,Salient-features categorization,
Salient-features categorization,67be05692b18b631ece5fd2e,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.877988063,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,67e41f99fdb74ed8bfa1d413,2.612373e-10,1,1,1,2,w/ XAI,importance,98.537749981,3,-3.013151122,adult,,,2.612373e-10,Salient-features categorization,
Salient-features categorization,67cdfc79afffcc745e30c3a1,6.8647901e-7,1,1,1,2,w/ XAI,importance,100,2,-3.003656947,adult,,,6.8647901e-7,Salient-features categorization,
Salient-features categorization,69126297f10fd7837af44eda,1.04592e-6,1,1,1,2,w/ XAI,importance,100,2,-2.865483593,adult,,,1.04592e-6,Salient-features categorization,
Salient-features categorization,691de5f84e51711d498cbd95,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.727436885,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,65256fe93880231e2221e2d6,-9.99818e-11,1,1,1,2,w/ XAI,importance,63.99836481,2,-2.513727103,adult,,,-9.99818e-11,Salient-features categorization,
Salient-features categorization,691cc00ec7079e22e626ebbe,0.0779275943,0.7222222222,0.8888888889,0.6111111111,2,w/ XAI,importance,77.013983722,5,-2.732450679,adult,,,0.0779275943,Salient-features categorization,
Salient-features categorization,692db6ccc16d2f8842a43fa4,5.6755697e-7,1,1,1,2,w/ XAI,importance,100,2,-4,adult,,,5.6755697e-7,Salient-features categorization,
Salient-features categorization,691cbcd3504bafe48c64577e,-4.31695e-11,1,1,1,2,w/ XAI,importance,97.016370391,3,-3.481794351,adult,,,-4.31695e-11,Salient-features categorization,
Salient-features categorization,67aab41e6ab2c08a64b9937d,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.921088449,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,5f4ff07962b18413353ec9fb,1.9550541e-7,1,1,1,2,w/ XAI,importance,100,2,-4,adult,,,1.9550541e-7,Salient-features categorization,
Salient-features categorization,6716b1c1381834293ad68aa2,0.0385081766,0.9444444444,1,0.9444444444,2,w/ XAI,importance,48.677535742,1,-3.845767113,adult,,,0.0385081766,Salient-features categorization,
Salient-features categorization,691dd723559ca7c89564ea8b,-1e-10,1,1,1,2,w/ XAI,importance,89.125293163,2,-2.719994142,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,691dcf9bf03c4a71c02b9344,2.253801e-7,1,1,1,2,w/ XAI,importance,100,2,-3.670872527,adult,,,2.253801e-7,Salient-features categorization,
Salient-features categorization,66949e06c57e3523e7ceb939,0.0005716414,1,1,1,2,w/ XAI,importance,43.228769526,2,-3.262825733,adult,,,0.0005716414,Salient-features categorization,
Salient-features categorization,691ca5fafe123605302d14cd,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.85407037,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,652ff02c47b60c9772af947b,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.741037337,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,632d189d6b8f03d0d3db4c48,0.1609044098,0.8888888889,0.9444444444,0.8333333333,2,w/ XAI,importance,33.044833785,5,-3.769384043,adult,,,0.1609044098,Salient-features categorization,
Salient-features categorization,69440e9eeb27a9920de2398b,-1e-10,1,1,1,2,w/ XAI,importance,68.223098927,3,-2.697702831,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,694179d88301c400c4bbdb4d,1.8618162e-7,1,1,1,2,w/ XAI,importance,100,2,-3.274705129,adult,,,1.8618162e-7,Salient-features categorization,
Salient-features categorization,693b2398905c5229e2fb930a,2.2070728e-7,1,1,1,2,w/ XAI,importance,100,2,-4,adult,,,2.2070728e-7,Salient-features categorization,
Salient-features categorization,694234786664a12ed4429044,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.841987803,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,6941ecbd54e322a3d1e9015e,6.789901e-7,1,1,1,2,w/ XAI,importance,100,2,-3.312037452,adult,,,6.789901e-7,Salient-features categorization,
Salient-features categorization,69419c81ee92288e4d87076d,-9.99996e-11,1,1,1,2,w/ XAI,importance,74.83058672,2,-2.710919048,adult,,,-9.99996e-11,Salient-features categorization,
Salient-features categorization,664542f89cc024722de5cf05,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.979753525,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,66cfcd2639ad0e8ba7f904ab,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.865057279,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,6942b9725a33f79eb921e237,0.5563358073,0.6666666667,0.7222222222,0.7222222222,2,w/ XAI,importance,1,1,-3.711832377,adult,,,0.5563358073,Salient-features categorization,
Salient-features categorization,6944cf58bc1b757bdc6aa373,0.5694492771,0.5,0.6111111111,0.2222222222,2,w/ XAI,importance,1,5,-1.889563625,adult,,,0.5694492771,Salient-features categorization,
Salient-features categorization,6942bb8aaecada175ecc2e2b,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.723245624,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,6943060a110c4d5914ee9696,3.249872e-10,1,1,1,2,w/ XAI,importance,86.463611542,3,-3.150870687,adult,,,3.249872e-10,Salient-features categorization,
Salient-features categorization,674e13651be376573f0715ac,-1e-10,1,1,1,2,w/ XAI,importance,100,2,-2.888961184,adult,,,-1e-10,Salient-features categorization,
Salient-features categorization,69416fde71a4e68e4440e576,2.1365245e-6,1,1,1,2,w/ XAI,importance,95.329814239,2,-2.759282616,adult,,,2.1365245e-6,Salient-features categorization,
Importance categorization,692aad411cd170fb19e9eda2,0.0781531078,0.8888888889,0.8888888889,0.7777777778,2,w/ XAI,importance,100,5,-3.155035148,adult,,,0.0781531078,Importance categorization,
Importance categorization,6942cc21e18720ec009c709c,0.1431822746,0.6111111111,1,0.6111111111,2,w/ XAI,importance,24.303916493,1,-2.673637205,adult,,,0.1431822746,Importance categorization,
Importance categorization,69416f4716fda7b2fb54b6d9,0.5776226503,0.5,0.3888888889,0.2222222222,2,w/ XAI,importance,1,5,-1.5,adult,,,0.5776226503,Importance categorization,
Importance categorization,674a5a673178c1f7ecbdaa6e,0.3273148722,0.7777777778,0.8888888889,0.6666666667,2,w/ XAI,importance,16.393545859,1,-3.524156667,adult,,,0.3273148722,Importance categorization,
Importance categorization,67369db99dd4634ddb459a60,0.3231175196,0.9444444444,0.9444444444,0.8888888889,2,w/ XAI,importance,21.706578188,5,-3.332814198,adult,,,0.3231175196,Importance categorization,
Attribution Sum,67d6e1a36086654c357b5e2e,0.0007081495,1,1,1,2,w/ XAI,importance,,3,-2.817578719,adult,7.8282028738,importance,0.0007081495,Attribution Sum,
Attribution Sum,67171fa93cd108b6c2b59e4e,0.5546171389,0.3888888889,0.6111111111,0.3333333333,2,w/ XAI,importance,,1,-1.636057422,adult,2.7247412818,importance,0.5546171389,Attribution Sum,
Attribution Sum,667cfd0b827314cd6f7027c4,0.365564733,0.8333333333,0.8888888889,0.7222222222,2,w/ XAI,importance,,1,-3.940363925,adult,2.6876985764,importance,0.365564733,Attribution Sum,
Attribution Sum,674a78440e8d4f1f51847fb7,0.1168222178,0.8333333333,1,0.8333333333,2,w/ XAI,importance,,1,-4,adult,8,importance,0.1168222178,Attribution Sum,
Attribution Sum,694187dbd7e84050791b4d78,0.5653833566,1,0.7222222222,0.7222222222,2,w/ XAI,importance,,5,-4,adult,0.853981453,importance,0.5653833566,Attribution Sum,
Sensitive-features categorization,582c71a66ef28c00019a1068,0.2636396584,0.8888888889,0.8333333333,0.8333333333,1,w/o XAI,importance,46.642604827,4,-1.632118031,adult,,,0.2636396584,Sensitive-features categorization,
Sensitive-features categorization,67d72e56bfef3906846145ae,0.3175029964,0.7777777778,0.6111111111,0.7222222222,1,w/o XAI,importance,85.842406972,3,-2.624716183,adult,,,0.3175029964,Sensitive-features categorization,
Sensitive-features categorization,67647d282ff8283c98de09be,0.2913165394,0.5555555556,0.8333333333,0.5,1,w/o XAI,importance,97.436496904,2,-3.348546542,adult,,,0.2913165394,Sensitive-features categorization,
Sensitive-features categorization,691cc00ec7079e22e626ebbe,0.472389103,0.6666666667,0.8333333333,0.5,1,w/o XAI,importance,7.8477637025,1,-3.318197563,adult,,,0.472389103,Sensitive-features categorization,
Sensitive-features categorization,63e0171a023e364d692fb8f8,0.3795518767,0.6666666667,1,0.6666666667,1,w/o XAI,importance,25.088483106,1,-3.805895582,adult,,,0.3795518767,Sensitive-features categorization,
Sensitive-features categorization,693b60db3153360dc0eed38c,0.2637975792,0.7777777778,0.8888888889,0.6666666667,1,w/o XAI,importance,25.017697625,3,-1.756959654,adult,,,0.2637975792,Sensitive-features categorization,
Sensitive-features categorization,692aad411cd170fb19e9eda2,0.2539258565,0.6111111111,0.7777777778,0.7222222222,1,w/o XAI,importance,100,3,-2.060661893,adult,,,0.2539258565,Sensitive-features categorization,
Sensitive-features categorization,66b0fcfa3618a4341f42a2d5,0.2727436586,0.5555555556,0.8333333333,0.7222222222,1,w/o XAI,importance,100,3,-3.461670835,adult,,,0.2727436586,Sensitive-features categorization,
Sensitive-features categorization,693b2398905c5229e2fb930a,0.3750193075,0.8333333333,0.8333333333,0.7777777778,1,w/o XAI,importance,25.297236233,5,-1.663415328,adult,,,0.3750193075,Sensitive-features categorization,
Sensitive-features categorization,6942bb8aaecada175ecc2e2b,0.2128778639,0.6111111111,0.8333333333,0.7777777778,1,w/o XAI,importance,17.368998188,4,-1.495969861,adult,,,0.2128778639,Sensitive-features categorization,
Salient-features categorization,67d6e1a36086654c357b5e2e,0.2504306799,0.8888888889,0.8333333333,0.8333333333,1,w/o XAI,importance,9.5342473972,3,-2.947379587,adult,,,0.2504306799,Salient-features categorization,
Salient-features categorization,67d9e8a1074327b372eb538d,0.1936593325,0.7777777778,0.8333333333,0.8333333333,1,w/o XAI,importance,55.251823287,1,-3.09857444,adult,,,0.1936593325,Salient-features categorization,
Salient-features categorization,67fce2ec87c9866707eb37d6,0.1759607856,0.9444444444,0.8888888889,0.9444444444,1,w/o XAI,importance,11.655433139,2,-3.805287477,adult,,,0.1759607856,Salient-features categorization,
Salient-features categorization,67bf37ab0da485dd443bd296,0.2534461903,0.7222222222,0.8333333333,0.6666666667,1,w/o XAI,importance,64.315879097,1,-3.117136407,adult,,,0.2534461903,Salient-features categorization,
