Participant Id,Trial Index,Instance Id,XAIType,Tested w/ XAI,AI prediction,Time,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI prediction (CF),condition,model,app_id,complexity,Model strategy,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature,Trial NLL,Trial MAE,retrieval_threshold,over_margin,chi,Best NLL,Best MAE,Best time,Best retrieval_threshold,Best over_margin,Best chi,Model strategy,Model depth,Model changed feature index,Model changed feature name,Model changed amount,Model AI prediction (CF),Model changed AI prediction,Model XAI prediction (CF),Model changed XAI prediction,Model mean_delta for chosen feature
6722f0dfa5df03f57bfa6c41,18120,54.0,DT,w/o XAI,1.0,49.041,3.0,Vinegar Taint,numeric,0.35,0.58,0.23,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.23,1,0,1,0,0.23,0.2685191533649407,0.20002181215433001,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.23,1,0,1,0,0.23
6722f0dfa5df03f57bfa6c41,18121,97.0,DT,w/o XAI,0.0,25.088,0.0,Alcohol,numeric,11.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,1.0,1,1,1,1,1.0,1.3263630188837439,0.0007500569445375923,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,1.0,1,1,1,1,1.0
6722f0dfa5df03f57bfa6c41,18122,147.0,DT,w/ XAI,0.0,27.44,3.0,Vinegar Taint,numeric,0.27,0.39,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.12,0,0,0,0,0.12,0.31469888099490145,0.21960569550931,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.12,0,0,0,0,0.12
6722f0dfa5df03f57bfa6c41,18123,372.0,DT,w/o XAI,0.0,30.901,0.0,Alcohol,numeric,9.4,12.0,2.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,2.6,1,1,1,1,2.6,1.5202687717269743,0.7692307692307693,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,2.6,1,1,1,1,2.6
6722f0dfa5df03f57bfa6c41,18124,179.0,DT,w/ XAI,1.0,9.931,0.0,Alcohol,numeric,12.0,11.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0,1.4294203030030679,0.28280133899581955,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0
6722f0dfa5df03f57bfa6c41,18125,202.0,DT,w/ XAI,0.0,27.66,3.0,Vinegar Taint,numeric,0.59,0.38,-0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.21,0,0,0,0,0.21,0.31469888099490145,0.20591456736035044,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.21,0,0,0,0,0.21
6722f0dfa5df03f57bfa6c41,18126,144.0,DT,w/o XAI,1.0,11.218,0.0,Alcohol,numeric,12.0,11.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0,1.5942676750893388,0.3084423646368451,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,1.0,0,1,0,1,1.0
6722f0dfa5df03f57bfa6c41,18127,266.0,DT,w/o XAI,0.0,19.685,0.0,Alcohol,numeric,10.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,0,Alcohol,2.0,1,1,1,1,2.0,1.1152764325612587,0.10181404561956506,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,0,Alcohol,2.0,1,1,1,1,2.0
6722f0dfa5df03f57bfa6c41,18128,8.0,DT,w/ XAI,1.0,26.884,3.0,Vinegar Taint,numeric,0.33,0.57,0.24,0.0,1.0,1.0,0.0,1.0,1.0,1.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.24,1,0,1,0,0.24,0.28912999173881737,0.04110968973448661,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.24,1,0,1,0,0.24
6722f0dfa5df03f57bfa6c41,18129,124.0,DT,w/o XAI,0.0,25.713,3.0,Vinegar Taint,numeric,0.59,0.38,-0.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DT,mlp,wine_quality,low,change_path_dt,1,3,Vinegar Taint,0.21,0,0,0,0,0.21,0.3101745926591614,0.20591456736035044,-0.005303862362852296,0.2058782620727424,0.00778385585527704,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,change_path_dt,1,3,Vinegar Taint,0.21,0,0,0,0,0.21
