participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataset,dataId,instanceId,phase,phaseTrialId,shown_xai_type
1,1,1,1,decision_tree,decision_tree,wine_quality,wine_quality,6,testing,1,decision_tree
1,2,1,2,decision_tree,decision_tree,wine_quality,wine_quality,8,testing,2,decision_tree
1,3,1,3,decision_tree,decision_tree,wine_quality,wine_quality,9,testing,3,decision_tree
2,1,1,1,decision_tree,decision_tree,mushrooms,mushrooms,108,testing,1,decision_tree
2,2,1,2,decision_tree,decision_tree,mushrooms,mushrooms,106,testing,2,decision_tree
2,3,1,3,decision_tree,decision_tree,mushrooms,mushrooms,107,testing,3,decision_tree
3,1,1,1,decision_tree,decision_tree,wine_quality,wine_quality,8,testing,1,decision_tree
3,2,1,2,decision_tree,decision_tree,wine_quality,wine_quality,7,testing,2,decision_tree
3,3,1,3,decision_tree,decision_tree,wine_quality,wine_quality,9,testing,3,decision_tree
4,1,1,1,decision_tree,decision_tree,mushrooms,mushrooms,107,testing,1,decision_tree
4,2,1,2,decision_tree,decision_tree,mushrooms,mushrooms,106,testing,2,decision_tree
4,3,1,3,decision_tree,decision_tree,mushrooms,mushrooms,105,testing,3,decision_tree
