participantId,trialId,block,trialWithinBlock,withinCondition,tested_w_xai,xai_method,dataId,instanceId,model_type,CV_age_group_levels,CV_gender_levels
1,1,1,1,single_condition,False,shap,wine_quality,1462,mlp,young|adult|senior,male|female|other
1,2,1,2,single_condition,True,shap,wine_quality,721,mlp,young|adult|senior,male|female|other
1,3,1,3,single_condition,True,shap,wine_quality,521,mlp,young|adult|senior,male|female|other
1,4,1,4,single_condition,False,shap,wine_quality,861,mlp,young|adult|senior,male|female|other
1,5,1,5,single_condition,False,shap,wine_quality,344,mlp,young|adult|senior,male|female|other
1,6,1,6,single_condition,False,shap,wine_quality,535,mlp,young|adult|senior,male|female|other
1,7,1,7,single_condition,False,shap,wine_quality,41,mlp,young|adult|senior,male|female|other
1,8,1,8,single_condition,True,shap,wine_quality,382,mlp,young|adult|senior,male|female|other
1,9,1,9,single_condition,True,shap,wine_quality,452,mlp,young|adult|senior,male|female|other
1,10,1,10,single_condition,True,shap,wine_quality,481,mlp,young|adult|senior,male|female|other
2,1,1,1,single_condition,False,lime,wine_quality,1125,mlp,young|adult|senior,male|female|other
2,2,1,2,single_condition,True,lime,wine_quality,1516,mlp,young|adult|senior,male|female|other
2,3,1,3,single_condition,True,lime,wine_quality,712,mlp,young|adult|senior,male|female|other
2,4,1,4,single_condition,False,lime,wine_quality,1095,mlp,young|adult|senior,male|female|other
2,5,1,5,single_condition,True,lime,wine_quality,1316,mlp,young|adult|senior,male|female|other
2,6,1,6,single_condition,False,lime,wine_quality,195,mlp,young|adult|senior,male|female|other
2,7,1,7,single_condition,False,lime,wine_quality,438,mlp,young|adult|senior,male|female|other
2,8,1,8,single_condition,True,lime,wine_quality,212,mlp,young|adult|senior,male|female|other
2,9,1,9,single_condition,True,lime,wine_quality,1407,mlp,young|adult|senior,male|female|other
2,10,1,10,single_condition,False,lime,wine_quality,1438,mlp,young|adult|senior,male|female|other
3,1,1,1,single_condition,True,none,wine_quality,23,mlp,young|adult|senior,male|female|other
