sweep_parameter,sweep_value,condition_name,app_id,model_name,selected_strategy,trials,mean_reward,mean_prob_correct,mean_time,availability_rate,dataset_trials,selection_rate
opportunity_cost,0.0,decision_tree,adult,xgboost,dt_traversal,40,0.425,0.425,5.843664241344425,1.0,40,1.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,dt_traversal,40,0.75,0.75,4.563709518403572,1.0,40,1.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,dt_traversal,80,0.688671875,0.688671875,6.371337990722925,1.0,80,1.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,dt_traversal,40,0.55,0.55,5.3243867936969895,1.0,40,1.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,dt_traversal,40,0.575,0.575,4.595495564883413,1.0,40,1.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,dt_traversal,40,0.70078125,0.70078125,6.177858743799678,1.0,40,1.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,dt_traversal,40,0.675,0.675,4.901319906977045,1.0,40,1.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,dt_traversal,40,0.73046875,0.73046875,4.849693327312419,1.0,40,1.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,hybrid,anes96_vote,mlp,dt_traversal,9,0.8333333333333334,0.8333333333333334,11.03225888613962,1.0,40,0.225
opportunity_cost,0.0,hybrid,anes96_vote,mlp,lr_calculation,11,0.8237766703633972,0.8237766703633972,17.517832979655466,1.0,40,0.275
opportunity_cost,0.0,hybrid,anes96_vote,mlp,lr_heuristic,20,0.5924761506043997,0.5924761506043997,4.68277373418607,1.0,40,0.5
opportunity_cost,0.0,hybrid,breast_cancer,xgboost,dt_traversal,8,0.82421875,0.82421875,7.8315635657671985,1.0,40,0.2
opportunity_cost,0.0,hybrid,breast_cancer,xgboost,lr_calculation,13,0.8617588889507677,0.8617588889507677,19.224175918905022,1.0,40,0.325
opportunity_cost,0.0,hybrid,breast_cancer,xgboost,lr_heuristic,19,0.6234063140494742,0.6234063140494742,8.788125009725656,1.0,40,0.475
opportunity_cost,0.0,hybrid,mushrooms,mlp,dt_traversal,16,0.75,0.75,11.1896771778162,1.0,40,0.4
opportunity_cost,0.0,hybrid,mushrooms,mlp,lr_calculation,6,0.5255633145881821,0.5255633145881821,21.017651542034432,1.0,40,0.15
opportunity_cost,0.0,hybrid,mushrooms,mlp,lr_heuristic,18,0.6148405229833367,0.6148405229833367,9.576179584723654,1.0,40,0.45
opportunity_cost,0.0,hybrid,rand_health_visits,mlp,dt_traversal,27,0.7581018518518519,0.7581018518518519,9.904353320305459,1.0,80,0.3375
opportunity_cost,0.0,hybrid,rand_health_visits,mlp,lr_calculation,16,0.8207920583733241,0.8207920583733241,14.593253458212573,1.0,80,0.2
opportunity_cost,0.0,hybrid,rand_health_visits,mlp,lr_heuristic,37,0.6000286372191794,0.6000286372191794,6.241921795931086,1.0,80,0.4625
opportunity_cost,0.0,hybrid,star98_pass_rate,mlp,dt_traversal,13,0.9230769230769231,0.9230769230769231,8.475902223670904,1.0,40,0.325
opportunity_cost,0.0,hybrid,star98_pass_rate,mlp,lr_calculation,7,0.8192812512705513,0.8192812512705513,21.40875186932533,1.0,40,0.175
