sweep_parameter,sweep_value,condition_name,app_id,model_name,selected_strategy,trials,mean_reward,mean_prob_correct,mean_time,availability_rate,dataset_trials,selection_rate
opportunity_cost,0.0,decision_tree,adult,xgboost,dt_traversal,40,0.43125,0.43125,17.093506331467005,1.0,40,1.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,dt_traversal,40,0.7046875,0.7046875,11.915935794834857,1.0,40,1.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,dt_traversal,80,0.659375,0.659375,15.039508991710886,1.0,80,1.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,dt_traversal,40,0.54609375,0.54609375,12.39072402734428,1.0,40,1.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,dt_traversal,40,0.55625,0.55625,11.793279544834856,1.0,40,1.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,dt_traversal,40,0.6671875,0.6671875,15.517298774039768,1.0,40,1.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,dt_traversal,40,0.665625,0.665625,11.98240966912366,1.0,40,1.0
