sweep_parameter,sweep_value,condition_name,app_id,model_name,selected_strategy,trials,mean_reward,mean_prob_correct,mean_time,availability_rate,dataset_trials,selection_rate
opportunity_cost,0.0,decision_tree,adult,xgboost,dt_traversal,40,0.4421875,0.4421875,16.859368438857707,1.0,40,1.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,adult,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,dt_traversal,40,0.70625,0.70625,11.944060794834858,1.0,40,1.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,breast_cancer,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,dt_traversal,80,0.6609375,0.6609375,15.05725563254121,1.0,80,1.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,80,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,dt_traversal,40,0.540625,0.540625,12.317100314823815,1.0,40,1.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,forest_cover,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,dt_traversal,40,0.5703125,0.5703125,11.794060794834857,1.0,40,1.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,mushrooms,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,dt_traversal,40,0.675,0.675,15.448991902595745,1.0,40,1.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,star98_pass_rate,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,dt_traversal,40,0.6640625,0.6640625,11.983904544834857,1.0,40,1.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,mlp,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,dt_traversal,40,0.725,0.725,12.313260751953658,1.0,40,1.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,lr_calculation,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,decision_tree,wine_binary,xgboost,lr_heuristic,0,0.0,0.0,0.0,0.0,40,0.0
opportunity_cost,0.0,hybrid,anes96_vote,mlp,dt_traversal,10,0.8,0.8,31.247584273898884,1.0,40,0.25
opportunity_cost,0.0,hybrid,anes96_vote,mlp,lr_calculation,13,0.799824953922313,0.799824953922313,15.582731175506014,1.0,40,0.325
opportunity_cost,0.0,hybrid,anes96_vote,mlp,lr_heuristic,17,0.6381985977344573,0.6381985977344573,6.311983764306912,1.0,40,0.425
