sweep_parameter,sweep_value,strategy_name,feature,selection_rate
decision_noise,0.3,dt_traversal,a0,0.0
decision_noise,0.3,dt_traversal,a1,0.0
decision_noise,0.3,dt_traversal,a2,0.0
decision_noise,0.3,dt_traversal,a3,0.0
decision_noise,0.3,dt_traversal,a4,0.0
decision_noise,0.3,dt_traversal,a5,0.0
decision_noise,0.3,lr_calculation,a0,0.382
decision_noise,0.3,lr_calculation,a1,0.567
decision_noise,0.3,lr_calculation,a2,0.335
decision_noise,0.3,lr_calculation,a3,0.293
decision_noise,0.3,lr_calculation,a4,0.182
decision_noise,0.3,lr_calculation,a5,0.292
decision_noise,0.3,lr_heuristic,a0,0.173
decision_noise,0.3,lr_heuristic,a1,0.169
decision_noise,0.3,lr_heuristic,a2,0.376
decision_noise,0.3,lr_heuristic,a3,0.251
decision_noise,0.3,lr_heuristic,a4,0.075
decision_noise,0.3,lr_heuristic,a5,0.055
decision_noise,0.35,dt_traversal,a0,0.0
decision_noise,0.35,dt_traversal,a1,0.0
decision_noise,0.35,dt_traversal,a2,0.0
decision_noise,0.35,dt_traversal,a3,0.0
decision_noise,0.35,dt_traversal,a4,0.0
decision_noise,0.35,dt_traversal,a5,0.0
decision_noise,0.35,lr_calculation,a0,0.38
decision_noise,0.35,lr_calculation,a1,0.549
decision_noise,0.35,lr_calculation,a2,0.318
decision_noise,0.35,lr_calculation,a3,0.28
decision_noise,0.35,lr_calculation,a4,0.17
decision_noise,0.35,lr_calculation,a5,0.279
decision_noise,0.35,lr_heuristic,a0,0.188
decision_noise,0.35,lr_heuristic,a1,0.17
decision_noise,0.35,lr_heuristic,a2,0.378
decision_noise,0.35,lr_heuristic,a3,0.298
decision_noise,0.35,lr_heuristic,a4,0.124
decision_noise,0.35,lr_heuristic,a5,0.063
decision_noise,0.4,dt_traversal,a0,0.0
decision_noise,0.4,dt_traversal,a1,0.0
decision_noise,0.4,dt_traversal,a2,0.0
decision_noise,0.4,dt_traversal,a3,0.0
decision_noise,0.4,dt_traversal,a4,0.0
decision_noise,0.4,dt_traversal,a5,0.0
decision_noise,0.4,lr_calculation,a0,0.374
decision_noise,0.4,lr_calculation,a1,0.537
decision_noise,0.4,lr_calculation,a2,0.301
decision_noise,0.4,lr_calculation,a3,0.275
decision_noise,0.4,lr_calculation,a4,0.164
decision_noise,0.4,lr_calculation,a5,0.259
decision_noise,0.4,lr_heuristic,a0,0.176
decision_noise,0.4,lr_heuristic,a1,0.178
decision_noise,0.4,lr_heuristic,a2,0.402
decision_noise,0.4,lr_heuristic,a3,0.308
decision_noise,0.4,lr_heuristic,a4,0.121
decision_noise,0.4,lr_heuristic,a5,0.071
decision_noise,0.45,dt_traversal,a0,0.0
decision_noise,0.45,dt_traversal,a1,0.0
decision_noise,0.45,dt_traversal,a2,0.0
decision_noise,0.45,dt_traversal,a3,0.0
decision_noise,0.45,dt_traversal,a4,0.0
decision_noise,0.45,dt_traversal,a5,0.0
decision_noise,0.45,lr_calculation,a0,0.37
decision_noise,0.45,lr_calculation,a1,0.531
decision_noise,0.45,lr_calculation,a2,0.287
decision_noise,0.45,lr_calculation,a3,0.261
decision_noise,0.45,lr_calculation,a4,0.155
decision_noise,0.45,lr_calculation,a5,0.246
decision_noise,0.45,lr_heuristic,a0,0.204
decision_noise,0.45,lr_heuristic,a1,0.185
decision_noise,0.45,lr_heuristic,a2,0.392
decision_noise,0.45,lr_heuristic,a3,0.32
decision_noise,0.45,lr_heuristic,a4,0.156
decision_noise,0.45,lr_heuristic,a5,0.072
decision_noise,0.5,dt_traversal,a0,0.0
decision_noise,0.5,dt_traversal,a1,0.0
decision_noise,0.5,dt_traversal,a2,0.0
decision_noise,0.5,dt_traversal,a3,0.0
decision_noise,0.5,dt_traversal,a4,0.0
decision_noise,0.5,dt_traversal,a5,0.0
decision_noise,0.5,lr_calculation,a0,0.359
decision_noise,0.5,lr_calculation,a1,0.522
decision_noise,0.5,lr_calculation,a2,0.277
decision_noise,0.5,lr_calculation,a3,0.257
decision_noise,0.5,lr_calculation,a4,0.15
decision_noise,0.5,lr_calculation,a5,0.232
decision_noise,0.5,lr_heuristic,a0,0.221
decision_noise,0.5,lr_heuristic,a1,0.197
decision_noise,0.5,lr_heuristic,a2,0.386
decision_noise,0.5,lr_heuristic,a3,0.335
decision_noise,0.5,lr_heuristic,a4,0.155
decision_noise,0.5,lr_heuristic,a5,0.072
memory_recall_threshold,-1.0,dt_traversal,a0,0.0
memory_recall_threshold,-1.0,dt_traversal,a1,0.0
memory_recall_threshold,-1.0,dt_traversal,a2,0.0
memory_recall_threshold,-1.0,dt_traversal,a3,0.0
memory_recall_threshold,-1.0,dt_traversal,a4,0.0
memory_recall_threshold,-1.0,dt_traversal,a5,0.0
memory_recall_threshold,-1.0,lr_calculation,a0,0.358
memory_recall_threshold,-1.0,lr_calculation,a1,0.513
memory_recall_threshold,-1.0,lr_calculation,a2,0.27
memory_recall_threshold,-1.0,lr_calculation,a3,0.255
memory_recall_threshold,-1.0,lr_calculation,a4,0.165
memory_recall_threshold,-1.0,lr_calculation,a5,0.24
memory_recall_threshold,-1.0,lr_heuristic,a0,0.343
memory_recall_threshold,-1.0,lr_heuristic,a1,0.353
memory_recall_threshold,-1.0,lr_heuristic,a2,0.536
memory_recall_threshold,-1.0,lr_heuristic,a3,0.438
memory_recall_threshold,-1.0,lr_heuristic,a4,0.235
memory_recall_threshold,-1.0,lr_heuristic,a5,0.178
memory_recall_threshold,-0.25,dt_traversal,a0,0.0
memory_recall_threshold,-0.25,dt_traversal,a1,0.0
memory_recall_threshold,-0.25,dt_traversal,a2,0.0
memory_recall_threshold,-0.25,dt_traversal,a3,0.0
memory_recall_threshold,-0.25,dt_traversal,a4,0.0
memory_recall_threshold,-0.25,dt_traversal,a5,0.0
memory_recall_threshold,-0.25,lr_calculation,a0,0.354
memory_recall_threshold,-0.25,lr_calculation,a1,0.515
memory_recall_threshold,-0.25,lr_calculation,a2,0.279
memory_recall_threshold,-0.25,lr_calculation,a3,0.253
memory_recall_threshold,-0.25,lr_calculation,a4,0.169
memory_recall_threshold,-0.25,lr_calculation,a5,0.241
memory_recall_threshold,-0.25,lr_heuristic,a0,0.276
memory_recall_threshold,-0.25,lr_heuristic,a1,0.27
memory_recall_threshold,-0.25,lr_heuristic,a2,0.477
memory_recall_threshold,-0.25,lr_heuristic,a3,0.385
memory_recall_threshold,-0.25,lr_heuristic,a4,0.199
memory_recall_threshold,-0.25,lr_heuristic,a5,0.126
memory_recall_threshold,0.5,dt_traversal,a0,0.0
memory_recall_threshold,0.5,dt_traversal,a1,0.0
memory_recall_threshold,0.5,dt_traversal,a2,0.0
memory_recall_threshold,0.5,dt_traversal,a3,0.0
memory_recall_threshold,0.5,dt_traversal,a4,0.0
memory_recall_threshold,0.5,dt_traversal,a5,0.0
memory_recall_threshold,0.5,lr_calculation,a0,0.357
memory_recall_threshold,0.5,lr_calculation,a1,0.524
memory_recall_threshold,0.5,lr_calculation,a2,0.278
memory_recall_threshold,0.5,lr_calculation,a3,0.255
memory_recall_threshold,0.5,lr_calculation,a4,0.146
memory_recall_threshold,0.5,lr_calculation,a5,0.224
memory_recall_threshold,0.5,lr_heuristic,a0,0.202
memory_recall_threshold,0.5,lr_heuristic,a1,0.2
memory_recall_threshold,0.5,lr_heuristic,a2,0.373
memory_recall_threshold,0.5,lr_heuristic,a3,0.333
memory_recall_threshold,0.5,lr_heuristic,a4,0.15
memory_recall_threshold,0.5,lr_heuristic,a5,0.069
memory_recall_threshold,1.25,dt_traversal,a0,0.0
memory_recall_threshold,1.25,dt_traversal,a1,0.0
memory_recall_threshold,1.25,dt_traversal,a2,0.0
memory_recall_threshold,1.25,dt_traversal,a3,0.0
memory_recall_threshold,1.25,dt_traversal,a4,0.0
memory_recall_threshold,1.25,dt_traversal,a5,0.0
memory_recall_threshold,1.25,lr_calculation,a0,0.36
memory_recall_threshold,1.25,lr_calculation,a1,0.529
memory_recall_threshold,1.25,lr_calculation,a2,0.27
memory_recall_threshold,1.25,lr_calculation,a3,0.254
memory_recall_threshold,1.25,lr_calculation,a4,0.145
memory_recall_threshold,1.25,lr_calculation,a5,0.237
memory_recall_threshold,1.25,lr_heuristic,a0,0.141
memory_recall_threshold,1.25,lr_heuristic,a1,0.156
memory_recall_threshold,1.25,lr_heuristic,a2,0.295
memory_recall_threshold,1.25,lr_heuristic,a3,0.273
memory_recall_threshold,1.25,lr_heuristic,a4,0.107
memory_recall_threshold,1.25,lr_heuristic,a5,0.034
memory_recall_threshold,2.0,dt_traversal,a0,0.0
memory_recall_threshold,2.0,dt_traversal,a1,0.0
memory_recall_threshold,2.0,dt_traversal,a2,0.0
memory_recall_threshold,2.0,dt_traversal,a3,0.0
memory_recall_threshold,2.0,dt_traversal,a4,0.0
memory_recall_threshold,2.0,dt_traversal,a5,0.0
memory_recall_threshold,2.0,lr_calculation,a0,0.354
memory_recall_threshold,2.0,lr_calculation,a1,0.532
memory_recall_threshold,2.0,lr_calculation,a2,0.274
memory_recall_threshold,2.0,lr_calculation,a3,0.245
memory_recall_threshold,2.0,lr_calculation,a4,0.15
memory_recall_threshold,2.0,lr_calculation,a5,0.248
memory_recall_threshold,2.0,lr_heuristic,a0,0.065
memory_recall_threshold,2.0,lr_heuristic,a1,0.13
memory_recall_threshold,2.0,lr_heuristic,a2,0.22
memory_recall_threshold,2.0,lr_heuristic,a3,0.208
memory_recall_threshold,2.0,lr_heuristic,a4,0.057
