sweep_parameter,sweep_value,strategy_name,n_rows,mean_reward,mean_prob_correct,mean_pred_time,mean_selected_features,mean_decision_boundary,accuracy,illegal_action_rate
decision_noise,0.3,dt_traversal,1000,0.5943889132598672,0.680625,8.623608674013285,0.0,0.8265,0.631,0.0
decision_noise,0.3,lr_calculation,1000,0.542511636961547,0.6467889632376508,10.017532627610365,2.051,0.7656000000000001,0.639,0.0
decision_noise,0.3,lr_heuristic,1000,0.5693823566500467,0.6093601217546514,3.777976510460472,1.099,0.7437,0.669,0.0
decision_noise,0.35,dt_traversal,1000,0.5836156321011374,0.6693125,8.569686789886259,0.0,0.8568000000000001,0.628,0.0
decision_noise,0.35,lr_calculation,1000,0.5423393305379562,0.6384482852455068,9.215695470755048,1.976,0.786,0.644,0.0
decision_noise,0.35,lr_heuristic,1000,0.570259861516601,0.6119479858207761,3.9246124304175094,1.221,0.7245,0.66,0.0
decision_noise,0.4,dt_traversal,1000,0.5741856656063871,0.6613125,8.712683439361301,0.0,0.9051,0.63,0.0
decision_noise,0.4,lr_calculation,1000,0.5434539435399447,0.6328890552428115,8.561511170286677,1.91,0.7986,0.643,0.0
decision_noise,0.4,lr_heuristic,1000,0.5708660376745708,0.613360306292612,3.998226861804123,1.256,0.7431,0.67,0.0
decision_noise,0.45,dt_traversal,1000,0.5600990643647347,0.64965625,8.955718563526535,0.0,0.9726,0.63,0.0
decision_noise,0.45,lr_calculation,1000,0.5429849177461094,0.6276240249099009,8.09391071637916,1.85,0.822,0.645,0.0
decision_noise,0.45,lr_heuristic,1000,0.576852594680211,0.6199498227286491,4.0439228048438,1.329,0.7425,0.694,0.0
decision_noise,0.5,dt_traversal,1000,0.546790824560815,0.64109375,9.430292543918506,0.0,1.0791000000000002,0.625,0.0
decision_noise,0.5,lr_calculation,1000,0.5407287862554475,0.6210537354387804,7.673094918333297,1.797,0.8361000000000001,0.657,0.0
decision_noise,0.5,lr_heuristic,1000,0.5754830838905974,0.6187109644835445,4.0495880592947024,1.366,0.7356,0.682,0.0
memory_recall_threshold,-1.0,dt_traversal,1000,0.5419245154242059,0.64853125,10.6606734575794,0.0,0.9549000000000001,0.736,0.0
memory_recall_threshold,-1.0,lr_calculation,1000,0.5872216538294528,0.6664879267976941,7.566427296824131,1.801,0.8709000000000001,0.701,0.0
memory_recall_threshold,-1.0,lr_heuristic,1000,0.5781171141895006,0.6379225656440028,5.5639451454502185,2.083,0.9006000000000001,0.713,0.0
memory_recall_threshold,-0.25,dt_traversal,1000,0.5424883095444686,0.63996875,9.748044045553142,0.0,1.0077,0.649,0.0
memory_recall_threshold,-0.25,lr_calculation,1000,0.5717709197146427,0.6509138965360893,7.5520976821446615,1.811,0.8541,0.687,0.0
memory_recall_threshold,-0.25,lr_heuristic,1000,0.5720067706841784,0.6233956044996054,4.792283381542695,1.733,0.7995,0.708,0.0
memory_recall_threshold,0.5,dt_traversal,1000,0.5451311455806306,0.6388125,9.368135441936944,0.0,1.0725,0.627,0.0
memory_recall_threshold,0.5,lr_calculation,1000,0.5380921752979689,0.6180705661023145,7.641039080434558,1.784,0.8349,0.641,0.0
memory_recall_threshold,0.5,lr_heuristic,1000,0.5755791709541201,0.6180052283403045,3.977205738618432,1.327,0.7343999999999999,0.669,0.0
memory_recall_threshold,1.25,dt_traversal,1000,0.546448331190632,0.639,9.255166880936807,0.0,1.1403,0.619,0.0
memory_recall_threshold,1.25,lr_calculation,1000,0.537386835943221,0.6175029609105378,7.652612496731672,1.795,0.8133,0.583,0.0
memory_recall_threshold,1.25,lr_heuristic,1000,0.5486021084843214,0.5829310640434491,3.2316955559127583,1.006,0.684,0.624,0.0
memory_recall_threshold,2.0,dt_traversal,1000,0.5475470945094496,0.641375,9.382790549055043,0.0,1.188,0.616,0.0
memory_recall_threshold,2.0,lr_calculation,1000,0.5368348593193181,0.6158125142422672,7.537165492294918,1.803,0.7821,0.58,0.0
memory_recall_threshold,2.0,lr_heuristic,1000,0.5406497892216814,0.5689530004725177,2.6917211250836233,0.693,0.6591,0.593,0.0
opportunity_cost,0.0,dt_traversal,1000,0.6646875,0.6646875,12.253690357260513,0.0,1.7814000000000003,0.627,0.0
opportunity_cost,0.0,lr_calculation,1000,0.6471719139952872,0.6542359139952871,13.351543826979281,3.532,1.1778000000000002,0.66,0.0
opportunity_cost,0.0,lr_heuristic,1000,0.6466194481559588,0.6524594481559588,7.665779544504082,2.92,1.2294,0.727,0.0
opportunity_cost,0.005,dt_traversal,1000,0.6019124648068835,0.6615625,11.93000703862328,0.0,1.5861,0.629,0.0
opportunity_cost,0.005,lr_calculation,1000,0.5834425581543374,0.6423957143741775,10.681031243968,2.774,1.008,0.654,0.0
opportunity_cost,0.005,lr_heuristic,1000,0.599106277584789,0.6316907732570894,5.667299134460084,2.124,0.9186,0.692,0.0
opportunity_cost,0.01,dt_traversal,1000,0.5457136821024812,0.63884375,9.313006789751887,0.0,1.0671000000000002,0.626,0.0
opportunity_cost,0.01,lr_calculation,1000,0.5391317521001896,0.6192652124999669,7.655946039977735,1.787,0.837,0.645,0.0
opportunity_cost,0.01,lr_heuristic,1000,0.5687606252963241,0.6114893377735037,4.0044712477179605,1.342,0.7386,0.671,0.0
opportunity_cost,0.015,dt_traversal,1000,0.4989958068580256,0.60375,6.98361287613163,0.0,0.8337,0.609,0.0
opportunity_cost,0.015,lr_calculation,1000,0.5224743441445684,0.6021731275722544,5.176985561845734,1.022,0.6608999999999999,0.641,0.0
opportunity_cost,0.015,lr_heuristic,1000,0.5416032602236591,0.5829983760415793,2.6739410545280133,0.643,0.6591,0.614,0.0
opportunity_cost,0.02,dt_traversal,1000,0.4704596852782758,0.60775,6.864515736086209,0.0,0.8034,0.609,0.0
opportunity_cost,0.02,lr_calculation,1000,0.5096259230362549,0.5921449867739922,4.063053186886864,0.629,0.6162,0.63,0.0
opportunity_cost,0.02,lr_heuristic,1000,0.531004727788107,0.5730232365080213,2.071325435995713,0.296,0.6246,0.603,0.0
