participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,tested_w_xai,dataId,instanceId,CV_user_task_levels,model_type,phase,phaseTrialId,shown_xai_type
1,1,1,1,decision_tree,decision_tree,False,wine_quality,217,forward_simulation,mlp,testing,1,decision_tree
1,2,1,2,decision_tree,decision_tree,True,wine_quality,156,forward_simulation,mlp,testing,2,decision_tree
1,3,1,3,decision_tree,decision_tree,True,wine_quality,172,forward_simulation,mlp,testing,3,decision_tree
1,4,1,4,decision_tree,decision_tree,False,wine_quality,269,forward_simulation,mlp,testing,4,decision_tree
1,5,1,5,decision_tree,decision_tree,True,wine_quality,69,forward_simulation,mlp,testing,5,decision_tree
1,6,1,6,decision_tree,decision_tree,False,wine_quality,212,forward_simulation,mlp,testing,6,decision_tree
1,7,2,1,logistic_regression,logistic_regression,True,wine_quality,23,forward_simulation,mlp,testing,7,logistic_regression
1,8,2,2,logistic_regression,logistic_regression,True,wine_quality,390,forward_simulation,mlp,testing,8,logistic_regression
1,9,2,3,logistic_regression,logistic_regression,False,wine_quality,344,forward_simulation,mlp,testing,9,logistic_regression
1,10,2,4,logistic_regression,logistic_regression,False,wine_quality,261,forward_simulation,mlp,testing,10,logistic_regression
1,11,2,5,logistic_regression,logistic_regression,True,wine_quality,372,forward_simulation,mlp,testing,11,logistic_regression
1,12,2,6,logistic_regression,logistic_regression,False,wine_quality,41,forward_simulation,mlp,testing,12,logistic_regression
2,1,1,1,logistic_regression,logistic_regression,False,wine_quality,195,forward_simulation,mlp,testing,1,logistic_regression
2,2,1,2,logistic_regression,logistic_regression,False,wine_quality,126,forward_simulation,mlp,testing,2,logistic_regression
2,3,1,3,logistic_regression,logistic_regression,True,wine_quality,366,forward_simulation,mlp,testing,3,logistic_regression
2,4,1,4,logistic_regression,logistic_regression,True,wine_quality,38,forward_simulation,mlp,testing,4,logistic_regression
2,5,1,5,logistic_regression,logistic_regression,False,wine_quality,1,forward_simulation,mlp,testing,5,logistic_regression
2,6,1,6,logistic_regression,logistic_regression,True,wine_quality,261,forward_simulation,mlp,testing,6,logistic_regression
2,7,2,1,decision_tree,decision_tree,True,wine_quality,390,forward_simulation,mlp,testing,7,decision_tree
2,8,2,2,decision_tree,decision_tree,False,wine_quality,163,forward_simulation,mlp,testing,8,decision_tree
2,9,2,3,decision_tree,decision_tree,True,wine_quality,15,forward_simulation,mlp,testing,9,decision_tree
2,10,2,4,decision_tree,decision_tree,True,wine_quality,126,forward_simulation,mlp,testing,10,decision_tree
2,11,2,5,decision_tree,decision_tree,False,wine_quality,217,forward_simulation,mlp,testing,11,decision_tree
2,12,2,6,decision_tree,decision_tree,False,wine_quality,17,forward_simulation,mlp,testing,12,decision_tree
3,1,1,1,decision_tree,decision_tree,False,wine_quality,316,forward_simulation,mlp,testing,1,decision_tree
3,2,1,2,decision_tree,decision_tree,True,wine_quality,299,forward_simulation,mlp,testing,2,decision_tree
3,3,1,3,decision_tree,decision_tree,True,wine_quality,41,forward_simulation,mlp,testing,3,decision_tree
3,4,1,4,decision_tree,decision_tree,False,wine_quality,166,forward_simulation,mlp,testing,4,decision_tree
3,5,1,5,decision_tree,decision_tree,True,wine_quality,117,forward_simulation,mlp,testing,5,decision_tree
3,6,1,6,decision_tree,decision_tree,False,wine_quality,19,forward_simulation,mlp,testing,6,decision_tree
3,7,2,1,logistic_regression,logistic_regression,True,wine_quality,127,forward_simulation,mlp,testing,7,logistic_regression
3,8,2,2,logistic_regression,logistic_regression,True,wine_quality,306,forward_simulation,mlp,testing,8,logistic_regression
3,9,2,3,logistic_regression,logistic_regression,False,wine_quality,339,forward_simulation,mlp,testing,9,logistic_regression
3,10,2,4,logistic_regression,logistic_regression,True,wine_quality,29,forward_simulation,mlp,testing,10,logistic_regression
3,11,2,5,logistic_regression,logistic_regression,False,wine_quality,211,forward_simulation,mlp,testing,11,logistic_regression
3,12,2,6,logistic_regression,logistic_regression,False,wine_quality,96,forward_simulation,mlp,testing,12,logistic_regression
4,1,1,1,logistic_regression,logistic_regression,True,wine_quality,10,forward_simulation,mlp,testing,1,logistic_regression
4,2,1,2,logistic_regression,logistic_regression,True,wine_quality,29,forward_simulation,mlp,testing,2,logistic_regression
4,3,1,3,logistic_regression,logistic_regression,False,wine_quality,344,forward_simulation,mlp,testing,3,logistic_regression
4,4,1,4,logistic_regression,logistic_regression,False,wine_quality,167,forward_simulation,mlp,testing,4,logistic_regression
4,5,1,5,logistic_regression,logistic_regression,False,wine_quality,218,forward_simulation,mlp,testing,5,logistic_regression
4,6,1,6,logistic_regression,logistic_regression,True,wine_quality,207,forward_simulation,mlp,testing,6,logistic_regression
4,7,2,1,decision_tree,decision_tree,True,wine_quality,269,forward_simulation,mlp,testing,7,decision_tree
4,8,2,2,decision_tree,decision_tree,False,wine_quality,211,forward_simulation,mlp,testing,8,decision_tree
4,9,2,3,decision_tree,decision_tree,True,wine_quality,231,forward_simulation,mlp,testing,9,decision_tree
4,10,2,4,decision_tree,decision_tree,True,wine_quality,117,forward_simulation,mlp,testing,10,decision_tree
4,11,2,5,decision_tree,decision_tree,False,wine_quality,152,forward_simulation,mlp,testing,11,decision_tree
4,12,2,6,decision_tree,decision_tree,False,wine_quality,255,forward_simulation,mlp,testing,12,decision_tree
