counterfactual_accuracy,participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataId,instanceId,phase,phaseTrialId,shown_xai_type,tested_w_xai,step,condition_name,explanation_type,selected_strategy,ai_prediction,agent_prediction,cognitive_correct_vs_ai,prob_correct,pred_time
1,1,1,1,1,single_condition,decision_tree,wine_quality,7,training,1,decision_tree,,0,decision_tree,dt,dt_traversal,1,1,True,0.8125,15.931322408342053
0,1,2,1,2,single_condition,decision_tree,wine_quality,3,training,2,decision_tree,,1,decision_tree,dt,dt_traversal,1,0,False,0.1875,15.931322408342053
1,1,3,1,3,single_condition,decision_tree,wine_quality,2,training,3,decision_tree,,2,decision_tree,dt,dt_traversal,0,0,True,0.8125,12.552183725893588
1,1,4,1,4,single_condition,decision_tree,wine_quality,8,training,4,decision_tree,,3,decision_tree,dt,dt_traversal,1,1,True,0.9375,15.931322408342053
1,1,5,1,5,single_condition,decision_tree,wine_quality,5,training,5,decision_tree,,4,decision_tree,dt,dt_traversal,1,1,True,0.9375,15.931322408342053
1,1,6,1,6,single_condition,decision_tree,wine_quality,6,training,6,decision_tree,,5,decision_tree,dt,dt_traversal,0,0,True,0.9375,23.086559089669713
1,1,7,1,7,single_condition,decision_tree,wine_quality,9,training,7,decision_tree,,6,decision_tree,dt,dt_traversal,1,1,True,1.0,23.086559089669713
1,1,8,1,8,single_condition,decision_tree,wine_quality,4,training,8,decision_tree,,7,decision_tree,dt,dt_traversal,0,0,True,0.9375,23.086559089669713
0,1,9,1,9,single_condition,decision_tree,wine_quality,0,training,9,decision_tree,,8,decision_tree,dt,dt_traversal,1,0,False,0.125,23.086559089669713
1,1,10,1,10,single_condition,decision_tree,wine_quality,1,training,10,decision_tree,,9,decision_tree,dt,dt_traversal,0,0,True,0.875,15.931322408342053
0,1,11,1,1,single_condition,decision_tree,wine_quality,24,testing,1,decision_tree,False,10,decision_tree,none,dt_traversal,1,0,False,0.5,3.981795931473396
1,1,12,1,2,single_condition,decision_tree,wine_quality,18,testing,2,decision_tree,True,11,decision_tree,dt,dt_traversal,1,1,True,0.9375,23.086559089669713
1,1,13,1,3,single_condition,decision_tree,wine_quality,13,testing,3,decision_tree,False,12,decision_tree,none,dt_traversal,0,0,True,0.53125,5.252313155775921
1,1,14,1,4,single_condition,decision_tree,wine_quality,21,testing,4,decision_tree,True,13,decision_tree,dt,dt_traversal,0,0,True,0.875,15.931322408342053
1,1,15,1,5,single_condition,decision_tree,wine_quality,20,testing,5,decision_tree,True,14,decision_tree,dt,dt_traversal,1,1,True,0.875,28.003279544834864
0,1,16,1,6,single_condition,decision_tree,wine_quality,26,testing,6,decision_tree,False,15,decision_tree,none,dt_traversal,1,0,False,0.4375,6.946336121512618
0,1,17,1,7,single_condition,decision_tree,wine_quality,11,testing,7,decision_tree,False,16,decision_tree,none,dt_traversal,1,0,False,0.5,5.3964687999814
0,1,18,1,8,single_condition,decision_tree,wine_quality,22,testing,8,decision_tree,False,17,decision_tree,none,dt_traversal,1,0,False,0.5,6.234901507667985
1,1,19,1,9,single_condition,decision_tree,wine_quality,15,testing,9,decision_tree,True,18,decision_tree,dt,dt_traversal,1,1,True,0.875,12.552183725893588
1,1,20,1,10,single_condition,decision_tree,wine_quality,28,testing,10,decision_tree,False,19,decision_tree,none,dt_traversal,1,1,True,0.5625,7.902557414341746
1,1,21,1,11,single_condition,decision_tree,wine_quality,12,testing,11,decision_tree,False,20,decision_tree,none,dt_traversal,1,1,True,0.625,7.507084215354572
1,1,22,1,12,single_condition,decision_tree,wine_quality,10,testing,12,decision_tree,False,21,decision_tree,none,dt_traversal,1,1,True,0.5625,5.358889476903047
1,1,23,1,13,single_condition,decision_tree,wine_quality,14,testing,13,decision_tree,True,22,decision_tree,dt,dt_traversal,0,0,True,0.9375,15.931322408342053
1,1,24,1,14,single_condition,decision_tree,wine_quality,19,testing,14,decision_tree,False,23,decision_tree,none,dt_traversal,0,0,True,0.59375,7.16508612151262
