participantId,trialId,block,trialWithinBlock,withinCondition,validation_condition,explanation_property,dataId,instanceId,CV_num_training_levels,CV_num_testing_levels,CV_same_instructions_levels,CV_same_display_format_levels,phase,phaseTrialId
1,1,0,1,training,feature_check,faithful,sim2real,435,10,30,True,True,training,1
1,2,0,2,training,feature_check,faithful,sim2real,524,10,30,True,True,training,2
1,3,0,3,training,feature_check,faithful,sim2real,186,10,30,True,True,training,3
1,4,0,4,training,feature_check,faithful,sim2real,1,10,30,True,True,training,4
1,5,0,5,training,feature_check,faithful,sim2real,645,10,30,True,True,training,5
1,6,0,6,training,feature_check,faithful,sim2real,75,10,30,True,True,training,6
1,7,0,7,training,feature_check,faithful,sim2real,178,10,30,True,True,training,7
1,8,0,8,training,feature_check,faithful,sim2real,607,10,30,True,True,training,8
1,9,0,9,training,feature_check,faithful,sim2real,448,10,30,True,True,training,9
1,10,0,10,training,feature_check,faithful,sim2real,78,10,30,True,True,training,10
1,11,1,1,single_condition,feature_check,faithful,sim2real,525,10,30,True,True,testing,1
1,12,1,2,single_condition,feature_check,faithful,sim2real,731,10,30,True,True,testing,2
1,13,1,3,single_condition,feature_check,faithful,sim2real,672,10,30,True,True,testing,3
1,14,1,4,single_condition,feature_check,faithful,sim2real,26,10,30,True,True,testing,4
1,15,1,5,single_condition,feature_check,faithful,sim2real,602,10,30,True,True,testing,5
1,16,1,6,single_condition,feature_check,faithful,sim2real,676,10,30,True,True,testing,6
1,17,1,7,single_condition,feature_check,faithful,sim2real,240,10,30,True,True,testing,7
1,18,1,8,single_condition,feature_check,faithful,sim2real,0,10,30,True,True,testing,8
1,19,1,9,single_condition,feature_check,faithful,sim2real,499,10,30,True,True,testing,9
1,20,1,10,single_condition,feature_check,faithful,sim2real,309,10,30,True,True,testing,10
1,21,1,11,single_condition,feature_check,faithful,sim2real,469,10,30,True,True,testing,11
1,22,1,12,single_condition,feature_check,faithful,sim2real,155,10,30,True,True,testing,12
1,23,1,13,single_condition,feature_check,faithful,sim2real,508,10,30,True,True,testing,13
1,24,1,14,single_condition,feature_check,faithful,sim2real,501,10,30,True,True,testing,14
1,25,1,15,single_condition,feature_check,faithful,sim2real,797,10,30,True,True,testing,15
1,26,1,16,single_condition,feature_check,faithful,sim2real,91,10,30,True,True,testing,16
1,27,1,17,single_condition,feature_check,faithful,sim2real,214,10,30,True,True,testing,17
1,28,1,18,single_condition,feature_check,faithful,sim2real,480,10,30,True,True,testing,18
1,29,1,19,single_condition,feature_check,faithful,sim2real,19,10,30,True,True,testing,19
1,30,1,20,single_condition,feature_check,faithful,sim2real,8,10,30,True,True,testing,20
1,31,1,21,single_condition,feature_check,faithful,sim2real,369,10,30,True,True,testing,21
1,32,1,22,single_condition,feature_check,faithful,sim2real,55,10,30,True,True,testing,22
1,33,1,23,single_condition,feature_check,faithful,sim2real,534,10,30,True,True,testing,23
1,34,1,24,single_condition,feature_check,faithful,sim2real,313,10,30,True,True,testing,24
1,35,1,25,single_condition,feature_check,faithful,sim2real,502,10,30,True,True,testing,25
1,36,1,26,single_condition,feature_check,faithful,sim2real,340,10,30,True,True,testing,26
1,37,1,27,single_condition,feature_check,faithful,sim2real,127,10,30,True,True,testing,27
1,38,1,28,single_condition,feature_check,faithful,sim2real,235,10,30,True,True,testing,28
1,39,1,29,single_condition,feature_check,faithful,sim2real,223,10,30,True,True,testing,29
1,40,1,30,single_condition,feature_check,faithful,sim2real,272,10,30,True,True,testing,30
2,1,0,1,training,feature_check,sparse,sim2real,578,10,30,True,True,training,1
2,2,0,2,training,feature_check,sparse,sim2real,519,10,30,True,True,training,2
2,3,0,3,training,feature_check,sparse,sim2real,622,10,30,True,True,training,3
2,4,0,4,training,feature_check,sparse,sim2real,206,10,30,True,True,training,4
2,5,0,5,training,feature_check,sparse,sim2real,178,10,30,True,True,training,5
2,6,0,6,training,feature_check,sparse,sim2real,233,10,30,True,True,training,6
2,7,0,7,training,feature_check,sparse,sim2real,760,10,30,True,True,training,7
2,8,0,8,training,feature_check,sparse,sim2real,50,10,30,True,True,training,8
2,9,0,9,training,feature_check,sparse,sim2real,141,10,30,True,True,training,9
2,10,0,10,training,feature_check,sparse,sim2real,432,10,30,True,True,training,10
2,11,1,1,single_condition,feature_check,sparse,sim2real,189,10,30,True,True,testing,1
2,12,1,2,single_condition,feature_check,sparse,sim2real,265,10,30,True,True,testing,2
2,13,1,3,single_condition,feature_check,sparse,sim2real,536,10,30,True,True,testing,3
2,14,1,4,single_condition,feature_check,sparse,sim2real,513,10,30,True,True,testing,4
2,15,1,5,single_condition,feature_check,sparse,sim2real,667,10,30,True,True,testing,5
2,16,1,6,single_condition,feature_check,sparse,sim2real,31,10,30,True,True,testing,6
2,17,1,7,single_condition,feature_check,sparse,sim2real,482,10,30,True,True,testing,7
2,18,1,8,single_condition,feature_check,sparse,sim2real,478,10,30,True,True,testing,8
2,19,1,9,single_condition,feature_check,sparse,sim2real,378,10,30,True,True,testing,9
2,20,1,10,single_condition,feature_check,sparse,sim2real,675,10,30,True,True,testing,10
2,21,1,11,single_condition,feature_check,sparse,sim2real,192,10,30,True,True,testing,11
2,22,1,12,single_condition,feature_check,sparse,sim2real,640,10,30,True,True,testing,12
2,23,1,13,single_condition,feature_check,sparse,sim2real,326,10,30,True,True,testing,13
2,24,1,14,single_condition,feature_check,sparse,sim2real,196,10,30,True,True,testing,14
2,25,1,15,single_condition,feature_check,sparse,sim2real,742,10,30,True,True,testing,15
2,26,1,16,single_condition,feature_check,sparse,sim2real,637,10,30,True,True,testing,16
2,27,1,17,single_condition,feature_check,sparse,sim2real,320,10,30,True,True,testing,17
2,28,1,18,single_condition,feature_check,sparse,sim2real,214,10,30,True,True,testing,18
2,29,1,19,single_condition,feature_check,sparse,sim2real,143,10,30,True,True,testing,19
2,30,1,20,single_condition,feature_check,sparse,sim2real,571,10,30,True,True,testing,20
2,31,1,21,single_condition,feature_check,sparse,sim2real,116,10,30,True,True,testing,21
2,32,1,22,single_condition,feature_check,sparse,sim2real,8,10,30,True,True,testing,22
2,33,1,23,single_condition,feature_check,sparse,sim2real,150,10,30,True,True,testing,23
2,34,1,24,single_condition,feature_check,sparse,sim2real,120,10,30,True,True,testing,24
2,35,1,25,single_condition,feature_check,sparse,sim2real,542,10,30,True,True,testing,25
2,36,1,26,single_condition,feature_check,sparse,sim2real,155,10,30,True,True,testing,26
2,37,1,27,single_condition,feature_check,sparse,sim2real,668,10,30,True,True,testing,27
2,38,1,28,single_condition,feature_check,sparse,sim2real,355,10,30,True,True,testing,28
2,39,1,29,single_condition,feature_check,sparse,sim2real,421,10,30,True,True,testing,29
2,40,1,30,single_condition,feature_check,sparse,sim2real,30,10,30,True,True,testing,30
3,1,0,1,training,feature_check,robust,sim2real,57,10,30,True,True,training,1
3,2,0,2,training,feature_check,robust,sim2real,472,10,30,True,True,training,2
3,3,0,3,training,feature_check,robust,sim2real,297,10,30,True,True,training,3
3,4,0,4,training,feature_check,robust,sim2real,514,10,30,True,True,training,4
3,5,0,5,training,feature_check,robust,sim2real,218,10,30,True,True,training,5
3,6,0,6,training,feature_check,robust,sim2real,688,10,30,True,True,training,6
3,7,0,7,training,feature_check,robust,sim2real,772,10,30,True,True,training,7
3,8,0,8,training,feature_check,robust,sim2real,266,10,30,True,True,training,8
3,9,0,9,training,feature_check,robust,sim2real,303,10,30,True,True,training,9
3,10,0,10,training,feature_check,robust,sim2real,566,10,30,True,True,training,10
3,11,1,1,single_condition,feature_check,robust,sim2real,561,10,30,True,True,testing,1
3,12,1,2,single_condition,feature_check,robust,sim2real,540,10,30,True,True,testing,2
3,13,1,3,single_condition,feature_check,robust,sim2real,536,10,30,True,True,testing,3
3,14,1,4,single_condition,feature_check,robust,sim2real,600,10,30,True,True,testing,4
3,15,1,5,single_condition,feature_check,robust,sim2real,517,10,30,True,True,testing,5
3,16,1,6,single_condition,feature_check,robust,sim2real,615,10,30,True,True,testing,6
3,17,1,7,single_condition,feature_check,robust,sim2real,710,10,30,True,True,testing,7
3,18,1,8,single_condition,feature_check,robust,sim2real,110,10,30,True,True,testing,8
3,19,1,9,single_condition,feature_check,robust,sim2real,364,10,30,True,True,testing,9
3,20,1,10,single_condition,feature_check,robust,sim2real,150,10,30,True,True,testing,10
3,21,1,11,single_condition,feature_check,robust,sim2real,641,10,30,True,True,testing,11
3,22,1,12,single_condition,feature_check,robust,sim2real,557,10,30,True,True,testing,12
3,23,1,13,single_condition,feature_check,robust,sim2real,623,10,30,True,True,testing,13
3,24,1,14,single_condition,feature_check,robust,sim2real,581,10,30,True,True,testing,14
3,25,1,15,single_condition,feature_check,robust,sim2real,534,10,30,True,True,testing,15
3,26,1,16,single_condition,feature_check,robust,sim2real,20,10,30,True,True,testing,16
3,27,1,17,single_condition,feature_check,robust,sim2real,241,10,30,True,True,testing,17
3,28,1,18,single_condition,feature_check,robust,sim2real,246,10,30,True,True,testing,18
3,29,1,19,single_condition,feature_check,robust,sim2real,588,10,30,True,True,testing,19
3,30,1,20,single_condition,feature_check,robust,sim2real,637,10,30,True,True,testing,20
3,31,1,21,single_condition,feature_check,robust,sim2real,421,10,30,True,True,testing,21
3,32,1,22,single_condition,feature_check,robust,sim2real,511,10,30,True,True,testing,22
3,33,1,23,single_condition,feature_check,robust,sim2real,592,10,30,True,True,testing,23
3,34,1,24,single_condition,feature_check,robust,sim2real,775,10,30,True,True,testing,24
3,35,1,25,single_condition,feature_check,robust,sim2real,556,10,30,True,True,testing,25
3,36,1,26,single_condition,feature_check,robust,sim2real,61,10,30,True,True,testing,26
3,37,1,27,single_condition,feature_check,robust,sim2real,195,10,30,True,True,testing,27
3,38,1,28,single_condition,feature_check,robust,sim2real,322,10,30,True,True,testing,28
3,39,1,29,single_condition,feature_check,robust,sim2real,314,10,30,True,True,testing,29
3,40,1,30,single_condition,feature_check,robust,sim2real,229,10,30,True,True,testing,30
4,1,0,1,training,feature_check,sparse_robust,sim2real,772,10,30,True,True,training,1
4,2,0,2,training,feature_check,sparse_robust,sim2real,695,10,30,True,True,training,2
4,3,0,3,training,feature_check,sparse_robust,sim2real,87,10,30,True,True,training,3
4,4,0,4,training,feature_check,sparse_robust,sim2real,373,10,30,True,True,training,4
4,5,0,5,training,feature_check,sparse_robust,sim2real,407,10,30,True,True,training,5
4,6,0,6,training,feature_check,sparse_robust,sim2real,580,10,30,True,True,training,6
4,7,0,7,training,feature_check,sparse_robust,sim2real,86,10,30,True,True,training,7
4,8,0,8,training,feature_check,sparse_robust,sim2real,264,10,30,True,True,training,8
4,9,0,9,training,feature_check,sparse_robust,sim2real,507,10,30,True,True,training,9
4,10,0,10,training,feature_check,sparse_robust,sim2real,396,10,30,True,True,training,10
4,11,1,1,single_condition,feature_check,sparse_robust,sim2real,340,10,30,True,True,testing,1
4,12,1,2,single_condition,feature_check,sparse_robust,sim2real,739,10,30,True,True,testing,2
4,13,1,3,single_condition,feature_check,sparse_robust,sim2real,716,10,30,True,True,testing,3
4,14,1,4,single_condition,feature_check,sparse_robust,sim2real,108,10,30,True,True,testing,4
4,15,1,5,single_condition,feature_check,sparse_robust,sim2real,478,10,30,True,True,testing,5
4,16,1,6,single_condition,feature_check,sparse_robust,sim2real,196,10,30,True,True,testing,6
4,17,1,7,single_condition,feature_check,sparse_robust,sim2real,629,10,30,True,True,testing,7
4,18,1,8,single_condition,feature_check,sparse_robust,sim2real,640,10,30,True,True,testing,8
4,19,1,9,single_condition,feature_check,sparse_robust,sim2real,617,10,30,True,True,testing,9
4,20,1,10,single_condition,feature_check,sparse_robust,sim2real,368,10,30,True,True,testing,10
4,21,1,11,single_condition,feature_check,sparse_robust,sim2real,756,10,30,True,True,testing,11
4,22,1,12,single_condition,feature_check,sparse_robust,sim2real,545,10,30,True,True,testing,12
4,23,1,13,single_condition,feature_check,sparse_robust,sim2real,592,10,30,True,True,testing,13
4,24,1,14,single_condition,feature_check,sparse_robust,sim2real,494,10,30,True,True,testing,14
4,25,1,15,single_condition,feature_check,sparse_robust,sim2real,669,10,30,True,True,testing,15
4,26,1,16,single_condition,feature_check,sparse_robust,sim2real,67,10,30,True,True,testing,16
4,27,1,17,single_condition,feature_check,sparse_robust,sim2real,444,10,30,True,True,testing,17
4,28,1,18,single_condition,feature_check,sparse_robust,sim2real,649,10,30,True,True,testing,18
4,29,1,19,single_condition,feature_check,sparse_robust,sim2real,633,10,30,True,True,testing,19
4,30,1,20,single_condition,feature_check,sparse_robust,sim2real,19,10,30,True,True,testing,20
4,31,1,21,single_condition,feature_check,sparse_robust,sim2real,597,10,30,True,True,testing,21
4,32,1,22,single_condition,feature_check,sparse_robust,sim2real,280,10,30,True,True,testing,22
4,33,1,23,single_condition,feature_check,sparse_robust,sim2real,712,10,30,True,True,testing,23
4,34,1,24,single_condition,feature_check,sparse_robust,sim2real,283,10,30,True,True,testing,24
4,35,1,25,single_condition,feature_check,sparse_robust,sim2real,791,10,30,True,True,testing,25
4,36,1,26,single_condition,feature_check,sparse_robust,sim2real,142,10,30,True,True,testing,26
4,37,1,27,single_condition,feature_check,sparse_robust,sim2real,159,10,30,True,True,testing,27
4,38,1,28,single_condition,feature_check,sparse_robust,sim2real,219,10,30,True,True,testing,28
4,39,1,29,single_condition,feature_check,sparse_robust,sim2real,130,10,30,True,True,testing,29
4,40,1,30,single_condition,feature_check,sparse_robust,sim2real,124,10,30,True,True,testing,30
5,1,0,1,training,change_prediction,faithful,sim2real,321,10,30,True,True,training,1
5,2,0,2,training,change_prediction,faithful,sim2real,681,10,30,True,True,training,2
5,3,0,3,training,change_prediction,faithful,sim2real,139,10,30,True,True,training,3
5,4,0,4,training,change_prediction,faithful,sim2real,342,10,30,True,True,training,4
5,5,0,5,training,change_prediction,faithful,sim2real,601,10,30,True,True,training,5
5,6,0,6,training,change_prediction,faithful,sim2real,310,10,30,True,True,training,6
5,7,0,7,training,change_prediction,faithful,sim2real,319,10,30,True,True,training,7
5,8,0,8,training,change_prediction,faithful,sim2real,479,10,30,True,True,training,8
5,9,0,9,training,change_prediction,faithful,sim2real,236,10,30,True,True,training,9
5,10,0,10,training,change_prediction,faithful,sim2real,297,10,30,True,True,training,10
5,11,1,1,single_condition,change_prediction,faithful,sim2real,326,10,30,True,True,testing,1
5,12,1,2,single_condition,change_prediction,faithful,sim2real,665,10,30,True,True,testing,2
5,13,1,3,single_condition,change_prediction,faithful,sim2real,540,10,30,True,True,testing,3
5,14,1,4,single_condition,change_prediction,faithful,sim2real,701,10,30,True,True,testing,4
5,15,1,5,single_condition,change_prediction,faithful,sim2real,797,10,30,True,True,testing,5
5,16,1,6,single_condition,change_prediction,faithful,sim2real,128,10,30,True,True,testing,6
5,17,1,7,single_condition,change_prediction,faithful,sim2real,637,10,30,True,True,testing,7
5,18,1,8,single_condition,change_prediction,faithful,sim2real,604,10,30,True,True,testing,8
5,19,1,9,single_condition,change_prediction,faithful,sim2real,748,10,30,True,True,testing,9
5,20,1,10,single_condition,change_prediction,faithful,sim2real,668,10,30,True,True,testing,10
5,21,1,11,single_condition,change_prediction,faithful,sim2real,753,10,30,True,True,testing,11
5,22,1,12,single_condition,change_prediction,faithful,sim2real,322,10,30,True,True,testing,12
5,23,1,13,single_condition,change_prediction,faithful,sim2real,596,10,30,True,True,testing,13
5,24,1,14,single_condition,change_prediction,faithful,sim2real,30,10,30,True,True,testing,14
5,25,1,15,single_condition,change_prediction,faithful,sim2real,190,10,30,True,True,testing,15
