dataId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,intercept
wine_quality,mlp,__prediction_only__,786,0,,,,,,,
wine_quality,mlp,__prediction_only__,1057,0,,,,,,,
wine_quality,mlp,__prediction_only__,150,0,,,,,,,
wine_quality,mlp,__prediction_only__,184,0,,,,,,,
wine_quality,mlp,__prediction_only__,943,0,,,,,,,
wine_quality,mlp,__prediction_only__,1256,0,,,,,,,
wine_quality,mlp,__prediction_only__,63,0,,,,,,,
wine_quality,mlp,__prediction_only__,673,0,,,,,,,
wine_quality,mlp,__prediction_only__,1435,0,,,,,,,
wine_quality,mlp,__prediction_only__,153,0,,,,,,,
wine_quality,mlp,__prediction_only__,912,0,,,,,,,
wine_quality,mlp,__prediction_only__,28,0,,,,,,,
wine_quality,mlp,__prediction_only__,697,0,,,,,,,
wine_quality,mlp,__prediction_only__,59,0,,,,,,,
wine_quality,mlp,__prediction_only__,273,0,,,,,,,
wine_quality,mlp,__prediction_only__,740,0,,,,,,,
wine_quality,mlp,__prediction_only__,1068,1,,,,,,,
wine_quality,mlp,__prediction_only__,597,0,,,,,,,
wine_quality,mlp,__prediction_only__,1501,0,,,,,,,
wine_quality,mlp,__prediction_only__,249,0,,,,,,,
wine_quality,mlp,__prediction_only__,83,0,,,,,,,
wine_quality,mlp,__prediction_only__,49,0,,,,,,,
wine_quality,mlp,__prediction_only__,497,0,,,,,,,
wine_quality,mlp,__prediction_only__,1579,0,,,,,,,
wine_quality,mlp,__prediction_only__,803,0,,,,,,,
wine_quality,mlp,__prediction_only__,815,0,,,,,,,
wine_quality,mlp,__prediction_only__,996,0,,,,,,,
wine_quality,mlp,__prediction_only__,53,0,,,,,,,
wine_quality,mlp,__prediction_only__,1088,0,,,,,,,
wine_quality,mlp,__prediction_only__,1268,0,,,,,,,
wine_quality,mlp,__prediction_only__,1570,1,,,,,,,
wine_quality,mlp,__prediction_only__,1548,0,,,,,,,
wine_quality,mlp,__prediction_only__,208,0,,,,,,,
wine_quality,mlp,__prediction_only__,610,0,,,,,,,
wine_quality,mlp,__prediction_only__,883,0,,,,,,,
wine_quality,mlp,__prediction_only__,773,0,,,,,,,
wine_quality,mlp,__prediction_only__,699,0,,,,,,,
wine_quality,mlp,__prediction_only__,1093,1,,,,,,,
wine_quality,mlp,__prediction_only__,816,0,,,,,,,
wine_quality,mlp,__prediction_only__,963,0,,,,,,,
wine_quality,mlp,__prediction_only__,384,0,,,,,,,
wine_quality,mlp,__prediction_only__,139,0,,,,,,,
wine_quality,mlp,__prediction_only__,1554,0,,,,,,,
wine_quality,mlp,__prediction_only__,1002,1,,,,,,,
wine_quality,mlp,__prediction_only__,636,0,,,,,,,
wine_quality,mlp,__prediction_only__,936,0,,,,,,,
wine_quality,mlp,__prediction_only__,644,0,,,,,,,
wine_quality,mlp,__prediction_only__,937,0,,,,,,,
wine_quality,mlp,__prediction_only__,564,0,,,,,,,
wine_quality,mlp,__prediction_only__,341,1,,,,,,,
wine_quality,mlp,__prediction_only__,702,0,,,,,,,
wine_quality,mlp,__prediction_only__,605,0,,,,,,,
wine_quality,mlp,__prediction_only__,465,0,,,,,,,
wine_quality,mlp,__prediction_only__,288,0,,,,,,,
wine_quality,mlp,__prediction_only__,867,1,,,,,,,
wine_quality,mlp,__prediction_only__,1368,0,,,,,,,
wine_quality,mlp,__prediction_only__,180,0,,,,,,,
wine_quality,mlp,__prediction_only__,256,0,,,,,,,
wine_quality,mlp,__prediction_only__,115,0,,,,,,,
wine_quality,mlp,__prediction_only__,1249,0,,,,,,,
wine_quality,mlp,__prediction_only__,1364,0,,,,,,,
wine_quality,mlp,__prediction_only__,188,0,,,,,,,
wine_quality,mlp,__prediction_only__,353,0,,,,,,,
wine_quality,mlp,__prediction_only__,1296,0,,,,,,,
wine_quality,mlp,__prediction_only__,788,0,,,,,,,
wine_quality,mlp,__prediction_only__,272,0,,,,,,,
wine_quality,mlp,__prediction_only__,352,0,,,,,,,
wine_quality,mlp,__prediction_only__,799,0,,,,,,,
wine_quality,mlp,__prediction_only__,148,0,,,,,,,
wine_quality,mlp,__prediction_only__,1598,0,,,,,,,
wine_quality,mlp,__prediction_only__,1361,0,,,,,,,
wine_quality,mlp,__prediction_only__,324,0,,,,,,,
wine_quality,mlp,__prediction_only__,254,0,,,,,,,
wine_quality,mlp,__prediction_only__,1097,0,,,,,,,
wine_quality,mlp,__prediction_only__,784,0,,,,,,,
wine_quality,mlp,__prediction_only__,533,0,,,,,,,
wine_quality,mlp,__prediction_only__,1451,0,,,,,,,
wine_quality,mlp,__prediction_only__,1497,0,,,,,,,
wine_quality,mlp,__prediction_only__,1372,0,,,,,,,
wine_quality,mlp,__prediction_only__,945,1,,,,,,,
wine_quality,mlp,__prediction_only__,1047,0,,,,,,,
wine_quality,mlp,__prediction_only__,866,1,,,,,,,
wine_quality,mlp,__prediction_only__,859,0,,,,,,,
wine_quality,mlp,__prediction_only__,670,0,,,,,,,
wine_quality,mlp,__prediction_only__,709,0,,,,,,,
wine_quality,mlp,__prediction_only__,967,0,,,,,,,
wine_quality,mlp,__prediction_only__,895,0,,,,,,,
wine_quality,mlp,__prediction_only__,1282,0,,,,,,,
wine_quality,mlp,__prediction_only__,919,1,,,,,,,
wine_quality,mlp,__prediction_only__,360,0,,,,,,,
wine_quality,mlp,__prediction_only__,56,0,,,,,,,
wine_quality,mlp,__prediction_only__,665,0,,,,,,,
wine_quality,mlp,__prediction_only__,872,0,,,,,,,
wine_quality,mlp,__prediction_only__,1234,0,,,,,,,
wine_quality,mlp,__prediction_only__,479,0,,,,,,,
wine_quality,mlp,__prediction_only__,1532,0,,,,,,,
wine_quality,mlp,__prediction_only__,608,0,,,,,,,
wine_quality,mlp,__prediction_only__,874,1,,,,,,,
wine_quality,mlp,__prediction_only__,305,0,,,,,,,
wine_quality,mlp,__prediction_only__,1433,0,,,,,,,
wine_quality,mlp,__prediction_only__,499,0,,,,,,,
wine_quality,mlp,__prediction_only__,335,1,,,,,,,
wine_quality,mlp,__prediction_only__,1074,0,,,,,,,
wine_quality,mlp,__prediction_only__,1089,0,,,,,,,
wine_quality,mlp,__prediction_only__,1566,0,,,,,,,
wine_quality,mlp,__prediction_only__,1489,0,,,,,,,
wine_quality,mlp,__prediction_only__,1050,0,,,,,,,
wine_quality,mlp,__prediction_only__,751,0,,,,,,,
wine_quality,mlp,__prediction_only__,1446,0,,,,,,,
wine_quality,mlp,__prediction_only__,711,0,,,,,,,
wine_quality,mlp,__prediction_only__,817,1,,,,,,,
wine_quality,mlp,__prediction_only__,262,0,,,,,,,
wine_quality,mlp,__prediction_only__,920,0,,,,,,,
wine_quality,mlp,__prediction_only__,823,0,,,,,,,
wine_quality,mlp,__prediction_only__,729,0,,,,,,,
wine_quality,mlp,__prediction_only__,222,0,,,,,,,
wine_quality,mlp,__prediction_only__,1587,0,,,,,,,
wine_quality,mlp,__prediction_only__,129,0,,,,,,,
wine_quality,mlp,__prediction_only__,760,0,,,,,,,
wine_quality,mlp,__prediction_only__,65,0,,,,,,,
wine_quality,mlp,__prediction_only__,1020,0,,,,,,,
wine_quality,mlp,__prediction_only__,551,0,,,,,,,
wine_quality,mlp,__prediction_only__,114,0,,,,,,,
wine_quality,mlp,__prediction_only__,1086,1,,,,,,,
wine_quality,mlp,__prediction_only__,941,0,,,,,,,
wine_quality,mlp,__prediction_only__,1139,0,,,,,,,
wine_quality,mlp,__prediction_only__,1379,0,,,,,,,
wine_quality,mlp,__prediction_only__,33,0,,,,,,,
wine_quality,mlp,__prediction_only__,1373,0,,,,,,,
wine_quality,mlp,__prediction_only__,238,0,,,,,,,
wine_quality,mlp,__prediction_only__,716,0,,,,,,,
wine_quality,mlp,__prediction_only__,1474,0,,,,,,,
wine_quality,mlp,__prediction_only__,1233,0,,,,,,,
wine_quality,mlp,__prediction_only__,1007,1,,,,,,,
wine_quality,mlp,__prediction_only__,181,0,,,,,,,
wine_quality,mlp,__prediction_only__,356,0,,,,,,,
wine_quality,mlp,__prediction_only__,1096,0,,,,,,,
wine_quality,mlp,__prediction_only__,223,0,,,,,,,
wine_quality,mlp,__prediction_only__,669,0,,,,,,,
wine_quality,mlp,__prediction_only__,759,0,,,,,,,
wine_quality,mlp,__prediction_only__,107,0,,,,,,,
wine_quality,mlp,__prediction_only__,1454,0,,,,,,,
wine_quality,mlp,__prediction_only__,1331,0,,,,,,,
wine_quality,mlp,__prediction_only__,652,0,,,,,,,
wine_quality,mlp,__prediction_only__,1230,0,,,,,,,
wine_quality,mlp,__prediction_only__,91,0,,,,,,,
wine_quality,mlp,__prediction_only__,1202,1,,,,,,,
wine_quality,mlp,__prediction_only__,253,0,,,,,,,
wine_quality,mlp,__prediction_only__,1351,0,,,,,,,
wine_quality,mlp,__prediction_only__,266,0,,,,,,,
wine_quality,mlp,__prediction_only__,825,0,,,,,,,
wine_quality,mlp,__prediction_only__,387,0,,,,,,,
wine_quality,mlp,__prediction_only__,926,0,,,,,,,
wine_quality,mlp,__prediction_only__,1174,0,,,,,,,
wine_quality,mlp,__prediction_only__,75,0,,,,,,,
wine_quality,mlp,__prediction_only__,1163,0,,,,,,,
wine_quality,mlp,__prediction_only__,421,0,,,,,,,
wine_quality,mlp,__prediction_only__,1464,0,,,,,,,
wine_quality,mlp,__prediction_only__,418,0,,,,,,,
wine_quality,mlp,__prediction_only__,297,0,,,,,,,
wine_quality,mlp,__prediction_only__,724,0,,,,,,,
wine_quality,mlp,__prediction_only__,1375,0,,,,,,,
wine_quality,mlp,__prediction_only__,1536,0,,,,,,,
wine_quality,mlp,__prediction_only__,86,0,,,,,,,
wine_quality,mlp,__prediction_only__,1419,0,,,,,,,
wine_quality,mlp,__prediction_only__,14,0,,,,,,,
wine_quality,mlp,__prediction_only__,1272,0,,,,,,,
wine_quality,mlp,__prediction_only__,1175,0,,,,,,,
wine_quality,mlp,__prediction_only__,383,0,,,,,,,
wine_quality,mlp,__prediction_only__,1572,0,,,,,,,
wine_quality,mlp,__prediction_only__,1000,0,,,,,,,
wine_quality,mlp,__prediction_only__,654,0,,,,,,,
wine_quality,mlp,__prediction_only__,1393,0,,,,,,,
wine_quality,mlp,__prediction_only__,162,0,,,,,,,
wine_quality,mlp,__prediction_only__,854,0,,,,,,,
wine_quality,mlp,__prediction_only__,878,0,,,,,,,
wine_quality,mlp,__prediction_only__,1216,0,,,,,,,
wine_quality,mlp,__prediction_only__,283,0,,,,,,,
wine_quality,mlp,__prediction_only__,281,0,,,,,,,
wine_quality,mlp,__prediction_only__,1525,0,,,,,,,
wine_quality,mlp,__prediction_only__,938,1,,,,,,,
wine_quality,mlp,__prediction_only__,399,0,,,,,,,
wine_quality,mlp,__prediction_only__,517,0,,,,,,,
wine_quality,mlp,__prediction_only__,1162,1,,,,,,,
wine_quality,mlp,__prediction_only__,74,0,,,,,,,
wine_quality,mlp,__prediction_only__,1578,0,,,,,,,
wine_quality,mlp,__prediction_only__,676,0,,,,,,,
wine_quality,mlp,__prediction_only__,1486,0,,,,,,,
wine_quality,mlp,__prediction_only__,1458,0,,,,,,,
wine_quality,mlp,__prediction_only__,355,0,,,,,,,
wine_quality,mlp,__prediction_only__,934,0,,,,,,,
wine_quality,mlp,__prediction_only__,695,0,,,,,,,
wine_quality,mlp,__prediction_only__,1099,0,,,,,,,
wine_quality,mlp,__prediction_only__,464,0,,,,,,,
wine_quality,mlp,__prediction_only__,329,0,,,,,,,
wine_quality,mlp,__prediction_only__,732,0,,,,,,,
wine_quality,mlp,__prediction_only__,72,0,,,,,,,
wine_quality,mlp,__prediction_only__,1257,0,,,,,,,
wine_quality,mlp,__prediction_only__,138,0,,,,,,,
wine_quality,mlp,__prediction_only__,1521,0,,,,,,,
wine_quality,mlp,__prediction_only__,1212,0,,,,,,,
wine_quality,mlp,__prediction_only__,1103,0,,,,,,,
wine_quality,mlp,__prediction_only__,1471,0,,,,,,,
wine_quality,mlp,__prediction_only__,1463,0,,,,,,,
wine_quality,mlp,__prediction_only__,1491,0,,,,,,,
wine_quality,mlp,__prediction_only__,576,0,,,,,,,
wine_quality,mlp,__prediction_only__,128,1,,,,,,,
wine_quality,mlp,__prediction_only__,1467,0,,,,,,,
wine_quality,mlp,__prediction_only__,1477,1,,,,,,,
wine_quality,mlp,__prediction_only__,326,1,,,,,,,
wine_quality,mlp,__prediction_only__,931,0,,,,,,,
wine_quality,mlp,__prediction_only__,1561,0,,,,,,,
wine_quality,mlp,__prediction_only__,1411,0,,,,,,,
wine_quality,mlp,__prediction_only__,489,0,,,,,,,
wine_quality,mlp,__prediction_only__,1382,0,,,,,,,
wine_quality,mlp,__prediction_only__,210,1,,,,,,,
wine_quality,mlp,__prediction_only__,1409,0,,,,,,,
wine_quality,mlp,__prediction_only__,869,0,,,,,,,
wine_quality,mlp,__prediction_only__,469,0,,,,,,,
wine_quality,mlp,__prediction_only__,220,0,,,,,,,
wine_quality,mlp,__prediction_only__,413,1,,,,,,,
wine_quality,mlp,__prediction_only__,174,0,,,,,,,
wine_quality,mlp,__prediction_only__,1091,0,,,,,,,
wine_quality,mlp,__prediction_only__,560,0,,,,,,,
wine_quality,mlp,__prediction_only__,832,0,,,,,,,
wine_quality,mlp,__prediction_only__,1592,0,,,,,,,
wine_quality,mlp,__prediction_only__,650,0,,,,,,,
