forward_accuracy,participantId,trialId,block,trialWithinBlock,withinCondition,xai_method,xai_type,dataId,instanceId,phase,phaseTrialId,ai_prediction,tested_w_xai,step,cognitive_model_strategy,feature_values,explanation,response,agent_prediction,pred_time,cognitive_correct_vs_ai,feedback_time
0,1,1,1,1,single_condition,lime,none,wine_quality,128,training,1,1,,infer_no_explanation,SensitiveFeatures,"[0.39393940567970276, 0.97826087474823, 0.04945598542690277, 0.5614035129547119, 0.7058823704719543]",,"{0: 0.5, 1: 0.5}",0,0.1,False,5.0
0,1,2,1,2,single_condition,lime,none,wine_quality,643,training,2,0,,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.3478260934352875, 0.5637982487678528, 0.5614035129547119, 0.7843137383460999]",,{1: 1.0},1,0.09999999999999964,False,5.0
0,1,3,1,3,single_condition,lime,none,wine_quality,1007,training,3,1,,infer_no_explanation,SensitiveFeatures,"[0.7575757503509521, 0.804347813129425, 0.13847675919532776, 0.05263157933950424, 0.3921568691730499]",,"{1: 0.4558323102384295, 0: 0.5441676897615705}",0,0.09999999999999964,False,5.0
0,1,4,1,4,single_condition,lime,none,wine_quality,373,training,4,0,,infer_no_explanation,SensitiveFeatures,"[0.0, 0.3478260934352875, 0.6033629775047302, 0.4912280738353729, -0.019607843831181526]",,"{1: 0.6558309230342214, 0: 0.3441690769657785}",1,0.09999999999999964,False,5.0
1,1,5,1,1,single_condition,lime,none,wine_quality,875,testing,1,1,False,infer_no_explanation,SensitiveFeatures,"[0.7878788113594055, 0.695652186870575, 0.04945598542690277, 0.07017543911933899, 0.4901960790157318]",,"{1: 0.5107714596867591, 0: 0.4892285403132409}",1,0.10000000000000142,True,
1,1,6,1,2,single_condition,lime,none,wine_quality,626,testing,2,0,True,infer_no_explanation,SensitiveFeatures,"[-0.03030303120613098, 0.043478261679410934, 0.03956478834152222, 0.5789473652839661, 0.5882353186607361]",,"{1: 0.4504690281295252, 0: 0.5495309718704748}",0,0.10000000000000142,True,
1,1,7,1,3,single_condition,lime,none,wine_quality,696,testing,3,0,True,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.43478259444236755, 0.13847675919532776, 0.6666666865348816, 0.8039215803146362]",,"{1: 0.41400720819979614, 0: 0.5859927918002039}",0,0.10000000000000142,True,
1,1,8,1,4,single_condition,lime,none,wine_quality,1508,testing,4,0,False,infer_no_explanation,SensitiveFeatures,"[0.42424243688583374, 0.54347825050354, 0.13847675919532776, 0.0, 0.6274510025978088]",,"{1: 0.46086276535992876, 0: 0.5391372346400711}",0,0.10000000000000142,True,
1,1,9,1,5,single_condition,lime,none,wine_quality,267,testing,5,1,True,infer_no_explanation,SensitiveFeatures,"[1.0909091234207153, 0.8478260636329651, 0.2571711242198944, 0.14035087823867798, 0.5686274766921997]",,"{1: 0.5087526384367375, 0: 0.49124736156326254}",1,0.10000000000000142,True,
1,1,10,1,6,single_condition,lime,none,wine_quality,1267,testing,6,1,False,infer_no_explanation,SensitiveFeatures,"[0.6666666865348816, 0.8695651888847351, 0.07912957668304443, 0.28070175647735596, 0.0784313753247261]",,"{1: 0.5134169433420457, 0: 0.48658305665795437}",1,0.10000000000000142,True,
1,2,1,1,1,single_condition,lime,attribution,wine_quality,1523,training,1,0,,infer_no_explanation,AttributionSum,"[0.3636363744735718, 0.28260868787765503, 0.4945598542690277, 0.3684210479259491, 0.5490196347236633]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,2,1,1,1,single_condition,lime,attribution,wine_quality,1523,training,1,0,,infer_with_explanation,AttributionSum,"[0.3636363744735718, 0.28260868787765503, 0.4945598542690277, 0.3684210479259491, 0.5490196347236633]","[0.32191590556517546, -0.5705898606324193, 0.03998572106082692, 1.0, -0.06670253770662259]","{0: 0.394267193633536, 1: 0.605732806366464}",1,5.0,False,5.0
0,2,2,1,2,single_condition,lime,attribution,wine_quality,948,training,2,1,,infer_no_explanation,AttributionSum,"[0.8181818127632141, 0.6304348111152649, 0.09891197085380554, -0.2631579041481018, 0.686274528503418]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,2,2,1,2,single_condition,lime,attribution,wine_quality,948,training,2,1,,infer_with_explanation,AttributionSum,"[0.8181818127632141, 0.6304348111152649, 0.09891197085380554, -0.2631579041481018, 0.686274528503418]","[1.0, 0.3142420552970419, 0.28120132889670046, 0.4406483258337319, 0.03908485913534332]","{0: 0.1914449716692982, 1: 0.8085550283307018}",1,5.0,True,5.0
0,2,3,1,3,single_condition,lime,attribution,wine_quality,514,training,3,1,,infer_no_explanation,AttributionSum,"[0.7878788113594055, 0.41304346919059753, 0.03956478834152222, 0.42105263471603394, 0.05882352963089943]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,2,3,1,3,single_condition,lime,attribution,wine_quality,514,training,3,1,,infer_with_explanation,AttributionSum,"[0.7878788113594055, 0.41304346919059753, 0.03956478834152222, 0.42105263471603394, 0.05882352963089943]","[1.0, 0.060414441685155876, 0.19936285888125785, 0.13813457413481664, 0.04765745680615588]","{0: 0.23158857975519198, 1: 0.768411420244808}",1,5.0,True,5.0
1,2,4,1,4,single_condition,lime,attribution,wine_quality,1280,training,4,0,,infer_no_explanation,AttributionSum,"[0.3636363744735718, 0.3695652186870575, 0.42532145977020264, 0.3333333432674408, 0.6078431606292725]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,2,4,1,4,single_condition,lime,attribution,wine_quality,1280,training,4,0,,infer_with_explanation,AttributionSum,"[0.3636363744735718, 0.3695652186870575, 0.42532145977020264, 0.3333333432674408, 0.6078431606292725]","[0.031143223092504814, 0.4180373039445579, -0.47713827332401193, 1.0, 0.15176192847557218]","{0: 0.3721833101304949, 1: 0.6278166898695051}",1,5.0,False,5.0
1,2,5,1,1,single_condition,lime,attribution,wine_quality,38,testing,1,0,False,infer_no_explanation,AttributionSum,"[0.1818181872367859, 0.021739130839705467, 0.07912957668304443, 1.5087718963623047, 0.8627451062202454]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
0,2,6,1,2,single_condition,lime,attribution,wine_quality,377,testing,2,1,False,infer_no_explanation,AttributionSum,"[0.8484848737716675, 1.43478262424469, 0.06923837959766388, 0.0, 0.27450981736183167]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
1,2,7,1,3,single_condition,lime,attribution,wine_quality,739,testing,3,0,True,infer_with_explanation,AttributionSum,"[0.03030303120613098, 0.28260868787765503, 0.26706230640411377, 0.7368420958518982, 0.5686274766921997]","[-1.0, -0.16194742923692754, -0.003457383196288604, -0.6390216831123386, -0.04471125084317491]","{0: 0.8374017737157966, 1: 0.16259822628420342}",0,5.0,True,
1,2,8,1,4,single_condition,lime,attribution,wine_quality,588,testing,4,1,True,infer_with_explanation,AttributionSum,"[1.454545497894287, 0.5869565010070801, 0.3857566714286804, 0.2631579041481018, 1.2941176891326904]","[1.0, 0.32737870528337465, -0.029874430047602027, 0.056943294672207365, -0.16524194501321154]","{0: 0.20959328865995241, 1: 0.7904067113400476}",1,5.0,True,
1,2,9,1,5,single_condition,lime,attribution,wine_quality,21,testing,5,0,False,infer_no_explanation,AttributionSum,"[0.1515151560306549, 0.3913043439388275, 0.5934718251228333, 0.21052631735801697, 0.9019607901573181]",,"{0: 0.5, 1: 0.5}",0,5.0,True,
1,2,10,1,6,single_condition,lime,attribution,wine_quality,1061,testing,6,1,True,infer_with_explanation,AttributionSum,"[1.0, 0.47826087474823, 0.04945598542690277, 0.22807016968727112, 0.29411765933036804]","[1.0, 0.07501132919996654, 0.26591721868607804, 0.10817980752556712, 0.04635414750520589]","{0: 0.21995695796047232, 1: 0.7800430420395277}",1,5.0,True,
0,3,1,1,1,single_condition,lime,importance,wine_quality,1086,training,1,1,,infer_no_explanation,ImportanceCategorization,"[0.7272727489471436, 0.41304346919059753, -0.01978239417076111, 0.12280701845884323, 0.6274510025978088]",,"{0: 0.5, 1: 0.5}",0,5.0,False,
0,3,1,1,1,single_condition,lime,importance,wine_quality,1086,training,1,1,,infer_with_explanation,ImportanceCategorization,"[0.7272727489471436, 0.41304346919059753, -0.01978239417076111, 0.12280701845884323, 0.6274510025978088]","[1.0, 0.03215985387268198, 0.21130882039765958, 0.2866212330196174, 0.023807064121778878]","{0: 0.5, 1: 0.5}",0,5.0,False,5.0
