participantId,trialId,block,trialWithinBlock,withinCondition,xai_method,xai_type,dataId,instanceId,phase,phaseTrialId,ai_prediction,tested_w_xai
1,1,1,1,single_condition,lime,none,wine_quality,128,training,1,1,
1,2,1,2,single_condition,lime,none,wine_quality,643,training,2,0,
1,3,1,3,single_condition,lime,none,wine_quality,1007,training,3,1,
1,4,1,4,single_condition,lime,none,wine_quality,373,training,4,0,
1,5,1,1,single_condition,lime,none,wine_quality,875,testing,1,1,False
1,6,1,2,single_condition,lime,none,wine_quality,626,testing,2,0,True
1,7,1,3,single_condition,lime,none,wine_quality,696,testing,3,0,True
1,8,1,4,single_condition,lime,none,wine_quality,1508,testing,4,0,False
1,9,1,5,single_condition,lime,none,wine_quality,267,testing,5,1,True
1,10,1,6,single_condition,lime,none,wine_quality,1267,testing,6,1,False
2,1,1,1,single_condition,lime,attribution,wine_quality,1523,training,1,0,
2,2,1,2,single_condition,lime,attribution,wine_quality,948,training,2,1,
2,3,1,3,single_condition,lime,attribution,wine_quality,514,training,3,1,
2,4,1,4,single_condition,lime,attribution,wine_quality,1280,training,4,0,
2,5,1,1,single_condition,lime,attribution,wine_quality,38,testing,1,0,False
2,6,1,2,single_condition,lime,attribution,wine_quality,377,testing,2,1,False
2,7,1,3,single_condition,lime,attribution,wine_quality,739,testing,3,0,True
2,8,1,4,single_condition,lime,attribution,wine_quality,588,testing,4,1,True
2,9,1,5,single_condition,lime,attribution,wine_quality,21,testing,5,0,False
2,10,1,6,single_condition,lime,attribution,wine_quality,1061,testing,6,1,True
3,1,1,1,single_condition,lime,importance,wine_quality,1086,training,1,1,
3,2,1,2,single_condition,lime,importance,wine_quality,1489,training,2,0,
3,3,1,3,single_condition,lime,importance,wine_quality,336,training,3,1,
3,4,1,4,single_condition,lime,importance,wine_quality,2,training,4,0,
3,5,1,1,single_condition,lime,importance,wine_quality,1405,testing,1,1,True
3,6,1,2,single_condition,lime,importance,wine_quality,1018,testing,2,0,True
3,7,1,3,single_condition,lime,importance,wine_quality,439,testing,3,0,False
3,8,1,4,single_condition,lime,importance,wine_quality,928,testing,4,1,False
3,9,1,5,single_condition,lime,importance,wine_quality,1172,testing,5,1,False
3,10,1,6,single_condition,lime,importance,wine_quality,1170,testing,6,0,True
4,1,1,1,single_condition,shap,none,wine_quality,847,training,1,0,
4,2,1,2,single_condition,shap,none,wine_quality,1497,training,2,0,
4,3,1,3,single_condition,shap,none,wine_quality,867,training,3,1,
4,4,1,4,single_condition,shap,none,wine_quality,1066,training,4,1,
