participantId,trialId,block,trialWithinBlock,withinCondition,xai_method,xai_type,dataId,instanceId,phase,phaseTrialId,sampled_ai_prediction,tested_w_xai,exp_a0_i,exp_a1_i,exp_a2_i,exp_a3_i,exp_a4_i,exp_pred,exp_i_max,exp_intercept,forward_accuracy,agent_prediction,ai_prediction,prob_correct,pred_time,cognitive_correct_vs_ai
1,1,1,1,single_condition,lime,none,wine_quality,922,training,1,1,,1.0,0.5334248806133072,0.041629244047615865,-0.0758267299987601,0.049722996757301456,1.0,0.2089994268747168,0.012579541135799968,,,1,,0.0,
1,2,1,2,single_condition,lime,none,wine_quality,233,training,2,0,,-0.19984775129317778,-1.0,0.49723432971135356,0.14232564841853237,-0.616514335559652,0.0,0.07078138410678454,0.12048120068593025,,,0,,0.0,
1,3,1,3,single_condition,lime,none,wine_quality,326,training,3,1,,1.0,0.5312425176696414,0.27016618495717626,-0.17362599832458395,0.18355682204184084,1.0,0.19483162559991415,0.002467087724159059,,,1,,0.0,
1,4,1,4,single_condition,lime,none,wine_quality,93,training,4,0,,-1.0,0.10676548612168964,0.39901797923557036,0.1780338805243021,-0.22964650784979562,0.0,0.08753946275267682,0.1060670242158402,,,0,,0.0,
1,5,1,1,single_condition,lime,none,wine_quality,950,testing,1,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
1,6,1,2,single_condition,lime,none,wine_quality,819,testing,2,0,True,-1.0,-0.7899857660411184,0.16735237230899733,-0.7820137725954741,0.12099367271119787,0.0,0.08200162649628408,0.1404841396352572,1.0,0.0,0,0.6666666666666666,0.0,True
1,7,1,3,single_condition,lime,none,wine_quality,626,testing,3,0,True,-1.0,-0.7476497329553127,0.39340939183299894,-0.22315488484446033,-0.10872490417188824,0.0,0.09785739065097938,0.13172742418328137,1.0,0.0,0,0.6666666666666666,0.0,True
1,8,1,4,single_condition,lime,none,wine_quality,733,testing,4,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
1,9,1,5,single_condition,lime,none,wine_quality,1018,testing,5,1,True,1.0,-0.2816970082453574,-0.2879159674926789,0.41952070952447035,0.3159479090660616,1.0,0.21086219554767135,0.028846283356324706,0.0,0.0,1,0.6666666666666666,0.0,False
1,10,1,6,single_condition,lime,none,wine_quality,1205,testing,6,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
2,1,1,1,single_condition,lime,attribution,wine_quality,615,training,1,0,,-1.0,-0.41461944261151895,-0.7814727171888552,-0.3975691272206006,-0.5455843705334178,0.0,0.07238373246497472,0.146527823264357,,,0,,0.0,
2,2,1,2,single_condition,lime,attribution,wine_quality,498,training,2,1,,0.43376451356032175,-0.18984384629855675,0.7664413815893611,1.0,0.789295250708092,1.0,0.07938570138715213,0.033915159775607315,,,1,,0.0,
2,3,1,3,single_condition,lime,attribution,wine_quality,1063,training,3,1,,1.0,0.03798195178002869,0.26895296712570393,0.34478012447438156,0.007041830704396541,1.0,0.186790645043529,0.012648709337684486,,,1,,0.0,
2,4,1,4,single_condition,lime,attribution,wine_quality,88,training,4,0,,-1.0,0.41887101984172675,-0.5844741914614165,0.6487992711911377,0.3795118672365957,0.0,0.10250476985249994,0.091335409441884,,,0,,0.0,
2,5,1,1,single_condition,lime,attribution,wine_quality,1586,testing,1,1,False,,,,,,,,,1.0,1.0,1,0.6666666666666666,0.0,True
2,6,1,2,single_condition,lime,attribution,wine_quality,950,testing,2,1,False,,,,,,,,,1.0,1.0,1,0.6666666666666666,0.0,True
2,7,1,3,single_condition,lime,attribution,wine_quality,1490,testing,3,0,True,1.0,-0.15967990384221445,0.28841476216262685,0.4428115750634498,-0.08452365145901727,0.0,0.18511862742418375,0.024950938252539162,0.0,1.0,0,0.6666666666666666,0.0,False
2,8,1,4,single_condition,lime,attribution,wine_quality,532,testing,4,0,True,0.26604964695241035,-0.36854483206891137,-0.07235101712512329,1.0,0.7448043990646606,0.0,0.09861447795133667,0.04908583323112363,0.0,1.0,0,0.6666666666666666,0.0,False
2,9,1,5,single_condition,lime,attribution,wine_quality,882,testing,5,1,False,,,,,,,,,1.0,1.0,1,0.6666666666666666,0.0,True
2,10,1,6,single_condition,lime,attribution,wine_quality,1555,testing,6,0,True,-0.08574129929341233,0.9318136427371524,0.6056390837200168,-0.41394581244034584,-1.0,0.0,0.03247796989583681,0.08998945587267947,0.0,1.0,0,0.6666666666666666,0.0,False
3,1,1,1,single_condition,lime,importance,wine_quality,780,training,1,0,,-1.0,-0.47360044680692936,0.1314042525436563,-0.17770743281056917,0.21463277808909664,0.0,0.11515837214150326,0.13817609751927484,,,0,,0.0,
3,2,1,2,single_condition,lime,importance,wine_quality,1223,training,2,1,,1.0,0.3967170737062052,0.14096325939457252,0.3562938275671437,0.07281613730268495,1.0,0.21708518268945637,-0.010642784624469603,,,1,,0.0,
3,3,1,3,single_condition,lime,importance,wine_quality,1446,training,3,0,,-0.8366897167065648,1.0,0.4603396967097699,-0.3269992414116939,-0.09140267796687705,0.0,0.10506996333435366,0.09224664223386655,,,0,,0.0,
3,4,1,4,single_condition,lime,importance,wine_quality,1585,training,4,1,,1.0,0.39899355775723383,-0.05771368672889586,0.39958288684290977,0.032939965325603754,1.0,0.17761485687583833,0.012768242314277436,,,1,,0.0,
3,5,1,1,single_condition,lime,importance,wine_quality,1120,testing,1,1,True,1.0,0.13084092454609125,0.28616597494088086,-0.14590036814121582,0.13146856543937072,1.0,0.1983950500120257,0.0240664497831483,0.0,0.0,1,0.6666666666666666,0.0,False
3,6,1,2,single_condition,lime,importance,wine_quality,237,testing,2,0,True,-1.0,-0.2873179067419798,-0.1559212937144027,-0.4639910464789534,-0.08987336259846303,0.0,0.1032704179489927,0.14345231572953712,1.0,0.0,0,0.6666666666666666,0.0,True
3,7,1,3,single_condition,lime,importance,wine_quality,875,testing,3,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
3,8,1,4,single_condition,lime,importance,wine_quality,79,testing,4,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
3,9,1,5,single_condition,lime,importance,wine_quality,1337,testing,5,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
3,10,1,6,single_condition,lime,importance,wine_quality,1132,testing,6,1,True,1.0,0.502801910431578,-0.10292170685655061,0.2934814378375174,-0.019962479611988635,1.0,0.2291874566251291,0.004867635142377022,0.0,0.0,1,0.6666666666666666,0.0,False
4,1,1,1,single_condition,shap,none,wine_quality,752,training,1,0,,-1.0,-0.3270475183955391,-0.5324114343284013,-0.07212942696423735,-0.1577206367275914,0.0,0.06506365445807569,0.13610758178750273,,,0,,0.0,
4,2,1,2,single_condition,shap,none,wine_quality,1497,training,2,0,,1.0,-0.4094044365668982,0.17810769882347222,-0.8149431626882324,-0.24393198245133219,0.0,0.07051498287387772,0.13610758178750273,,,0,,0.0,
4,3,1,3,single_condition,shap,none,wine_quality,341,training,3,1,,0.9600957727019326,1.0,0.4184749093288789,0.26549648569979994,0.13991700622135267,1.0,0.14857894626142878,0.13610758178750273,,,1,,0.0,
4,4,1,4,single_condition,shap,none,wine_quality,1015,training,4,1,,1.0,0.6729252448022365,0.33474735655680077,0.4116975834050974,0.4134171263847083,1.0,0.20578428932914675,0.13610758178750273,,,1,,0.0,
4,5,1,1,single_condition,shap,none,wine_quality,1061,testing,1,1,True,1.0,0.3019782343214257,0.4713963318296485,0.197539540550356,0.19353658018787556,1.0,0.2552356493871182,0.13610758178750273,1.0,1.0,1,0.6666666666666666,0.0,True
4,6,1,2,single_condition,shap,none,wine_quality,588,testing,2,1,False,,,,,,,,,1.0,1.0,1,0.6666666666666666,0.0,True
4,7,1,3,single_condition,shap,none,wine_quality,950,testing,3,1,True,1.0,0.5209027360908555,0.3169998886609152,0.5320230520696715,-0.14107916496768264,1.0,0.2944526395122611,0.13610758178750273,1.0,1.0,1,0.6666666666666666,0.0,True
4,8,1,4,single_condition,shap,none,wine_quality,1555,testing,4,0,True,-0.4700497592332444,0.750076257644557,1.0,-0.2932536857495353,-0.9116462698076795,0.0,0.02384688321975408,0.13610758178750273,0.0,1.0,0,0.6666666666666666,0.0,False
4,9,1,5,single_condition,shap,none,wine_quality,1552,testing,5,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
4,10,1,6,single_condition,shap,none,wine_quality,90,testing,6,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
5,1,1,1,single_condition,shap,attribution,wine_quality,351,training,1,0,,-1.0,0.3080958282681664,0.06975971821531093,-0.36629225206997323,-0.06426610022969714,0.0,0.12846427720376172,0.13610758178750273,,,0,,0.0,
5,2,1,2,single_condition,shap,attribution,wine_quality,1514,training,2,0,,-1.0,0.1664342155320312,-0.2806527385310246,-0.2624645080097621,-0.131426162665568,0.0,0.09025035554770905,0.13610758178750273,,,0,,0.0,
5,3,1,3,single_condition,shap,attribution,wine_quality,952,training,3,1,,1.0,0.4812403589084015,0.9379928783481478,0.7498230793400092,-0.029116888396864223,1.0,0.11832366598487964,0.13610758178750273,,,1,,0.0,
5,4,1,4,single_condition,shap,attribution,wine_quality,583,training,4,1,,-0.3257759197744599,0.062023494660410725,0.044056864755618666,0.8921450118869673,1.0,1.0,0.22812738430772986,0.13610758178750273,,,1,,0.0,
5,5,1,1,single_condition,shap,attribution,wine_quality,27,testing,1,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
5,6,1,2,single_condition,shap,attribution,wine_quality,687,testing,2,0,True,-1.0,-0.528840641982778,0.047028960938405244,-0.35140124204024564,-0.018456047803859416,0.0,0.06020822604955645,0.13610758178750273,1.0,0.0,0,0.6666666666666666,0.0,True
5,7,1,3,single_condition,shap,attribution,wine_quality,1132,testing,3,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
5,8,1,4,single_condition,shap,attribution,wine_quality,882,testing,4,1,True,1.0,0.6729025071690822,0.3317376331236554,0.299731531530335,0.12839001321668217,1.0,0.2362039004460372,0.13610758178750273,1.0,1.0,1,0.6666666666666666,0.0,True
5,9,1,5,single_condition,shap,attribution,wine_quality,243,testing,5,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
5,10,1,6,single_condition,shap,attribution,wine_quality,1125,testing,6,1,True,0.8139649647693049,-0.29461529831728983,-0.019045831632382736,1.0,0.7724090149672669,1.0,0.17783402219058003,0.13610758178750273,1.0,1.0,1,0.6666666666666666,0.0,True
6,1,1,1,single_condition,shap,importance,wine_quality,874,training,1,1,,1.0,0.09695595716903596,0.46670944092125144,0.427376679608815,0.46769498466323167,1.0,0.2347870935669571,0.13610758178750273,,,1,,0.0,
6,2,1,2,single_condition,shap,importance,wine_quality,1090,training,2,1,,0.4129056074786999,0.020486880480497235,-0.09789270807541263,0.9969720557640184,1.0,1.0,0.3372669236909071,0.13610758178750273,,,1,,0.0,
6,3,1,3,single_condition,shap,importance,wine_quality,944,training,3,0,,1.0,-0.052129089271592266,0.37316293281910434,0.38043063224540513,0.06883445671253952,0.0,0.18636193815703672,0.13610758178750273,,,0,,0.0,
6,4,1,4,single_condition,shap,importance,wine_quality,1353,training,4,0,,-0.3648043981872534,-1.0,-0.2540392121182782,-0.19028807673720347,-0.08833721907054672,0.0,0.06660210626888759,0.13610758178750273,,,0,,0.0,
6,5,1,1,single_condition,shap,importance,wine_quality,521,testing,1,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
6,6,1,2,single_condition,shap,importance,wine_quality,470,testing,2,1,True,0.2603463730219207,-0.08988218330043493,0.052513261193753796,0.7823160798493111,1.0,1.0,0.20912531416666952,0.13610758178750273,0.0,0.0,1,0.6666666666666666,0.0,False
6,7,1,3,single_condition,shap,importance,wine_quality,1586,testing,3,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
6,8,1,4,single_condition,shap,importance,wine_quality,559,testing,4,0,True,1.0,0.2178064246047145,-0.3276877599436077,-0.15627558848135237,-0.06805355288182377,0.0,0.12765994798611371,0.13610758178750273,1.0,0.0,0,0.6666666666666666,0.0,True
6,9,1,5,single_condition,shap,importance,wine_quality,928,testing,5,0,True,0.7721345809753649,1.0,0.32134353216713457,0.06179390688911178,0.1427124051117376,0.0,0.14468035422182646,0.13610758178750273,1.0,0.0,0,0.6666666666666666,0.0,True
6,10,1,6,single_condition,shap,importance,wine_quality,1018,testing,6,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
7,1,1,1,single_condition,integrated_gradients,none,wine_quality,371,training,1,0,,-1.0,0.2776529853517485,0.18456415101318832,-0.08557919061973239,-0.01979681056134051,0.0,0.2062566876411438,0.11934235692024231,,,0,,0.0,
7,2,1,2,single_condition,integrated_gradients,none,wine_quality,604,training,2,0,,-1.0,-0.1690736732403399,-0.16528261499969318,-0.13620207810022625,-0.10390357622867911,0.0,0.07528021931648254,0.11934235692024231,,,0,,0.0,
7,3,1,3,single_condition,integrated_gradients,none,wine_quality,840,training,3,1,,0.8275649267163795,1.0,0.372890743745404,-0.012961592029215029,0.24985493675921927,1.0,0.21499678492546082,0.11934235692024231,,,1,,0.0,
7,4,1,4,single_condition,integrated_gradients,none,wine_quality,837,training,4,1,,0.3188363895001028,0.45075904217952756,0.5289532488214808,1.0,0.2324867686377383,1.0,0.34002795815467834,0.11934235692024231,,,1,,0.0,
7,5,1,1,single_condition,integrated_gradients,none,wine_quality,1172,testing,1,1,True,1.0,0.6567458212961618,0.6419196250879587,0.060770374101252106,0.14322338121153724,1.0,0.2266080230474472,0.11934235692024231,0.0,0.0,1,0.6666666666666666,0.0,False
7,6,1,2,single_condition,integrated_gradients,none,wine_quality,448,testing,2,0,True,-0.16390170878948015,-1.0,0.031314449509020945,-0.00468428647164932,-0.010456689747619652,0.0,0.06896102428436279,0.11934235692024231,1.0,0.0,0,0.6666666666666666,0.0,True
7,7,1,3,single_condition,integrated_gradients,none,wine_quality,981,testing,3,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
7,8,1,4,single_condition,integrated_gradients,none,wine_quality,1070,testing,4,1,True,0.8719847101938584,1.0,0.1275301113870861,0.17474285753089092,0.57943996043225,1.0,0.16019000113010406,0.11934235692024231,0.0,0.0,1,0.6666666666666666,0.0,False
7,9,1,5,single_condition,integrated_gradients,none,wine_quality,940,testing,5,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
7,10,1,6,single_condition,integrated_gradients,none,wine_quality,244,testing,6,0,False,,,,,,,,,1.0,0.0,0,0.6666666666666666,0.0,True
8,1,1,1,single_condition,integrated_gradients,attribution,wine_quality,375,training,1,1,,1.0,0.3872617535603315,-0.028084910733607183,-0.042935300418390235,0.26731031811188755,1.0,0.3726659417152405,0.11934235692024231,,,1,,0.0,
8,2,1,2,single_condition,integrated_gradients,attribution,wine_quality,949,training,2,1,,0.9292463754867129,1.0,0.8713253344314483,0.691984394022342,-0.3251052284783838,1.0,0.21418516337871552,0.11934235692024231,,,1,,0.0,
8,3,1,3,single_condition,integrated_gradients,attribution,wine_quality,1064,training,3,0,,1.0,-0.7420893719154926,0.0006706700990090109,-0.721269891429657,-0.01874578469207279,0.0,0.11043596267700195,0.11934235692024231,,,0,,0.0,
8,4,1,4,single_condition,integrated_gradients,attribution,wine_quality,534,training,4,0,,-0.3204853017941698,-1.0,0.015151946640101934,0.08529592417102291,0.017936728472097204,0.0,0.06597001850605011,0.11934235692024231,,,0,,0.0,
8,5,1,1,single_condition,integrated_gradients,attribution,wine_quality,940,testing,1,1,True,0.8349381680756318,1.0,0.7107517363051021,0.02288573180290761,-0.16444487487917717,1.0,0.231907919049263,0.11934235692024231,1.0,1.0,1,0.6666666666666666,0.0,True
8,6,1,2,single_condition,integrated_gradients,attribution,wine_quality,532,testing,2,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
8,7,1,3,single_condition,integrated_gradients,attribution,wine_quality,554,testing,3,0,True,0.8983263252332775,0.622445295819325,-0.28550101774012904,-1.0,0.5330596870072835,0.0,0.10766934603452682,0.11934235692024231,0.0,1.0,0,0.6666666666666666,0.0,False
8,8,1,4,single_condition,integrated_gradients,attribution,wine_quality,1061,testing,4,1,True,1.0,0.3341073338133243,0.9004694859354115,0.06405742099327881,0.457882879556958,1.0,0.2068609744310379,0.11934235692024231,1.0,1.0,1,0.6666666666666666,0.0,True
8,9,1,5,single_condition,integrated_gradients,attribution,wine_quality,382,testing,5,0,False,,,,,,,,,0.0,1.0,0,0.6666666666666666,0.0,False
8,10,1,6,single_condition,integrated_gradients,attribution,wine_quality,1267,testing,6,1,False,,,,,,,,,1.0,1.0,1,0.6666666666666666,0.0,True
9,1,1,1,single_condition,integrated_gradients,importance,wine_quality,805,training,1,1,,0.9319614795110971,0.3581201989484964,1.0,0.18440140280784115,-0.05673348279975602,1.0,0.2597937285900116,0.11934235692024231,,,1,,0.0,
9,2,1,2,single_condition,integrated_gradients,importance,wine_quality,974,training,2,0,,0.7944340494735703,-0.3583818980623348,1.0,0.15452791856425888,0.04442352178367685,0.0,0.2142600417137146,0.11934235692024231,,,0,,0.0,
9,3,1,3,single_condition,integrated_gradients,importance,wine_quality,1098,training,3,1,,1.0,0.9858193387688852,0.6990772555232383,0.16283559677114284,0.5447793914642394,1.0,0.20703977346420288,0.11934235692024231,,,1,,0.0,
9,4,1,4,single_condition,integrated_gradients,importance,wine_quality,809,training,4,0,,-0.1040333239686133,-1.0,-0.04531033845710015,0.10946153981908545,0.029351463681259207,0.0,0.07303617149591446,0.11934235692024231,,,0,,0.0,
9,5,1,1,single_condition,integrated_gradients,importance,wine_quality,495,testing,1,1,False,,,,,,,,,0.0,0.0,1,0.6666666666666666,0.0,False
9,6,1,2,single_condition,integrated_gradients,importance,wine_quality,267,testing,2,1,True,0.4773586195545046,1.0,0.16283336825947853,0.010118779174943342,-0.06096933794964076,1.0,0.38711172342300415,0.11934235692024231,0.0,0.0,1,0.6666666666666666,0.0,False
