participantId,trialId,block,trialWithinBlock,withinCondition,tested_w_xai,xai_type,dataset,dataId,instanceId,CV_user_task_levels,CV_ai_model_levels,CV_num_attributes_shown_levels,CV_sessions_levels,CV_num_training_levels,CV_num_testing_levels,phase,phaseTrialId
1,1,1,1,single_condition,True,none,wine_quality,wine_quality,74,forward_simulation,mlp|xgboost,5,2,10,20,training,1
1,2,1,2,single_condition,True,none,wine_quality,wine_quality,753,forward_simulation,mlp|xgboost,5,2,10,20,training,2
1,3,1,3,single_condition,True,none,wine_quality,wine_quality,1395,forward_simulation,mlp|xgboost,5,2,10,20,training,3
1,4,1,4,single_condition,True,none,wine_quality,wine_quality,88,forward_simulation,mlp|xgboost,5,2,10,20,training,4
1,5,1,5,single_condition,True,none,wine_quality,wine_quality,634,forward_simulation,mlp|xgboost,5,2,10,20,training,5
1,6,1,1,single_condition,True,none,wine_quality,wine_quality,237,forward_simulation,mlp|xgboost,5,2,10,20,testing,1
1,7,1,3,single_condition,True,none,wine_quality,wine_quality,1059,forward_simulation,mlp|xgboost,5,2,10,20,testing,2
1,8,1,6,single_condition,True,none,wine_quality,wine_quality,505,forward_simulation,mlp|xgboost,5,2,10,20,testing,3
1,9,1,7,single_condition,True,none,wine_quality,wine_quality,933,forward_simulation,mlp|xgboost,5,2,10,20,testing,4
1,10,1,8,single_condition,True,none,wine_quality,wine_quality,789,forward_simulation,mlp|xgboost,5,2,10,20,testing,5
1,11,1,10,single_condition,True,none,wine_quality,wine_quality,1329,forward_simulation,mlp|xgboost,5,2,10,20,testing,6
1,12,1,11,single_condition,True,none,wine_quality,wine_quality,906,forward_simulation,mlp|xgboost,5,2,10,20,testing,7
1,13,1,12,single_condition,True,none,wine_quality,wine_quality,1574,forward_simulation,mlp|xgboost,5,2,10,20,testing,8
1,14,1,14,single_condition,True,none,wine_quality,wine_quality,182,forward_simulation,mlp|xgboost,5,2,10,20,testing,9
1,15,1,16,single_condition,True,none,wine_quality,wine_quality,902,forward_simulation,mlp|xgboost,5,2,10,20,testing,10
1,16,1,1,single_condition,False,none,wine_quality,wine_quality,1181,forward_simulation,mlp|xgboost,5,2,10,20,training,1
1,17,1,2,single_condition,False,none,wine_quality,wine_quality,786,forward_simulation,mlp|xgboost,5,2,10,20,training,2
1,18,1,3,single_condition,False,none,wine_quality,wine_quality,334,forward_simulation,mlp|xgboost,5,2,10,20,training,3
1,19,1,4,single_condition,False,none,wine_quality,wine_quality,1086,forward_simulation,mlp|xgboost,5,2,10,20,training,4
1,20,1,5,single_condition,False,none,wine_quality,wine_quality,1264,forward_simulation,mlp|xgboost,5,2,10,20,training,5
1,21,1,2,single_condition,False,none,wine_quality,wine_quality,1172,forward_simulation,mlp|xgboost,5,2,10,20,testing,1
1,22,1,4,single_condition,False,none,wine_quality,wine_quality,270,forward_simulation,mlp|xgboost,5,2,10,20,testing,2
1,23,1,5,single_condition,False,none,wine_quality,wine_quality,810,forward_simulation,mlp|xgboost,5,2,10,20,testing,3
1,24,1,9,single_condition,False,none,wine_quality,wine_quality,192,forward_simulation,mlp|xgboost,5,2,10,20,testing,4
1,25,1,13,single_condition,False,none,wine_quality,wine_quality,1410,forward_simulation,mlp|xgboost,5,2,10,20,testing,5
1,26,1,15,single_condition,False,none,wine_quality,wine_quality,1060,forward_simulation,mlp|xgboost,5,2,10,20,testing,6
1,27,1,17,single_condition,False,none,wine_quality,wine_quality,1044,forward_simulation,mlp|xgboost,5,2,10,20,testing,7
1,28,1,18,single_condition,False,none,wine_quality,wine_quality,1512,forward_simulation,mlp|xgboost,5,2,10,20,testing,8
1,29,1,19,single_condition,False,none,wine_quality,wine_quality,950,forward_simulation,mlp|xgboost,5,2,10,20,testing,9
1,30,1,20,single_condition,False,none,wine_quality,wine_quality,486,forward_simulation,mlp|xgboost,5,2,10,20,testing,10
2,1,1,1,single_condition,True,none,adult,wine_quality,1190,forward_simulation,mlp|xgboost,5,2,10,20,training,1
2,2,1,2,single_condition,True,none,adult,wine_quality,43,forward_simulation,mlp|xgboost,5,2,10,20,training,2
2,3,1,3,single_condition,True,none,adult,wine_quality,1526,forward_simulation,mlp|xgboost,5,2,10,20,training,3
2,4,1,4,single_condition,True,none,adult,wine_quality,991,forward_simulation,mlp|xgboost,5,2,10,20,training,4
2,5,1,5,single_condition,True,none,adult,wine_quality,1226,forward_simulation,mlp|xgboost,5,2,10,20,training,5
