participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataId,instanceId,CV_user_task_levels,CV_num_attributes_shown_levels,phase,phaseTrialId,sampled_ai_prediction,tested_w_xai,forward_accuracy,agent_prediction,ai_prediction,prob_correct,pred_time,cognitive_correct_vs_ai,exp_a0_i,exp_a1_i,exp_a2_i,exp_a3_i,exp_a4_i,exp_pred,exp_i_max,exp_intercept
1,1,1,1,single_condition,none,wine_quality,444,forward_simulation,5,training,1,1,,,,1,,0.0,,,,,,,,,
1,2,1,2,single_condition,none,wine_quality,251,forward_simulation,5,training,2,0,,,,0,,0.0,,,,,,,,,
1,3,1,3,single_condition,none,wine_quality,368,forward_simulation,5,training,3,0,,,,0,,0.0,,,,,,,,,
1,4,1,4,single_condition,none,wine_quality,198,forward_simulation,5,training,4,1,,,,1,,0.0,,,,,,,,,
1,5,1,5,single_condition,none,wine_quality,492,forward_simulation,5,training,5,1,,,,1,,0.0,,,,,,,,,
1,6,1,6,single_condition,none,wine_quality,477,forward_simulation,5,training,6,1,,,,1,,0.0,,,,,,,,,
1,7,1,7,single_condition,none,wine_quality,963,forward_simulation,5,training,7,1,,,,1,,0.0,,,,,,,,,
1,8,1,8,single_condition,none,wine_quality,883,forward_simulation,5,training,8,0,,,,0,,0.0,,,,,,,,,
1,9,1,9,single_condition,none,wine_quality,208,forward_simulation,5,training,9,0,,,,0,,0.0,,,,,,,,,
1,10,1,10,single_condition,none,wine_quality,1050,forward_simulation,5,training,10,0,,,,0,,0.0,,,,,,,,,
1,11,1,1,single_condition,none,wine_quality,1590,forward_simulation,5,testing,1,1,True,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,12,1,2,single_condition,none,wine_quality,1442,forward_simulation,5,testing,2,0,False,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,13,1,3,single_condition,none,wine_quality,22,forward_simulation,5,testing,3,0,True,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,14,1,4,single_condition,none,wine_quality,1070,forward_simulation,5,testing,4,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,15,1,5,single_condition,none,wine_quality,377,forward_simulation,5,testing,5,1,False,1.0,1.0,1,1.0,0.0,True,,,,,,,,
1,16,1,6,single_condition,none,wine_quality,491,forward_simulation,5,testing,6,1,True,1.0,1.0,1,1.0,0.0,True,,,,,,,,
1,17,1,7,single_condition,none,wine_quality,820,forward_simulation,5,testing,7,0,True,0.0,1.0,0,1.0,0.0,False,,,,,,,,
1,18,1,8,single_condition,none,wine_quality,950,forward_simulation,5,testing,8,1,True,1.0,1.0,1,1.0,0.0,True,,,,,,,,
1,19,1,9,single_condition,none,wine_quality,1367,forward_simulation,5,testing,9,0,False,1.0,0.0,0,0.6666666666666666,0.0,True,,,,,,,,
1,20,1,10,single_condition,none,wine_quality,1107,forward_simulation,5,testing,10,1,True,1.0,1.0,1,1.0,0.0,True,,,,,,,,
1,21,1,11,single_condition,none,wine_quality,870,forward_simulation,5,testing,11,0,True,1.0,0.0,0,0.6666666666666666,0.0,True,,,,,,,,
1,22,1,12,single_condition,none,wine_quality,1102,forward_simulation,5,testing,12,0,True,0.0,1.0,0,1.0,0.0,False,,,,,,,,
1,23,1,13,single_condition,none,wine_quality,470,forward_simulation,5,testing,13,0,False,1.0,0.0,0,0.6666666666666666,0.0,True,,,,,,,,
1,24,1,14,single_condition,none,wine_quality,1292,forward_simulation,5,testing,14,0,True,0.0,1.0,0,1.0,0.0,False,,,,,,,,
1,25,1,15,single_condition,none,wine_quality,1125,forward_simulation,5,testing,15,1,False,1.0,1.0,1,1.0,0.0,True,,,,,,,,
1,26,1,16,single_condition,none,wine_quality,1337,forward_simulation,5,testing,16,0,True,0.0,1.0,0,1.0,0.0,False,,,,,,,,
1,27,1,17,single_condition,none,wine_quality,1018,forward_simulation,5,testing,17,1,False,0.0,0.0,1,0.6666666666666666,0.0,False,,,,,,,,
1,28,1,18,single_condition,none,wine_quality,267,forward_simulation,5,testing,18,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,29,1,19,single_condition,none,wine_quality,382,forward_simulation,5,testing,19,0,False,0.0,1.0,0,1.0,0.0,False,,,,,,,,
1,30,1,20,single_condition,none,wine_quality,1132,forward_simulation,5,testing,20,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
