participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataId,instanceId,CV_user_task_levels,CV_num_attributes_shown_levels,phase,phaseTrialId,sampled_ai_prediction,tested_w_xai,forward_accuracy,agent_prediction,ai_prediction,prob_correct,pred_time,cognitive_correct_vs_ai,exp_a0_i,exp_a1_i,exp_a2_i,exp_a3_i,exp_a4_i,exp_pred,exp_i_max,exp_intercept
1,1,1,1,single_condition,none,wine_quality,1090,forward_simulation,5,training,1,1,,,,1,,0.0,,,,,,,,,
1,2,1,2,single_condition,none,wine_quality,550,forward_simulation,5,training,2,0,,,,0,,0.0,,,,,,,,,
1,3,1,3,single_condition,none,wine_quality,1116,forward_simulation,5,training,3,0,,,,0,,0.0,,,,,,,,,
1,4,1,4,single_condition,none,wine_quality,1406,forward_simulation,5,training,4,1,,,,1,,0.0,,,,,,,,,
1,5,1,5,single_condition,none,wine_quality,375,forward_simulation,5,training,5,1,,,,1,,0.0,,,,,,,,,
1,6,1,6,single_condition,none,wine_quality,963,forward_simulation,5,training,6,1,,,,1,,0.0,,,,,,,,,
1,7,1,7,single_condition,none,wine_quality,948,forward_simulation,5,training,7,1,,,,1,,0.0,,,,,,,,,
1,8,1,8,single_condition,none,wine_quality,883,forward_simulation,5,training,8,0,,,,0,,0.0,,,,,,,,,
1,9,1,9,single_condition,none,wine_quality,208,forward_simulation,5,training,9,0,,,,0,,0.0,,,,,,,,,
1,10,1,10,single_condition,none,wine_quality,1489,forward_simulation,5,training,10,0,,,,0,,0.0,,,,,,,,,
1,11,1,1,single_condition,none,wine_quality,505,forward_simulation,5,testing,1,1,True,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,12,1,2,single_condition,none,wine_quality,578,forward_simulation,5,testing,2,0,False,1.0,0.0,0,0.5,0.0,True,,,,,,,,
1,13,1,3,single_condition,none,wine_quality,999,forward_simulation,5,testing,3,0,True,1.0,0.0,0,0.5,0.0,True,,,,,,,,
1,14,1,4,single_condition,none,wine_quality,267,forward_simulation,5,testing,4,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,15,1,5,single_condition,none,wine_quality,940,forward_simulation,5,testing,5,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,16,1,6,single_condition,none,wine_quality,1018,forward_simulation,5,testing,6,1,True,0.0,0.0,1,0.5,0.0,False,,,,,,,,
1,17,1,7,single_condition,none,wine_quality,532,forward_simulation,5,testing,7,0,True,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,18,1,8,single_condition,none,wine_quality,1107,forward_simulation,5,testing,8,1,True,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,19,1,9,single_condition,none,wine_quality,1539,forward_simulation,5,testing,9,0,False,1.0,0.0,0,0.5,0.0,True,,,,,,,,
1,20,1,10,single_condition,none,wine_quality,1125,forward_simulation,5,testing,10,1,True,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,21,1,11,single_condition,none,wine_quality,870,forward_simulation,5,testing,11,0,True,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,22,1,12,single_condition,none,wine_quality,166,forward_simulation,5,testing,12,0,True,1.0,0.0,0,0.5,0.0,True,,,,,,,,
1,23,1,13,single_condition,none,wine_quality,377,forward_simulation,5,testing,13,1,False,0.0,0.0,1,0.5,0.0,False,,,,,,,,
1,24,1,14,single_condition,none,wine_quality,856,forward_simulation,5,testing,14,0,True,1.0,0.0,0,0.5,0.0,True,,,,,,,,
1,25,1,15,single_condition,none,wine_quality,930,forward_simulation,5,testing,15,0,False,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,26,1,16,single_condition,none,wine_quality,1016,forward_simulation,5,testing,16,1,True,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,27,1,17,single_condition,none,wine_quality,1452,forward_simulation,5,testing,17,0,False,0.0,1.0,0,0.6666666666666666,0.0,False,,,,,,,,
1,28,1,18,single_condition,none,wine_quality,1267,forward_simulation,5,testing,18,1,False,1.0,1.0,1,0.6666666666666666,0.0,True,,,,,,,,
1,29,1,19,single_condition,none,wine_quality,1061,forward_simulation,5,testing,19,1,False,0.0,0.0,1,0.5,0.0,False,,,,,,,,
1,30,1,20,single_condition,none,wine_quality,1170,forward_simulation,5,testing,20,0,False,1.0,0.0,0,0.5,0.0,True,,,,,,,,
2,1,1,1,single_condition,importance,wine_quality,887,forward_simulation,5,training,1,0,,,,0,,0.0,,1.0,0.35444286876530356,0.019028860908895544,0.055781744594388755,0.2825793586968074,0.0,0.20770507179390052,0.007951675647125012
2,2,1,2,single_condition,importance,wine_quality,874,forward_simulation,5,training,2,1,,,,1,,0.0,,1.0,0.06688866714151004,0.10492307775371588,0.3820874727078506,0.28626636335556094,1.0,0.24283569099197236,-0.005193562348755079
2,3,1,3,single_condition,importance,wine_quality,1258,forward_simulation,5,training,3,0,,,,0,,0.0,,1.0,0.01086001898595046,0.0005949805168674987,0.32245749475820945,0.08647460742992358,0.0,0.21582867966514427,0.06174009126351838
2,4,1,4,single_condition,importance,wine_quality,805,forward_simulation,5,training,4,1,,,,1,,0.0,,1.0,0.05924744756620218,0.26695008290325495,0.30246420167917965,0.04469790749447198,1.0,0.23627769938836876,0.012911465334363936
