forward_accuracy,participantId,trialId,block,trialWithinBlock,withinCondition,xai_type,dataId,instanceId,CV_user_task_levels,CV_num_attributes_shown_levels,phase,phaseTrialId,ai_prediction,tested_w_xai,step,cognitive_model_strategy,feature_values,explanation,response,agent_prediction,pred_time,cognitive_correct_vs_ai,feedback_time
0,1,1,1,1,single_condition,none,wine_quality,898,forward_simulation,5,training,1,1,,infer_no_explanation,SensitiveFeatures,"[1.0, 0.6521739363670349, 0.31651830673217773, 0.07017543911933899, 0.4901960790157318]",,"{0: 0.5, 1: 0.5}",0,0.1,False,5.0
0,1,2,1,2,single_condition,none,wine_quality,483,forward_simulation,5,training,2,0,,infer_no_explanation,SensitiveFeatures,"[0.06060606241226196, 1.2826087474822998, 0.06923837959766388, 0.15789473056793213, -0.03921568766236305]",,{1: 1.0},1,0.09999999999999964,False,5.0
1,1,3,1,3,single_condition,none,wine_quality,368,forward_simulation,5,training,3,0,,infer_no_explanation,SensitiveFeatures,"[0.06060606241226196, 0.3695652186870575, 0.6330366134643555, 0.12280701845884323, 0.23529411852359772]",,"{1: 0.4179009658480694, 0: 0.5820990341519306}",0,0.09999999999999964,True,5.0
0,1,4,1,4,single_condition,none,wine_quality,663,forward_simulation,5,training,4,1,,infer_no_explanation,SensitiveFeatures,"[0.3030303120613098, 0.695652186870575, 0.01978239417076111, 0.017543859779834747, -0.03921568766236305]",,"{1: 0.23592782068197035, 0: 0.7640721793180296}",0,0.09999999999999964,False,5.0
0,1,5,1,5,single_condition,none,wine_quality,807,forward_simulation,5,training,5,1,,infer_no_explanation,SensitiveFeatures,"[1.0909091234207153, 0.5, -0.009891197085380554, 0.017543859779834747, 0.529411792755127]",,"{0: 0.5257011070033659, 1: 0.474298892996634}",0,0.10000000000000142,False,5.0
1,1,6,1,6,single_condition,none,wine_quality,1098,forward_simulation,5,training,6,1,,infer_no_explanation,SensitiveFeatures,"[1.0, 0.739130437374115, 0.04945598542690277, 0.07017543911933899, 0.1764705926179886]",,"{0: 0.20398251481145105, 1: 0.7960174851885489}",1,0.10000000000000142,True,5.0
1,1,7,1,7,single_condition,none,wine_quality,1093,forward_simulation,5,training,7,1,,infer_no_explanation,SensitiveFeatures,"[0.8484848737716675, 0.8478260636329651, 0.19782394170761108, 0.07017543911933899, 0.529411792755127]",,{1: 1.0},1,0.10000000000000142,True,5.0
0,1,8,1,8,single_condition,none,wine_quality,773,forward_simulation,5,training,8,0,,infer_no_explanation,SensitiveFeatures,"[0.09090909361839294, 0.97826087474823, 0.3264094889163971, 0.22807016968727112, 0.47058823704719543]",,{1: 1.0},1,0.10000000000000142,False,5.0
0,1,9,1,9,single_condition,none,wine_quality,610,forward_simulation,5,training,9,0,,infer_no_explanation,SensitiveFeatures,"[0.0, 0.15217390656471252, 0.4549950659275055, -0.05263157933950424, 0.6470588445663452]",,"{1: 0.5258673279278611, 0: 0.4741326720721389}",1,0.10000000000000142,False,5.0
1,1,10,1,10,single_condition,none,wine_quality,1050,forward_simulation,5,training,10,0,,infer_no_explanation,SensitiveFeatures,"[0.3636363744735718, 0.3695652186870575, 0.39564788341522217, 0.28070175647735596, 0.843137264251709]",,"{1: 0.2394840393039717, 0: 0.7605159606960283}",0,0.10000000000000142,True,5.0
