dataId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,intercept
wine_quality,mlp,decision_tree,44,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,47,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,4,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,55,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,26,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,64,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,73,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,10,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,40,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,107,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,18,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,62,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,11,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,36,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,89,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,91,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,109,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,88,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,104,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,65,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,45,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
wine_quality,mlp,decision_tree,31,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
wine_quality,mlp,decision_tree,70,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
