participantId,trialId,block,trialWithinBlock,withinCondition,tested_w_xai,dataset,xai_type,complexity,dataId,instanceId,CV_user_task_levels,CV_num_attributes_shown_levels,CV_ai_label_balance_levels,CV_xai_faithfulness_levels,task,task_order,task_trial,shown_xai_type,cog_param_seed,forward_accuracy,counterfactual_accuracy,prob_correct,pred_time,agent_prediction,ai_prediction,cognitive_correct_vs_ai
1,1,1,1,single_condition,False,wine_quality,decision_tree,low,wine_quality,1302,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,1,none,42,1,1,0.63,9.0,0,0,True
1,2,1,2,single_condition,False,wine_quality,decision_tree,low,wine_quality,136,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,2,none,42,0,0,0.63,9.0,1,0,False
1,3,1,3,single_condition,False,wine_quality,decision_tree,low,wine_quality,41,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,3,none,42,0,0,0.63,9.0,1,0,False
1,4,1,4,single_condition,True,wine_quality,decision_tree,low,wine_quality,80,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,4,decision_tree,42,0,0,0.77,9.0,1,0,False
1,5,1,5,single_condition,True,wine_quality,decision_tree,low,wine_quality,432,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,5,decision_tree,42,1,1,0.77,9.0,0,0,True
1,6,1,6,single_condition,True,wine_quality,decision_tree,low,wine_quality,397,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,6,decision_tree,42,0,0,0.77,9.0,1,0,False
1,7,1,7,single_condition,True,wine_quality,decision_tree,low,wine_quality,62,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,7,decision_tree,42,0,0,0.77,9.0,0,1,False
1,8,1,8,single_condition,False,wine_quality,decision_tree,low,wine_quality,243,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,8,none,42,0,0,0.63,9.0,0,1,False
1,9,1,9,single_condition,False,wine_quality,decision_tree,low,wine_quality,1148,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,9,none,42,1,1,0.63,9.0,0,0,True
1,10,1,10,single_condition,True,wine_quality,decision_tree,low,wine_quality,1549,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,10,decision_tree,42,1,1,0.77,9.0,1,1,True
1,11,1,11,single_condition,True,wine_quality,decision_tree,low,wine_quality,810,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,11,decision_tree,42,0,0,0.77,9.0,1,0,False
1,12,1,12,single_condition,True,wine_quality,decision_tree,low,wine_quality,96,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,12,decision_tree,42,1,1,0.77,9.0,0,0,True
1,13,1,13,single_condition,True,wine_quality,decision_tree,low,wine_quality,1113,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,13,decision_tree,42,1,1,0.77,9.0,0,0,True
1,14,1,14,single_condition,False,wine_quality,decision_tree,low,wine_quality,1056,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,14,none,42,0,0,0.63,9.0,0,1,False
1,15,1,15,single_condition,False,wine_quality,decision_tree,low,wine_quality,622,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,15,none,42,1,1,0.63,9.0,0,0,True
1,16,1,16,single_condition,True,wine_quality,decision_tree,low,wine_quality,995,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,16,decision_tree,42,1,1,0.77,9.0,0,0,True
1,17,1,17,single_condition,True,wine_quality,decision_tree,low,wine_quality,1559,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,17,decision_tree,42,1,1,0.77,9.0,0,0,True
1,18,1,18,single_condition,True,wine_quality,decision_tree,low,wine_quality,422,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,18,decision_tree,42,1,1,0.77,9.0,0,0,True
1,19,1,19,single_condition,False,wine_quality,decision_tree,low,wine_quality,975,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,19,none,42,1,1,0.63,9.0,0,0,True
1,20,1,20,single_condition,True,wine_quality,decision_tree,low,wine_quality,535,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,20,decision_tree,42,1,1,0.77,9.0,0,0,True
1,21,1,21,single_condition,True,wine_quality,decision_tree,low,wine_quality,1316,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,21,decision_tree,42,1,1,0.77,9.0,0,0,True
1,22,1,22,single_condition,True,wine_quality,decision_tree,low,wine_quality,1351,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,22,decision_tree,42,1,1,0.77,9.0,0,0,True
1,23,1,23,single_condition,True,wine_quality,decision_tree,low,wine_quality,1065,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,23,decision_tree,42,1,1,0.77,9.0,0,0,True
1,24,1,24,single_condition,True,wine_quality,decision_tree,low,wine_quality,1384,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,24,decision_tree,42,0,0,0.77,9.0,1,0,False
1,25,1,25,single_condition,False,wine_quality,decision_tree,low,wine_quality,1435,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,25,none,42,1,1,0.63,9.0,0,0,True
1,26,1,26,single_condition,False,wine_quality,decision_tree,low,wine_quality,1021,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,26,none,42,0,0,0.63,9.0,1,0,False
1,27,1,27,single_condition,True,wine_quality,decision_tree,low,wine_quality,525,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,27,decision_tree,42,0,0,0.77,9.0,1,0,False
1,28,1,28,single_condition,True,wine_quality,decision_tree,low,wine_quality,1231,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,28,decision_tree,42,0,0,0.77,9.0,1,0,False
1,29,1,29,single_condition,False,wine_quality,decision_tree,low,wine_quality,1024,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,29,none,42,1,1,0.63,9.0,1,1,True
1,30,1,30,single_condition,False,wine_quality,decision_tree,low,wine_quality,789,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,30,none,42,0,0,0.63,9.0,1,0,False
1,31,1,31,single_condition,True,wine_quality,decision_tree,low,wine_quality,1243,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,31,decision_tree,42,0,0,0.77,9.0,1,0,False
1,32,1,32,single_condition,True,wine_quality,decision_tree,low,wine_quality,1238,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,32,decision_tree,42,1,1,0.77,9.0,0,0,True
1,33,1,33,single_condition,False,wine_quality,decision_tree,low,wine_quality,1469,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,33,none,42,0,0,0.63,9.0,1,0,False
1,34,1,34,single_condition,False,wine_quality,decision_tree,low,wine_quality,889,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,34,none,42,0,0,0.63,9.0,1,0,False
1,35,1,35,single_condition,False,wine_quality,decision_tree,low,wine_quality,44,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,35,none,42,1,1,0.63,9.0,0,0,True
1,36,1,36,single_condition,False,wine_quality,decision_tree,low,wine_quality,1137,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,36,none,42,1,1,0.63,9.0,0,0,True
1,37,1,37,single_condition,False,wine_quality,decision_tree,low,wine_quality,817,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,37,none,42,1,1,0.63,9.0,0,0,True
1,38,1,38,single_condition,False,wine_quality,decision_tree,low,wine_quality,1337,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,38,none,42,1,1,0.63,9.0,0,0,True
1,39,1,39,single_condition,False,wine_quality,decision_tree,low,wine_quality,1404,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,39,none,42,1,1,0.63,9.0,0,0,True
1,40,1,40,single_condition,False,wine_quality,decision_tree,low,wine_quality,193,forward_simulation|counterfactual_simulation,6,50_50,0.9,forward_simulation,1,40,none,42,0,0,0.63,9.0,1,0,False
1,41,1,1,single_condition,False,wine_quality,decision_tree,low,wine_quality,1302,forward_simulation|counterfactual_simulation,6,50_50,0.9,counterfactual_simulation,2,1,none,42,1,1,0.26,14.0,0,0,True
1,42,1,2,single_condition,False,wine_quality,decision_tree,low,wine_quality,136,forward_simulation|counterfactual_simulation,6,50_50,0.9,counterfactual_simulation,2,2,none,42,0,0,0.26,14.0,1,0,False
1,43,1,3,single_condition,False,wine_quality,decision_tree,low,wine_quality,41,forward_simulation|counterfactual_simulation,6,50_50,0.9,counterfactual_simulation,2,3,none,42,0,0,0.26,14.0,1,0,False
1,44,1,4,single_condition,True,wine_quality,decision_tree,low,wine_quality,80,forward_simulation|counterfactual_simulation,6,50_50,0.9,counterfactual_simulation,2,4,decision_tree,42,0,0,0.30000000000000004,14.0,1,0,False
1,45,1,5,single_condition,True,wine_quality,decision_tree,low,wine_quality,432,forward_simulation|counterfactual_simulation,6,50_50,0.9,counterfactual_simulation,2,5,decision_tree,42,0,0,0.30000000000000004,14.0,1,0,False
