counterfactual_accuracy,participantId,trialIndex,phase,instanceId,xai_type,xai_property,modelName,exp_property,qid,original_attribution_sum,changed_attribution_sum,p_original_high_income,p_new_high_income,confidence_delta,probability_income_increases,agent_response_increases,ground_truth_increases,counterfactual_correct,changed_feature_visible,changed_feature_names,retrieved_exemplar_count,effective_lapse_rate
1,1,1,testing,12,attribution,faithful,synthetic_ai,faithful,2,0.9319306930693069,0.8527227722772277,0.9856804476497236,0.9785943593868227,-0.007086088262900914,0.47409413125001304,0,0,1,True,education,0,0.0
1,1,2,testing,30,attribution,faithful,synthetic_ai,faithful,20,0.0037128712871287127,0.0037128712871287127,0.3625954690517157,0.3625954690517157,0.0,0.5485465804182781,1,1,1,False,marital,0,0.0
1,1,3,testing,33,attribution,faithful,synthetic_ai,faithful,23,0.02103960396039604,0.02103960396039604,0.38352932303943643,0.38352932303943643,0.0,0.5485465804182781,1,1,1,True,age,0,0.0
1,1,4,testing,25,attribution,faithful,synthetic_ai,faithful,15,0.17698019801980197,0.17698019801980197,0.5820278728187414,0.5820278728187414,0.0,0.5485465804182781,1,1,1,True,hours-per-week,0,0.0
1,1,5,testing,21,attribution,faithful,synthetic_ai,faithful,11,0.011138613861386126,0.011138613861386126,0.3715086484531324,0.3715086484531324,0.0,0.5485465804182781,1,1,1,True,hours-per-week,0,0.0
1,1,6,testing,20,attribution,faithful,synthetic_ai,faithful,10,0.0012376237623762376,0.0012376237623762376,0.3596449325111238,0.3596449325111238,0.0,0.5485465804182781,1,1,1,False,marital,0,0.0
0,1,7,testing,11,attribution,faithful,synthetic_ai,faithful,1,0.9616336633663366,0.9108910891089108,0.9876926223702007,0.984062286730061,-0.0036303356401397036,0.5104645935235348,1,0,0,True,education,0,0.0
1,1,8,testing,27,attribution,faithful,synthetic_ai,faithful,17,0.625,0.6089108910891089,0.9337570659270071,0.9284260731852644,-0.005330992741742757,0.4925557340432993,0,0,1,True,occupation,0,0.0
1,1,1,testing,35,attribution,sparse,synthetic_ai,sparse,25,0.018997361477572555,0.007124010554089719,0.8577241383706242,0.8475328583685106,-0.010191280002113667,0.3800104082285979,0,0,1,True,sex,0,0.0
1,1,2,testing,27,attribution,sparse,synthetic_ai,sparse,17,-0.025329815303430078,-0.025329815303430078,0.8166200606985831,0.8166200606985831,0.0,0.46946305301249813,0,0,1,False,occupation,0,0.0
0,1,3,testing,21,attribution,sparse,synthetic_ai,sparse,11,0.0,0.0,0.8411353493921813,0.8411353493921813,0.0,0.46946305301249813,0,1,0,False,hours-per-week,0,0.0
0,1,4,testing,20,attribution,sparse,synthetic_ai,sparse,10,0.0,0.0,0.8411353493921813,0.8411353493921813,0.0,0.46946305301249813,0,1,0,False,marital,0,0.0
0,1,5,testing,13,attribution,sparse,synthetic_ai,sparse,3,0.0,0.0,0.8411353493921813,0.8411353493921813,0.0,0.46946305301249813,0,1,0,False,education,0,0.0
